strategy,horizon,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
attention_weighted_v_ridge_leverage,1,avg_delta_nll,0.009279584398479477,-0.002000765430611467,0.02225912758624513,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,4,avg_delta_nll,0.030311132133118906,0.009719558929482586,0.05362185638799226,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,16,avg_delta_nll,0.08199426996618656,0.030925577483556205,0.1408046971487668,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,64,avg_delta_nll,0.23716289856939818,0.15966140268538592,0.3129409360417117,15,45,95% sample-cluster bootstrap CI
future_attention_oracle,1,avg_delta_nll,0.0036555760500012486,0.0003889534333665918,0.007004848030478636,15,45,95% sample-cluster bootstrap CI
future_attention_oracle,4,avg_delta_nll,0.0018243749723633703,-0.004587645697056017,0.010511264808578044,15,45,95% sample-cluster bootstrap CI
future_attention_oracle,16,avg_delta_nll,0.013046389168540026,-0.0033523533924465047,0.03885383733753404,15,45,95% sample-cluster bootstrap CI
future_attention_oracle,64,avg_delta_nll,0.11035735213348564,0.06797495292599152,0.15756958383493405,15,45,95% sample-cluster bootstrap CI
snapkv,1,avg_delta_nll,-0.005745273276047808,-0.02568933641509934,0.02197692463449096,15,45,95% sample-cluster bootstrap CI
snapkv,4,avg_delta_nll,0.00410036590188544,-0.008034806780394107,0.015871248850423677,15,45,95% sample-cluster bootstrap CI
snapkv,16,avg_delta_nll,0.03465300636766257,0.002359942270014479,0.07756093312985951,15,45,95% sample-cluster bootstrap CI
snapkv,64,avg_delta_nll,0.318228280281916,0.18746434493638084,0.48067943277170977,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,1,avg_delta_nll,0.2234477546133058,0.013782385862153704,0.476254585394633,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,4,avg_delta_nll,0.17086423278141522,0.0447657410745297,0.3232619236609001,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,16,avg_delta_nll,0.3177971047234949,0.11560038196196043,0.5051098554538082,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,64,avg_delta_nll,0.4744745628451105,0.25535533350040307,0.7420712105678222,15,45,95% sample-cluster bootstrap CI
