task,horizon,strategy,mean_avg_delta_nll,median_avg_delta_nll,mean_avg_approx_kl,mean_oracle_overlap,n_samples,n_rows,loss_rank,kl_rank
ALL,1,attention_weighted_v_ridge_leverage,0.009279584398479477,7.320383384978868e-05,0.004650419062399349,0.41562518740140325,15,45,3.0,2.0
ALL,1,future_attention_oracle,0.0036555760500012486,3.181614015801415e-05,0.0007265225290654478,,15,45,2.0,1.0
ALL,1,snapkv,-0.005745273276047808,-0.00020596732449362776,0.009038545472971456,0.41359712350242106,15,45,1.0,3.0
ALL,1,v_ridge_leverage,0.2234477546133058,0.0008383861932586001,0.23317364713287975,0.35590386633215226,15,45,4.0,4.0
ALL,4,attention_weighted_v_ridge_leverage,0.030311132133118906,0.00886332998200956,0.02574906497259356,0.4263331790161811,15,45,3.0,3.0
ALL,4,future_attention_oracle,0.0018243749723633703,2.6417675895729076e-06,0.0029672419675520886,,15,45,1.0,1.0
ALL,4,snapkv,0.00410036590188544,1.0505116899928169e-05,0.01624235383353739,0.42261501987552486,15,45,2.0,2.0
ALL,4,v_ridge_leverage,0.17086423278141522,0.0054216491717751225,0.1552848261905397,0.3617285105148476,15,45,4.0,4.0
ALL,16,attention_weighted_v_ridge_leverage,0.08199426996618656,0.017882559561235523,0.07601447284026078,0.4364727120438587,15,45,3.0,3.0
ALL,16,future_attention_oracle,0.013046389168540026,-0.0005474099949829281,0.021483150412311223,,15,45,1.0,1.0
ALL,16,snapkv,0.03465300636766257,0.0025341573841188847,0.052250246076756324,0.42660002765803434,15,45,2.0,2.0
ALL,16,v_ridge_leverage,0.3177971047234949,0.022312721889296006,0.2771766153345642,0.3641931266644156,15,45,4.0,4.0
ALL,64,attention_weighted_v_ridge_leverage,0.2371628985693982,0.23043668163581427,0.21465935321296206,0.4587243129010166,15,45,2.0,2.0
ALL,64,future_attention_oracle,0.11035735213348562,0.07685757335793036,0.11972145999755725,,15,45,1.0,1.0
ALL,64,snapkv,0.3182282802819161,0.21809241526565615,0.3045953436766347,0.4290248658859424,15,45,3.0,3.0
ALL,64,v_ridge_leverage,0.47447456284511047,0.2403453360859089,0.4183545040492272,0.3840409247624532,15,45,4.0,4.0
