sample_id,sample_cluster,task,future_step,delta_nll,record_type,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
gov_report:0,gov_report::gov_report:0,gov_report,1,0.022097787296672777,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,1,0.006007085176193527,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,1,-0.028444263276831805,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,1,0.00962043780935081,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,1,-0.008123511922748369,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,1,0.0010168935371612047,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,1,-0.013667300558623197,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,1,-0.016074900126474983,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,1,0.048060820230524826,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,1,-0.0011076611040247524,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,1,0.03566451262681861,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,1,0.004087501831715912,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,1,0.0044540098253283604,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,1,0.018304520854395417,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,1,0.05729783377773382,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,2,0.05828893777767045,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,2,-0.005923910383922741,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,2,1.2922146041205451e-05,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,2,0.001393754150952257,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,2,0.004082172562377195,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,2,-0.016288901707885845,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,2,0.027558072807619755,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,2,-0.00018733000533425562,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,2,-0.03999002970806723,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,2,0.14025223872861284,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,2,-0.0003603188133283197,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,2,-0.003029628857695125,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,2,0.013682559931963803,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,2,-0.022146743888837268,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,2,0.05452330968550001,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,3,-0.022874812849122367,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,3,-0.08783619932153523,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,3,-0.0061777735002882155,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,3,0.00609476175625782,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,3,0.022305960075455527,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,3,0.011448041492201355,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,3,0.5452040900148418,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,3,4.904844744283802e-05,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,3,0.039559618669251506,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,3,0.019419805454038652,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,3,-0.0058276995872314314,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,3,-0.0004455478702756939,sample_trajectory,,,,,,,
