strategy,lag,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
attention_weighted_v_ridge_leverage,1,spearman_rank_correlation,0.9999764879432084,0.9999709997256732,0.9999893534658382,15,135,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,4,spearman_rank_correlation,0.999872223488894,0.9997983498190111,0.9999371058220077,15,135,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,8,spearman_rank_correlation,0.999699071808339,0.9994654088542135,0.9998201389789995,15,135,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,16,spearman_rank_correlation,0.9993636652879414,0.9984133544473286,0.9995613683257439,15,135,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,32,spearman_rank_correlation,0.9986059896914996,0.9968042174387954,0.9991503497477355,15,135,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,64,spearman_rank_correlation,0.9964071856287426,0.9918623259875962,0.9981370903549046,15,135,95% sample-cluster bootstrap CI
snapkv,1,spearman_rank_correlation,0.9981815260171936,0.9966152276491659,0.9988843479387278,15,135,95% sample-cluster bootstrap CI
snapkv,4,spearman_rank_correlation,0.9837226801008876,0.9753738610625321,0.9885027496003699,15,135,95% sample-cluster bootstrap CI
snapkv,8,spearman_rank_correlation,0.9720434054333397,0.9530963611799453,0.9803614681601835,15,135,95% sample-cluster bootstrap CI
snapkv,16,spearman_rank_correlation,0.9353906824416843,0.8996885011292592,0.948776764364559,15,135,95% sample-cluster bootstrap CI
snapkv,32,spearman_rank_correlation,0.8731782781037732,0.8115014198180803,0.8997488881663945,15,135,95% sample-cluster bootstrap CI
snapkv,64,spearman_rank_correlation,0.7921328210126886,0.6992260495762012,0.8387478256670567,15,135,95% sample-cluster bootstrap CI
v_ridge_leverage,1,spearman_rank_correlation,0.9999582802967529,0.9999316717250473,0.9999633704008951,15,135,95% sample-cluster bootstrap CI
v_ridge_leverage,4,spearman_rank_correlation,0.9996893160739899,0.9995828485108743,0.9998105428281964,15,135,95% sample-cluster bootstrap CI
v_ridge_leverage,8,spearman_rank_correlation,0.9993282522605926,0.9990868793566143,0.9995462701208093,15,135,95% sample-cluster bootstrap CI
v_ridge_leverage,16,spearman_rank_correlation,0.9985674583027577,0.9981118470039582,0.998838286844912,15,135,95% sample-cluster bootstrap CI
v_ridge_leverage,32,spearman_rank_correlation,0.9969452683993918,0.9960619443877727,0.9976711003693591,15,135,95% sample-cluster bootstrap CI
v_ridge_leverage,64,spearman_rank_correlation,0.9930153030536042,0.9909851536749585,0.9956278482969328,15,135,95% sample-cluster bootstrap CI
