strategy,lag,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
attention_weighted_v_ridge_leverage,1,future_new_token_residual,9.197200938615424e-07,8.890134211014811e-07,9.365705338382213e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,2,future_new_token_residual,8.986846182779118e-07,8.779385225921032e-07,9.264114524398792e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,3,future_new_token_residual,9.12393488761154e-07,8.941550575514157e-07,9.351911671728885e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,4,future_new_token_residual,9.082709198082739e-07,8.856372630816622e-07,9.277798085349787e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,5,future_new_token_residual,9.22476630194069e-07,9.073873741272109e-07,9.454312532852782e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,6,future_new_token_residual,9.114777412833064e-07,8.954901318247721e-07,9.30345081684436e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,7,future_new_token_residual,9.098851592170831e-07,8.882322504177864e-07,9.378663222037175e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,8,future_new_token_residual,9.138381074080826e-07,8.935752767058602e-07,9.282139224353613e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,9,future_new_token_residual,9.237269580353313e-07,9.065409969366556e-07,9.359669661535008e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,10,future_new_token_residual,9.120050208366592e-07,8.937776669881714e-07,9.282593396164884e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,11,future_new_token_residual,9.031734862219309e-07,8.839896850076912e-07,9.216704484060756e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,12,future_new_token_residual,8.970601754754171e-07,8.808602643739505e-07,9.247031016457186e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,13,future_new_token_residual,8.984510202481033e-07,8.933400863497809e-07,9.097229849430732e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,14,future_new_token_residual,8.915443743262585e-07,8.697060138729285e-07,9.180218398796569e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,15,future_new_token_residual,9.121567359215987e-07,8.835008884489071e-07,9.357104886476009e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,16,future_new_token_residual,9.123192512561218e-07,8.868005920703581e-07,9.346257733966468e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,17,future_new_token_residual,9.103146965117048e-07,8.995994051019806e-07,9.297446297296119e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,18,future_new_token_residual,9.077595279904926e-07,8.84851829141553e-07,9.350759455628577e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,19,future_new_token_residual,9.134262199950172e-07,8.916746494946892e-07,9.418173682718134e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,20,future_new_token_residual,9.286521276408166e-07,9.077898077691771e-07,9.449358344681968e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,21,future_new_token_residual,9.178880304716586e-07,9.000112406454264e-07,9.435141095082145e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,22,future_new_token_residual,9.249327774796257e-07,9.012637178784644e-07,9.476525519858114e-07,15,270,95% sample-cluster bootstrap CI
