anchor,singular_value_rank,estimate,ci_low,ci_high,n_samples
0,1,155.4973602294922,47.174219894409184,542.8310913085937,15
0,2,73.67288589477539,29.970479393005373,376.29063415527344,15
0,3,66.0263900756836,20.944788360595705,338.2941162109375,15
0,4,60.58526039123535,18.22263355255127,266.2645294189453,15
0,5,54.56843566894531,17.298165702819826,234.69328918457032,15
0,6,48.29130744934082,15.502255535125734,144.169189453125,15
0,7,44.976646423339844,14.912820816040039,125.97075653076169,15
0,8,40.258344650268555,14.433993530273439,121.00490036010738,15
16,1,156.0567626953125,47.601788711547854,543.0579162597656,15
16,2,74.28332901000977,30.324889945983887,376.3819213867188,15
16,3,66.83556747436523,21.21221580505371,338.3583923339844,15
16,4,60.967308044433594,18.509542083740236,267.02411499023435,15
16,5,54.70705223083496,17.514019012451175,235.00547637939454,15
16,6,48.71769905090332,15.634937286376955,145.10308532714845,15
16,7,45.23442840576172,14.97551965713501,126.23290863037106,15
16,8,40.52309226989746,14.502748680114747,121.74235992431637,15
48,1,156.4765396118164,48.36158409118653,543.8380310058594,15
48,2,76.01859664916992,32.303125,376.6612548828125,15
48,3,67.68313980102539,21.482485389709474,338.6121551513672,15
48,4,62.60398864746094,18.869906806945803,268.1180694580078,15
48,5,55.55509948730469,17.697631263732912,235.83346252441407,15
48,6,49.09845542907715,16.427393531799318,147.61688079833985,15
48,7,45.79628372192383,15.193786716461183,128.83073272705076,15
48,8,41.436500549316406,14.572741317749024,122.63113937377926,15
