sample_id,sample_cluster,task,anchor,strategy,layer,head,lag,turnover,benefit,relationship,x_metric,y_metric,x_bin,record_type,x_mean,y_mean,y_sd,n_rows,n_samples,ci_low,ci_high
gov_report:0,gov_report::gov_report:0,gov_report,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.015151515151515102,-0.0014220601879060268,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,snapkv,,,16.0,0.30454545454545456,0.0005589302163571119,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,0.0,v_ridge_leverage,,,16.0,0.01818181818181815,-0.7886096835136414,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.0045454545454545565,0.001490660011768341,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,0.0,snapkv,,,16.0,0.20757575757575755,0.002498302608728409,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,0.0,v_ridge_leverage,,,16.0,0.010606060606060582,-0.03142279386520386,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.007575757575757606,0.31240737438201904,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,0.0,snapkv,,,16.0,0.44393939393939386,0.9790096879005432,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,0.0,v_ridge_leverage,,,16.0,0.006060606060606026,0.3129451274871826,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.006060606060606026,0.1768396645784378,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,0.0,snapkv,,,16.0,0.3242424242424242,-0.009072322398424149,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,0.0,v_ridge_leverage,,,16.0,0.015151515151515138,1.273259162902832,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.009090909090909075,0.0008646165952086449,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,0.0,snapkv,,,16.0,0.4090909090909091,0.0025932714343070984,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,0.0,v_ridge_leverage,,,16.0,0.007575757575757569,0.15052742511034012,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.007575757575757532,0.0003781610867008567,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0.0,snapkv,,,16.0,0.06666666666666665,2.9765069484710693e-06,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0.0,v_ridge_leverage,,,16.0,0.016666666666666646,0.00010488694533705711,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.006060606060606062,0.00960274413228035,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0.0,snapkv,,,16.0,0.030303030303030314,0.0033896882086992264,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0.0,v_ridge_leverage,,,16.0,0.0212121212121212,0.005244659259915352,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
