figure,slug,png,data_parquet,data_csv,availability,note
1,stale_cache_loss_vs_horizon,analysis/figures/01_stale_cache_loss_vs_horizon.png,analysis/figures/data/01_stale_cache_loss_vs_horizon.parquet,analysis/figures/data/01_stale_cache_loss_vs_horizon.csv,available,
2,refresh_benefit_vs_horizon,analysis/figures/02_refresh_benefit_vs_horizon.png,analysis/figures/data/02_refresh_benefit_vs_horizon.parquet,analysis/figures/data/02_refresh_benefit_vs_horizon.csv,available,x-axis is refresh lag; dense horizon counterfactual is unavailable
3,empirical_validity_horizon_distribution,analysis/figures/03_empirical_validity_horizon_distribution.png,analysis/figures/data/03_empirical_validity_horizon_distribution.parquet,analysis/figures/data/03_empirical_validity_horizon_distribution.csv,available,
4,selector_rank_vs_horizon,analysis/figures/04_selector_rank_vs_horizon.png,analysis/figures/data/04_selector_rank_vs_horizon.parquet,analysis/figures/data/04_selector_rank_vs_horizon.csv,available,Ranks have no CI; source means are based on 15 sample clusters
5,per_sample_loss_trajectories,analysis/figures/05_per_sample_loss_trajectories.png,analysis/figures/data/05_per_sample_loss_trajectories.parquet,analysis/figures/data/05_per_sample_loss_trajectories.csv,available,
6,score_rank_correlation_vs_lag,analysis/figures/06_score_rank_correlation_vs_lag.png,analysis/figures/data/06_score_rank_correlation_vs_lag.parquet,analysis/figures/data/06_score_rank_correlation_vs_lag.csv,available,
7,core_jaccard_vs_lag,analysis/figures/07_core_jaccard_vs_lag.png,analysis/figures/data/07_core_jaccard_vs_lag.parquet,analysis/figures/data/07_core_jaccard_vs_lag.csv,available,
8,selection_margin_vs_set_turnover,analysis/figures/08_selection_margin_vs_set_turnover.png,analysis/figures/data/08_selection_margin_vs_set_turnover.parquet,analysis/figures/data/08_selection_margin_vs_set_turnover.csv,available,
9,future_oracle_overlap_across_horizons,analysis/figures/09_future_oracle_overlap_across_horizons.png,analysis/figures/data/09_future_oracle_overlap_across_horizons.parquet,analysis/figures/data/09_future_oracle_overlap_across_horizons.csv,available,
10,new_direction_residual_vs_decoding_step,analysis/figures/10_new_direction_residual_vs_decoding_step.png,analysis/figures/data/10_new_direction_residual_vs_decoding_step.parquet,analysis/figures/data/10_new_direction_residual_vs_decoding_step.csv,available,
11,online_leverage_vs_decoding_step,analysis/figures/11_online_leverage_vs_decoding_step.png,analysis/figures/data/11_online_leverage_vs_decoding_step.parquet,analysis/figures/data/11_online_leverage_vs_decoding_step.csv,unavailable,Future V vectors and the anchor Gram/factor were not persisted.
12,covariance_drift_vs_lag,analysis/figures/12_covariance_drift_vs_lag.png,analysis/figures/data/12_covariance_drift_vs_lag.parquet,analysis/figures/data/12_covariance_drift_vs_lag.csv,unavailable,Time-resolved V matrices or sufficient covariance sketches were not persisted.
13,principal_angle_drift_vs_lag,analysis/figures/13_principal_angle_drift_vs_lag.png,analysis/figures/data/13_principal_angle_drift_vs_lag.parquet,analysis/figures/data/13_principal_angle_drift_vs_lag.csv,unavailable,Anchor and future-window subspace bases were not persisted.
14,effective_rank_vs_decoding_step,analysis/figures/14_effective_rank_vs_decoding_step.png,analysis/figures/data/14_effective_rank_vs_decoding_step.parquet,analysis/figures/data/14_effective_rank_vs_decoding_step.csv,available,
15,singular_spectrum_selected_anchors,analysis/figures/15_singular_spectrum_selected_anchors.png,analysis/figures/data/15_singular_spectrum_selected_anchors.parquet,analysis/figures/data/15_singular_spectrum_selected_anchors.csv,available,
16,new_direction_residual_vs_refresh_benefit,analysis/figures/16_new_direction_residual_vs_refresh_benefit.png,analysis/figures/data/16_new_direction_residual_vs_refresh_benefit.parquet,analysis/figures/data/16_new_direction_residual_vs_refresh_benefit.csv,available,
17,online_leverage_vs_refresh_benefit,analysis/figures/17_online_leverage_vs_refresh_benefit.png,analysis/figures/data/17_online_leverage_vs_refresh_benefit.parquet,analysis/figures/data/17_online_leverage_vs_refresh_benefit.csv,unavailable,Online leverage cannot be recovered without future V vectors and anchor factors.
18,subspace_drift_vs_refresh_benefit,analysis/figures/18_subspace_drift_vs_refresh_benefit.png,analysis/figures/data/18_subspace_drift_vs_refresh_benefit.parquet,analysis/figures/data/18_subspace_drift_vs_refresh_benefit.csv,unavailable,Time-resolved subspaces were not persisted; no proxy is substituted.
19,set_turnover_vs_refresh_benefit,analysis/figures/19_set_turnover_vs_refresh_benefit.png,analysis/figures/data/19_set_turnover_vs_refresh_benefit.parquet,analysis/figures/data/19_set_turnover_vs_refresh_benefit.csv,available,
20,attention_output_error_vs_delta_nll,analysis/figures/20_attention_output_error_vs_delta_nll.png,analysis/figures/data/20_attention_output_error_vs_delta_nll.parquet,analysis/figures/data/20_attention_output_error_vs_delta_nll.csv,available,
21,selection_margin_vs_empirical_lifetime,analysis/figures/21_selection_margin_vs_empirical_lifetime.png,analysis/figures/data/21_selection_margin_vs_empirical_lifetime.parquet,analysis/figures/data/21_selection_margin_vs_empirical_lifetime.csv,available,
22,event_aligned_refresh_benefit_curve,analysis/figures/22_event_aligned_refresh_benefit_curve.png,analysis/figures/data/22_event_aligned_refresh_benefit_curve.parquet,analysis/figures/data/22_event_aligned_refresh_benefit_curve.csv,available,No dense event-time curve is recoverable; bars are boundary-aligned point estimates
23,recent_window_exit_lag_vs_refresh_benefit,analysis/figures/23_recent_window_exit_lag_vs_refresh_benefit.png,analysis/figures/data/23_recent_window_exit_lag_vs_refresh_benefit.parquet,analysis/figures/data/23_recent_window_exit_lag_vs_refresh_benefit.csv,unavailable,Event token identity and dense refreshed replays around the 32-token exit were not saved.
