strategy,leverage_bin,online_leverage_mean,online_leverage_median,selected_probability,ci_low,ci_high,n_rows,n_samples
attention_weighted_v_ridge_leverage,1,0.07792090503991475,0.07309914500075117,0.005291005291005291,0.0,0.01840583850931674,1512,15
attention_weighted_v_ridge_leverage,2,0.21845117487872343,0.21525839399354002,0.07005948446794448,0.03169233956311067,0.16345223410044454,1513,15
attention_weighted_v_ridge_leverage,3,0.4928489500089345,0.48636038430464323,0.40304434149569823,0.28459539961287394,0.5898282324268317,1511,15
attention_weighted_v_ridge_leverage,4,1.126089326955562,1.0708540124696397,0.5687830687830688,0.43945321247952823,0.6686930631639478,1512,12
attention_weighted_v_ridge_leverage,5,11.21234143184545,4.162335200615216,0.9616402116402116,0.9395653761410135,0.9760770869515494,1512,10
snapkv,1,0.07792090503991475,0.07309914500075117,0.9993386243386243,0.9979295798205802,1.0,1512,15
snapkv,2,0.21845117487872343,0.21525839399354002,0.9980171844018506,0.9944028980022105,1.0,1513,15
snapkv,3,0.4928489500089345,0.48636038430464323,1.0,1.0,1.0,1511,15
snapkv,4,1.126089326955562,1.0708540124696397,1.0,1.0,1.0,1512,12
snapkv,5,11.21234143184545,4.162335200615216,1.0,1.0,1.0,1512,10
v_ridge_leverage,1,0.07792090503991475,0.07309914500075117,0.011243386243386243,0.0,0.03597867819733846,1512,15
v_ridge_leverage,2,0.21845117487872343,0.21525839399354002,0.09319233311302048,0.05260054574879736,0.1540159793814432,1513,15
v_ridge_leverage,3,0.4928489500089345,0.48636038430464323,0.6664460622104567,0.5574270008437421,0.8218401041704135,1511,15
v_ridge_leverage,4,1.126089326955562,1.0708540124696397,0.9576719576719577,0.9155232396069628,0.9862502223976928,1512,12
v_ridge_leverage,5,11.21234143184545,4.162335200615216,0.9993386243386243,0.9974617674791078,1.0,1512,10
