strategy,metric,contrast,statistic,estimate,ci_low,ci_high,n_samples
snapkv,refresh_benefit_delta_nll,at_minus_before,mean,0.1855303338275443,-0.22471788877443477,0.606493561279066,15
snapkv,refresh_benefit_delta_nll,at_minus_before,median,0.002208139547491328,-0.027256645746092545,0.364077627658844,15
snapkv,refresh_benefit_delta_nll,after_minus_at,mean,-0.5402403385085999,-1.3104681396042281,0.02617527777487702,15
snapkv,refresh_benefit_delta_nll,after_minus_at,median,-0.01017226732801646,-0.21337884746753844,0.13719594478607178,15
snapkv,stale_delta_nll,at_minus_before,mean,0.22630335156098672,-0.19468721287968066,0.654178167791559,15
snapkv,stale_delta_nll,at_minus_before,median,0.002204491806296005,-0.009225838275654041,0.3611822644373497,15
snapkv,stale_delta_nll,after_minus_at,mean,-0.5610810062457309,-1.3245458897552398,0.004374521977366027,15
snapkv,stale_delta_nll,after_minus_at,median,-0.011254117218285842,-0.19271650351562286,-5.4528154212363233e-05,15
snapkv,selected_in_refreshed_core_layer_fraction,at_minus_before,mean,0.9976190476190475,0.9928571428571428,1.0,15
snapkv,selected_in_refreshed_core_layer_fraction,at_minus_before,median,1.0,1.0,1.0,15
snapkv,selected_in_refreshed_core_layer_fraction,after_minus_at,mean,0.0,0.0,0.0,15
snapkv,selected_in_refreshed_core_layer_fraction,after_minus_at,median,0.0,0.0,0.0,15
v_ridge_leverage,refresh_benefit_delta_nll,at_minus_before,mean,0.48815294331531806,0.038255156468136896,1.0947894053142302,15
v_ridge_leverage,refresh_benefit_delta_nll,at_minus_before,median,0.13945922860875726,0.00021379940517363138,0.40071268379688263,15
v_ridge_leverage,refresh_benefit_delta_nll,after_minus_at,mean,-0.3454546833117239,-1.1559481486972163,0.16536177042929992,15
v_ridge_leverage,refresh_benefit_delta_nll,after_minus_at,median,-0.00014992919750511646,-0.05560247600078583,0.00656712194904685,15
v_ridge_leverage,stale_delta_nll,at_minus_before,mean,0.623335782175477,-0.08008137749543104,1.7431607206406057,15
v_ridge_leverage,stale_delta_nll,at_minus_before,median,0.022869766891023602,-0.007329061587427077,0.23613576204792963,15
v_ridge_leverage,stale_delta_nll,after_minus_at,mean,-0.8826550522710989,-2.4010718955207397,0.05561890130838003,15
v_ridge_leverage,stale_delta_nll,after_minus_at,median,-0.004307331301404815,-0.06308734780188985,0.0037470120669134133,15
v_ridge_leverage,selected_in_refreshed_core_layer_fraction,at_minus_before,mean,0.8523809523809525,0.7047619047619047,0.9809523809523809,15
v_ridge_leverage,selected_in_refreshed_core_layer_fraction,at_minus_before,median,1.0,0.8571428571428571,1.0,15
v_ridge_leverage,selected_in_refreshed_core_layer_fraction,after_minus_at,mean,-0.02857142857142857,-0.04291666666666667,-0.014285714285714284,15
v_ridge_leverage,selected_in_refreshed_core_layer_fraction,after_minus_at,median,-0.0357142857142857,-0.035714285714285754,0.0,15
attention_weighted_v_ridge_leverage,refresh_benefit_delta_nll,at_minus_before,mean,0.06888743689791378,-0.10999150218904409,0.2652335732864564,15
attention_weighted_v_ridge_leverage,refresh_benefit_delta_nll,at_minus_before,median,0.0029374370351433754,-0.031618265486031305,0.08610079810023308,15
attention_weighted_v_ridge_leverage,refresh_benefit_delta_nll,after_minus_at,mean,0.0486658692858138,-0.04696268504085282,0.18095118554338746,15
attention_weighted_v_ridge_leverage,refresh_benefit_delta_nll,after_minus_at,median,-0.002039372076978907,-0.015093028545379639,0.0061187012916783445,15
attention_weighted_v_ridge_leverage,stale_delta_nll,at_minus_before,mean,0.02559003355040801,-0.11927030719372869,0.16481922433676988,15
attention_weighted_v_ridge_leverage,stale_delta_nll,at_minus_before,median,0.0005894535919281907,-0.03810842110821966,0.04895742968933092,15
attention_weighted_v_ridge_leverage,stale_delta_nll,after_minus_at,mean,0.04725175041020861,-0.05640606224003706,0.18268215603443524,15
attention_weighted_v_ridge_leverage,stale_delta_nll,after_minus_at,median,-0.00018809307327671831,-0.02098147613412138,0.00770211169294803,15
attention_weighted_v_ridge_leverage,selected_in_refreshed_core_layer_fraction,at_minus_before,mean,0.6214285714285714,0.4261309523809524,0.8072023809523806,15
attention_weighted_v_ridge_leverage,selected_in_refreshed_core_layer_fraction,at_minus_before,median,0.7142857142857143,0.17857142857142858,1.0,15
attention_weighted_v_ridge_leverage,selected_in_refreshed_core_layer_fraction,after_minus_at,mean,-0.01428571428571429,-0.028571428571428574,-0.0023809523809523872,15
attention_weighted_v_ridge_leverage,selected_in_refreshed_core_layer_fraction,after_minus_at,median,0.0,-0.0357142857142857,0.0,15
