regime,policy,task,n_samples,prompt_tokens_mean,retained_fraction_mean,traj_kl_mean,traj_kl_median,step_kl_mean,step_kl_p95,niah_retrieval,govreport_rouge_l,official_score,repetition_4gram
s0_768_256,qk_pool,govreport,5,930.0,0.2754483461243649,0.006705662622375161,0.0068121553017235,0.00670566262237521,0.023635372426360848,,0.058295464874018356,5.82952,0.00909090909090908
s0_768_256,qk_pool,niah,5,1246.6,0.20535887121371052,0.01053998034671024,0.0113257869550012,0.01053998034671027,0.059801753237843515,1.0,,100.0,0.004761904761904761
s0_768_64,qk_pool,govreport,5,930.0,0.0688620865310912,0.0896494493959754,0.0761187862976474,0.08964944939597544,0.3989286065101629,,0.060784195070138214,6.0784199999999995,0.01365015166835184
s0_768_64,qk_pool,niah,5,1246.6,0.051339717803427574,0.0741309197001299,0.0738638665800819,0.07413091970012994,0.33816271126270325,1.0,,100.0,0.0
s0_768_64_h4,qk_pool,govreport,5,930.0,0.0688620865310912,0.25571483428408215,0.2667150937504626,0.2557148342840822,1.1981021165847794,,0.060590983084919836,6.05908,0.00930232558139534
s0_768_64_h4,qk_pool,niah,5,1246.6,0.051339717803427574,0.49642199119392527,0.5214207312856681,0.49642199119392527,2.2311094284057655,0.2,,20.0,0.0
s0_768_64_h16,qk_pool,govreport,5,930.0,0.0688620865310912,0.6459032936506878,0.702613889522343,0.6459032936506878,3.764019250869751,,0.05466351856036937,5.46634,0.01406926406926406
s0_768_64_h16,qk_pool,niah,5,1246.6,0.051339717803427574,1.0418487515107862,1.049416270323673,1.0418487515107862,5.831236886978154,0.0,,0.0,0.00909090909090908
s1_3072_256,qk_pool,govreport,3,3493.0,0.07333995478269771,0.03278432722008296,0.0307352307284531,0.03278432722008303,0.09659747630357733,,0.0652425511659249,6.524266666666667,0.007575757575757566
s1_3072_256,qk_pool,niah,3,4703.0,0.05443334698372727,0.019368747702161168,0.0192847821618303,0.01936874770216122,0.10356454588472837,1.0,,100.0,0.007936507936507934
s1_3072_256,qk_pool,reasoning,2,3115.5,0.08217040782306856,0.007493015066829849,0.007493015066829849,0.007493015066829917,0.034180280007421945,0.0,,0.0,0.0
s1_3072_256_h4,qk_pool,govreport,3,3493.0,0.07333995478269771,0.09093429543982762,0.1043010153233682,0.09093429543982763,0.35251752585172613,,0.06881444950927046,6.881433333333334,0.0074074074074074
s1_3072_256_h4,qk_pool,niah,3,4703.0,0.05443334698372727,0.0259419625453368,0.0283817380034875,0.025941962545336882,0.1295756254345175,1.0,,100.0,0.007936507936507934
s1_3072_256_h4,qk_pool,reasoning,2,3115.5,0.08217040782306856,0.01020451783277675,0.01020451783277675,0.010204517832776806,0.04070396143943069,0.0,,0.0,0.0
s1_3072_256_h16,qk_pool,govreport,3,3493.0,0.07333995478269771,0.3132522966499939,0.1349434701528013,0.3132522966499939,1.4224696993827814,,0.0723197667135669,7.231999999999999,0.022727272727272697
s1_3072_256_h16,qk_pool,niah,3,4703.0,0.05443334698372727,0.05900540045154943,0.0642964768801067,0.05900540045154948,0.4857282772660252,1.0,,100.0,0.0
s1_3072_256_h16,qk_pool,reasoning,2,3115.5,0.08217040782306856,0.025423354063561297,0.025423354063561297,0.02542335406356138,0.1271120026707649,0.0,,0.0,0.0
s2_3072_64,qk_pool,govreport,3,3493.0,0.018334988695674365,0.24755642592393778,0.1273219494623478,0.2475564259239378,1.0388739109039289,,0.06406253898014992,6.406233333333334,0.007575757575757566
s2_3072_64,qk_pool,niah,3,4703.0,0.013608336745931766,0.06654597650201853,0.0667528817864303,0.06654597650201859,0.38393715620040886,1.0,,100.0,0.0
s2_3072_64,qk_pool,reasoning,2,3115.5,0.020542601955767098,0.0235717205988829,0.0235717205988829,0.02357172059888296,0.13765766210853994,0.0,,0.0,0.0
s2_3072_64_h4,qk_pool,govreport,3,3493.0,0.018334988695674365,0.2694572720959674,0.2977509199659043,0.2694572720959674,1.1869004726409897,,0.06713208956505261,6.7132000000000005,0.007575757575757566
s2_3072_64_h4,qk_pool,niah,3,4703.0,0.013608336745931766,0.616031937362895,0.5709429190743761,0.6160319373628949,3.31652668714523,0.3333333333333333,,33.333333333333336,0.0
s2_3072_64_h4,qk_pool,reasoning,2,3115.5,0.020542601955767098,0.096146225590867,0.096146225590867,0.09614622559086702,0.2249922588467597,0.0,,0.0,0.0
s2_3072_64_h16,qk_pool,govreport,3,3493.0,0.018334988695674365,1.1621697554901653,0.8887280748305044,1.1621697554901653,5.962966942787153,,0.0655342126764735,6.5534,0.008130081300813
s2_3072_64_h16,qk_pool,niah,3,4703.0,0.013608336745931766,1.1490200556233594,1.0266970180315194,1.1490200556233594,8.356536078453036,0.3333333333333333,,33.333333333333336,0.05921052631578946
s2_3072_64_h16,qk_pool,reasoning,2,3115.5,0.020542601955767098,0.5721868135419661,0.5721868135419661,0.5721868135419661,3.5606184720993,0.0,,0.0,0.0625
s1_3072_256_mk,qk_pool,niah,3,4823.0,0.0530790147376479,0.06267569126574313,0.0661428872558036,0.06267569126574317,0.08689378835260839,1.0,,100.0,0.0
s1_3072_256_reasoning_af,qk_pool,reasoning,2,3107.5,0.0823819518574255,0.009566223915254999,0.009566223915254999,0.009566223915255048,0.042567020468413715,0.0,,0.0,0.0
s1_3072_256_qwen25_7b,qk_pool,govreport,3,3510.0,0.0729842626477038,0.0274543639073548,0.0178188830836823,0.027454363907354853,0.08455872684717168,,0.06564305247860663,6.5643,0.0
s1_3072_256_qwen25_7b,qk_pool,niah,3,4720.0,0.054237294627657,0.005997957974864067,0.0044016697596966,0.005997957974864146,0.02483219960704445,1.0,,100.0,0.0
s1_3072_256_qwen25_7b,qk_pool,reasoning,2,3132.5,0.08172446446791655,0.00312868328631605,0.00312868328631605,0.0031286832863161016,0.012944518122822046,0.0,,0.0,0.0
