regime,arm,sample_id,task,qk_pool_kl,arm_kl,qk_wins
s0_768_256,attention,synthetic_niah_86,niah,0.0135277651445348,0.8065243007563698,True
s0_768_256,attention,synthetic_niah_87,niah,0.0078843593730541,0.3722135446866426,True
s0_768_256,attention,synthetic_niah_88,niah,0.0114105033230392,0.3680166994102001,True
s0_768_256,attention,synthetic_niah_89,niah,0.0113257869550012,0.4702180905312867,True
s0_768_256,attention,synthetic_niah_90,niah,0.0085514869379219,0.4761892864036299,True
s0_768_256,attention,gov_report:86,govreport,0.0093782651513975,0.3995405293758723,True
s0_768_256,attention,gov_report:87,govreport,0.0034226783583612,0.1299926379496181,True
s0_768_256,attention,gov_report:88,govreport,0.0047313520040358,0.1085385756048941,True
s0_768_256,attention,gov_report:89,govreport,0.0068121553017235,0.2071897347556493,True
s0_768_256,attention,gov_report:90,govreport,0.0091838622963578,0.1195849330288431,True
s0_768_256,quest_like,synthetic_niah_86,niah,0.0135277651445348,0.0346500473337029,True
s0_768_256,quest_like,synthetic_niah_87,niah,0.0078843593730541,0.0130754125948966,True
s0_768_256,quest_like,synthetic_niah_88,niah,0.0114105033230392,0.0299887654216538,True
s0_768_256,quest_like,synthetic_niah_89,niah,0.0113257869550012,0.0221758842536617,True
s0_768_256,quest_like,synthetic_niah_90,niah,0.0085514869379219,0.0295849329603341,True
s0_768_256,quest_like,gov_report:86,govreport,0.0093782651513975,0.0371402955163498,True
s0_768_256,quest_like,gov_report:87,govreport,0.0034226783583612,0.0121083943975165,True
s0_768_256,quest_like,gov_report:88,govreport,0.0047313520040358,0.0131688333864847,True
s0_768_256,quest_like,gov_report:89,govreport,0.0068121553017235,0.0281884087206787,True
s0_768_256,quest_like,gov_report:90,govreport,0.0091838622963578,0.0225191574208752,True
s0_768_256,recency,synthetic_niah_86,niah,0.0135277651445348,0.2277448237622813,True
s0_768_256,recency,synthetic_niah_87,niah,0.0078843593730541,0.7193439818588199,True
s0_768_256,recency,synthetic_niah_88,niah,0.0114105033230392,0.4065440155104752,True
s0_768_256,recency,synthetic_niah_89,niah,0.0113257869550012,0.3028060698655873,True
s0_768_256,recency,synthetic_niah_90,niah,0.0085514869379219,0.2468571478608792,True
s0_768_256,recency,gov_report:86,govreport,0.0093782651513975,1.0625690693092102,True
s0_768_256,recency,gov_report:87,govreport,0.0034226783583612,1.571690297814032,True
s0_768_256,recency,gov_report:88,govreport,0.0047313520040358,0.8072668181571498,True
s0_768_256,recency,gov_report:89,govreport,0.0068121553017235,1.293876232960229,True
s0_768_256,recency,gov_report:90,govreport,0.0091838622963578,1.313195274095893,True
s0_768_256,statekv_exact_mean,synthetic_niah_86,niah,0.0135277651445348,0.0408373741242098,True
s0_768_256,statekv_exact_mean,synthetic_niah_87,niah,0.0078843593730541,0.0206595277438744,True
s0_768_256,statekv_exact_mean,synthetic_niah_88,niah,0.0114105033230392,0.0144870212079694,True
s0_768_256,statekv_exact_mean,synthetic_niah_89,niah,0.0113257869550012,0.050058730751653,True
s0_768_256,statekv_exact_mean,synthetic_niah_90,niah,0.0085514869379219,0.0287406127159163,True
s0_768_256,statekv_exact_mean,gov_report:86,govreport,0.0093782651513975,0.0215599724099217,True
s0_768_256,statekv_exact_mean,gov_report:87,govreport,0.0034226783583612,0.0051899067665778,True
s0_768_256,statekv_exact_mean,gov_report:88,govreport,0.0047313520040358,0.0061232648927943,True
s0_768_256,statekv_exact_mean,gov_report:89,govreport,0.0068121553017235,0.0156396968507939,True
s0_768_256,statekv_exact_mean,gov_report:90,govreport,0.0091838622963578,0.0097060122509276,True
s0_768_256,uniform,synthetic_niah_86,niah,0.0135277651445348,1.5688415218929326,True
s0_768_256,uniform,synthetic_niah_87,niah,0.0078843593730541,1.574166654794062,True
s0_768_256,uniform,synthetic_niah_88,niah,0.0114105033230392,0.8203013513590232,True
s0_768_256,uniform,synthetic_niah_89,niah,0.0113257869550012,0.9325436804496696,True
s0_768_256,uniform,synthetic_niah_90,niah,0.0085514869379219,0.8102354888322927,True
s0_768_256,uniform,gov_report:86,govreport,0.0093782651513975,0.9546993346499836,True
s0_768_256,uniform,gov_report:87,govreport,0.0034226783583612,0.5469168075392358,True
