bucket,feature,rows,spearman_raw,partial_spearman_given_attn,partial_spearman_attn_given_feature
deep_inside,delta,2875392,0.32780436888107944,-0.04812238624298808,0.7063294386385685
deep_inside,pv,2875392,-0.26266526779173155,-0.07914519125017504,0.7170934963636991
deep_inside,vn,2875392,-0.2621514129150834,-0.07929205319190022,0.717222004588665
deep_inside,apv,2875392,0.31611431953789415,-0.0641605282493228,0.7092672150009733
near_inside,delta,884736,0.04684322029636943,-0.08189553487617883,0.6309375260564029
near_inside,pv,884736,-0.30826211772486894,-0.07540852218364878,0.5767100697270418
near_inside,vn,884736,-0.3103980772386711,-0.07651004138079807,0.5760744230011096
near_inside,apv,884736,0.04256214262873495,-0.09377219964305458,0.6320121198357895
boundary_in,delta,294912,0.05150651920324834,-0.07988469188276953,0.6384740330685614
boundary_in,pv,294912,-0.3169741997049977,-0.0746898861771746,0.5842126020647265
boundary_in,vn,294912,-0.31943009552923685,-0.07579606179191997,0.5834135660826929
boundary_in,apv,294912,0.04727981346858161,-0.09172803504523307,0.6395355441300964
boundary_out,delta,294912,0.05620687694940841,-0.07748774761052343,0.6443189045371823
boundary_out,pv,294912,-0.3202231208051437,-0.07175422835292074,0.5914161591715946
boundary_out,vn,294912,-0.32278283222488907,-0.07284974018624744,0.5905804019852181
boundary_out,apv,294912,0.05223260550557589,-0.0891498697518348,0.6453028445521056
near_out,delta,884736,0.05908534374615778,-0.07926438409987369,0.6541720059490731
near_out,pv,884736,-0.333659717417319,-0.07561685773934307,0.6000625520470827
near_out,vn,884736,-0.33636382304762463,-0.07669371175171441,0.5991340591330292
near_out,apv,884736,0.055161261056769856,-0.09086125217702228,0.6551530514782112
far_out,delta,65670912,0.5619285063731214,-0.0831360140250158,0.7956886472329702
far_out,pv,65670912,-0.3899079981730866,-0.10070651502996876,0.842903076281689
far_out,vn,65670912,-0.3940912322657281,-0.10297845259682917,0.8422400257194965
far_out,apv,65670912,0.563248792865141,-0.08857648042150999,0.7962324461000982
