layer,partial_delta_given_attn,partial_pv_given_attn,spearman_attn_future
0,-0.019460235264330807,-0.10480857841326593,0.8292738675341751
1,-0.09993266393798306,-0.1377973733179198,0.8915724659886475
2,0.07651596179034259,-0.01011830734933479,0.8482461791914329
3,-0.035875608742097144,-0.05273351052139758,0.8030486888927308
4,0.06355044791553006,0.05412313500601701,0.9046333140256526
5,0.0825297214206545,0.017999754383547884,0.8692500479254281
6,0.009224903321733795,-0.008282389540441077,0.879885155304346
7,0.11438735455580254,0.08545021371329964,0.8054899324540993
8,0.2608505618928863,0.21941055279586477,0.844202353058985
9,0.17581301928894988,0.12558861422921017,0.8139991995688839
10,0.19241359396031577,0.11774087499805244,0.873143556528432
11,0.14247226601866247,0.12243933148448669,0.817989276932941
12,0.0727008608717037,0.18517163771937772,0.8232191338072178
13,0.13996578732095094,0.13913490360456798,0.8140087902071979
14,0.20065625239321766,0.1746622167766657,0.8625238324349136
15,0.1321403144889031,0.10937655695680336,0.8048903939693082
16,0.23768386995147822,0.23243968464118678,0.8565765211007562
17,0.16446453410115175,0.19141711306269832,0.8485594287013463
18,0.2558211408105231,0.2707459919341165,0.87136720927601
19,0.1520946171496592,0.18602342782631948,0.862724842324554
20,0.11662482580128954,0.1312837514963006,0.8625175491559331
21,0.20112717187499857,0.1773301896186706,0.8789698280090011
22,0.13305290244964957,0.17541735976852743,0.8915181214202197
23,0.18280839282766542,0.19357539597411183,0.8805638208921671
24,-0.003437177174787533,0.129190211409769,0.8833728860027418
25,0.11246026628609494,0.18762350633788089,0.8960886579018816
26,0.1508957181431141,0.17457892506774708,0.8837756577006938
27,0.1928616901708985,0.20295982702120902,0.8987832779120256
28,0.07438296766222709,0.16118606111668057,0.8711713928871752
29,0.06607332433372706,0.0821726985427567,0.8287791151519924
30,0.06578440221490554,0.15495062473586074,0.8846881929264423
31,0.13640186822278613,0.09978540496987666,0.818515077571987
32,0.04908211958674568,0.044027195505886955,0.8171109216093538
33,0.09085971441397359,0.08335067132124417,0.8105569909849061
34,0.03983600911849195,0.056935103927318195,0.8004132049970173
35,-0.06101715112401871,-0.1040434484336594,0.85449501305351
