context,task,offset,pairs,cycles,frac_improves,median_regret,p05_regret,median_rel_improvement,best_rel_improvement
3072,govreport,1,16,16,0.4375,5.208766822306643e-07,-1.3223994756117463e-05,-0.00020191032587758265,0.017757166165850127
3072,govreport,2,16,16,0.5,-7.879989993853087e-08,-0.0003840019926428795,-7.747253219223319e-06,0.010118592360183217
3072,govreport,4,16,16,0.5625,-2.6919866513708257e-07,-6.521865725517273e-05,0.0002470040867782242,0.019211032875972537
3072,govreport,8,16,16,0.375,2.3534448700957e-07,-0.0001234542578458786,-0.00028170569104752697,0.02909784976072315
3072,govreport,16,16,16,0.3125,5.057081580162048e-07,-6.523169577121735e-05,-0.00034610416344954775,0.004572011977511841
3072,govreport,32,16,16,0.4375,1.7099773685913533e-07,-3.766873851418495e-05,-3.658683379336854e-05,0.07962470418576979
3072,niah,1,16,16,0.4375,-8.479328350574633e-15,-7.014535367488861e-05,1.679015244518742e-05,0.0016314121045782341
3072,niah,2,16,16,0.3125,6.539040142694574e-15,-5.277292802929878e-05,-9.459742371391217e-05,0.004523078038188989
3072,niah,4,16,16,0.5,-2.2215285166993226e-11,-0.0004410655237734318,5.294661030577905e-05,0.051783076519726225
3072,niah,8,16,16,0.375,-2.192690473634684e-15,-8.47838819026947e-05,6.1183708313824925e-06,0.00289713033556132
3072,niah,16,16,16,0.375,1.202033264591229e-14,-4.457286559045315e-05,-4.063837172807759e-05,0.002769098508470564
3072,niah,32,16,16,0.5,-3.20513060536598e-12,-0.000245128758251667,7.283348979866645e-05,0.03632067090426569
3072,reasoning,1,16,16,0.3125,1.0943058370571634e-07,-4.038214683532715e-06,-3.691325172613187e-05,0.001916902831001174
3072,reasoning,2,16,16,0.4375,-2.883526750707688e-13,-3.870215732604265e-05,4.351095572186463e-05,0.01142389783695385
3072,reasoning,4,16,16,0.5625,-7.788394396079923e-08,-2.1062325686216354e-05,0.00026572654521249026,0.004833499145712004
3072,reasoning,8,16,16,0.4375,-2.063904602778166e-13,-1.0269810445606709e-05,3.262238495986192e-05,0.0033253658245532836
3072,reasoning,16,16,16,0.1875,7.380731403827667e-07,-3.631197614595294e-06,-0.00022951375378616192,0.0029778143187306192
3072,reasoning,32,16,16,0.3125,1.4964696148922485e-12,-5.755922757089138e-06,-3.5508296000865e-05,0.002319799647136024
768,govreport,1,16,16,0.4375,8.123951204808133e-08,-3.063923213630915e-05,9.770054263096612e-05,0.11739323022832872
768,govreport,2,16,16,0.25,8.375427569262683e-07,-7.484282832592726e-06,-0.004104159263444691,0.002059611061183442
768,govreport,4,16,16,0.5,-5.156237284364984e-09,-0.00016512966249138117,0.0005960740731724928,0.22690610508148013
768,govreport,8,16,16,0.3125,4.6816421672701836e-07,-1.6435020370408893e-05,-0.0012208934205251345,0.1302907237300534
768,govreport,16,16,16,0.3125,4.3870750232599676e-07,-3.4963537473231554e-05,-0.0018321667292963064,0.21259468181373195
768,govreport,32,16,16,0.625,-6.681053719148622e-07,-1.0906427633017302e-05,0.0012137129731473908,0.1972129265803314
768,niah,1,32,32,0.3125,4.031214449165717e-15,-7.672221399843692e-05,-8.483397110956504e-05,0.041647241211251185
768,niah,2,32,32,0.40625,1.2594685358654698e-15,-0.0003726137802004814,1.0535439068152692e-06,0.1871836019518014
768,niah,4,32,32,0.46875,-2.212496492574401e-13,-2.8285570442676546e-05,1.4874613680808183e-05,0.03398880554290881
768,niah,8,32,32,0.4375,-6.5416422279085396e-15,-0.00011716033332049846,0.00013009373875916744,1.129860094373214
768,niah,16,32,32,0.40625,-4.1915310198398226e-14,-4.191694315522909e-05,0.00029700430465437493,0.2761818551633155
768,niah,32,32,32,0.34375,1.4764231504038605e-13,-0.00016619183588773012,-0.00028535339548186277,0.14008239013207913
