regime,policy,task,churn_mean,recovered_fraction_mean,universe_mean,scoring_forward_s_mean
s0_768_256,attention,govreport,0.0,0.0,960.5,0.0
s0_768_256,attention,niah,0.0,0.0,1277.1,0.0
s0_768_256,qk_pool,govreport,54.7268077601411,0.24487136994949496,960.5,0.12211963739375165
s0_768_256,qk_pool,niah,41.26384479717813,0.1846322601010101,1277.1,0.13749031979688803
s0_768_256,quest_like,govreport,56.31358024691358,0.2519712752525253,960.5,0.12144784596252123
s0_768_256,quest_like,niah,38.728130511463846,0.17328637941919195,1277.1,0.1362848475281339
s0_768_256,recency,govreport,1.0,0.004474431818181819,960.5,0.0
s0_768_256,recency,niah,1.0,0.004474431818181819,1277.1,0.0
s0_768_256,statekv_exact_mean,govreport,113.55679012345679,0.5081021148989899,960.5,0.12475483387815416
s0_768_256,statekv_exact_mean,niah,118.37363315696649,0.5296547506313132,1277.1,0.16478744207499468
s0_768_256,uniform,govreport,110.0,0.4921875,960.5,0.0
s0_768_256,uniform,niah,110.0,0.4921875,1277.1,0.0
s0_768_128,qk_pool,govreport,28.98095238095238,0.31008831521739133,960.5,0.12429855125938474
s0_768_128,qk_pool,niah,17.822663139329805,0.19069765247584541,1277.1,0.16655756429687946
s0_768_128,quest_like,govreport,28.122663139329806,0.30090485356280194,960.5,0.12311426484372774
s0_768_128,quest_like,niah,12.776984126984127,0.1367102581521739,1277.1,0.14469710793437382
s0_768_128,uniform,govreport,46.0,0.4921875,960.5,0.0
s0_768_128,uniform,niah,46.0,0.4921875,1277.1,0.0
s0_768_64,qk_pool,govreport,10.908906525573192,0.3835162450396825,960.5,0.12999902265625493
s0_768_64,qk_pool,niah,8.382010582010581,0.29468005952380955,1277.1,0.16357716083124846
s0_768_64,quest_like,govreport,10.096737213403882,0.35496341765873013,960.5,0.12216100352185677
s0_768_64,quest_like,niah,6.604673721340387,0.23219556051587303,1277.1,0.13461307786562945
s0_768_64,uniform,govreport,14.0,0.4921875,960.5,0.0
s0_768_64,uniform,niah,14.0,0.4921875,1277.1,0.0
s0_768_64_h4,qk_pool,govreport,14.383703703703704,0.48159722222222223,959.0,0.12034433436249828
s0_768_64_h4,qk_pool,niah,11.023703703703703,0.3690972222222222,1275.6,0.20909462968750098
s0_768_64_h4,uniform,govreport,24.14666666666667,0.8084821428571429,959.0,0.0
s0_768_64_h4,uniform,niah,24.106666666666666,0.8071428571428572,1275.6,0.0
s0_768_64_h16,qk_pool,govreport,17.227777777777774,0.4614583333333334,953.0,0.1265395062000124
s0_768_64_h16,qk_pool,niah,15.49259259259259,0.4149801587301588,1269.6,0.4242359291999964
s0_768_64_h16,uniform,govreport,26.6,0.7124999999999999,953.0,0.0
s0_768_64_h16,uniform,niah,26.533333333333335,0.7107142857142856,1269.6,0.0
s1_3072_256,qk_pool,govreport,76.5925925925926,0.34270833333333334,3523.5,0.25365731052082197
s1_3072_256,qk_pool,niah,52.52028218694885,0.23499842171717175,4733.5,0.34481131466144266
s1_3072_256,qk_pool,reasoning,44.20987654320988,0.1978140782828283,3146.0,0.22366652185152702
s1_3072_256,quest_like,govreport,73.83847736625515,0.33038523253367,3523.5,0.23626764082816484
s1_3072_256,quest_like,niah,38.94885361552028,0.17427398989898987,4733.5,0.3632288240104155
s1_3072_256,quest_like,reasoning,39.190917107583765,0.175357086489899,3146.0,0.22177327436720873
s1_3072_256,uniform,govreport,110.0,0.4921875,3523.5,0.0
s1_3072_256,uniform,niah,110.0,0.4921875,4733.5,0.0
s1_3072_256,uniform,reasoning,110.0,0.4921875,3146.0,0.0
s1_3072_256_h4,qk_pool,govreport,98.51604938271606,0.41981271043771046,3522.0,0.3228629549583483
s1_3072_256_h4,qk_pool,niah,75.78827160493827,0.3229613846801347,4732.0,0.31197222577082684
s1_3072_256_h4,qk_pool,reasoning,56.26203703703704,0.23975299873737374,3144.5,0.21743673437502764
s1_3072_256_h16,qk_pool,govreport,131.28395061728395,0.44755892255892255,3516.0,0.5802544757499959
s1_3072_256_h16,qk_pool,niah,94.1358024691358,0.3209175084175084,4726.0,0.4346752500832925
s1_3072_256_h16,qk_pool,reasoning,80.07870370370371,0.27299558080808084,3138.5,0.24485289562503
s2_3072_64,qk_pool,govreport,11.64726631393298,0.40947420634920634,3523.5,0.2579136634166517
s2_3072_64,qk_pool,niah,7.743386243386244,0.2722284226190476,4733.5,0.29985339931250693
s2_3072_64,qk_pool,reasoning,8.271384479717813,0.29079086061507936,3146.0,0.2206551491406259
s2_3072_64,uniform,govreport,14.0,0.4921875,3523.5,0.0
s2_3072_64,uniform,niah,14.0,0.4921875,4733.5,0.0
s2_3072_64,uniform,reasoning,14.0,0.4921875,3146.0,0.0
s2_3072_64_h4,qk_pool,govreport,14.722222222222221,0.4929315476190476,3522.0,0.4140913479583522
s2_3072_64_h4,qk_pool,niah,10.695061728395062,0.35809358465608465,4732.0,1.1945111145833291
s2_3072_64_h4,qk_pool,reasoning,11.271296296296297,0.3773871527777778,3144.5,0.3686725259374981
s2_3072_64_h16,qk_pool,govreport,17.620370370370367,0.47197420634920634,3516.0,1.325581100750033
s2_3072_64_h16,qk_pool,niah,16.358024691358025,0.43816137566137564,4726.0,0.7770409512500104
s2_3072_64_h16,qk_pool,reasoning,19.00462962962963,0.5090525793650794,3138.5,0.9071446039999387
s1_3072_256_mk,qk_pool,niah,39.182539682539684,0.17531960227272725,4853.5,0.7424354472916462
s1_3072_256_mk,quest_like,niah,28.838918283362727,0.12903777356902357,4853.5,0.8074602114166703
