sample_id,candidate,cycles
gov_report:86,a2_temporal_volatility,5
gov_report:86,attention,1
gov_report:86,b2_uniform,3
gov_report:86,snapkv,12
gov_report:86,stale_prev,26
gov_report:86,uniform,17
gov_report:87,a2_temporal_volatility,4
gov_report:87,attention,5
gov_report:87,b2_uniform,2
gov_report:87,snapkv,7
gov_report:87,stale_prev,30
gov_report:87,uniform,16
gov_report:88,a2_temporal_volatility,5
gov_report:88,attention,7
gov_report:88,b2_uniform,5
gov_report:88,snapkv,7
gov_report:88,stale_prev,23
gov_report:88,uniform,17
gov_report:89,a2_temporal_volatility,8
gov_report:89,attention,4
gov_report:89,b2_uniform,2
gov_report:89,snapkv,9
gov_report:89,stale_prev,27
gov_report:89,uniform,14
gov_report:90,a2_temporal_volatility,6
gov_report:90,attention,5
gov_report:90,b2_uniform,2
gov_report:90,snapkv,14
gov_report:90,stale_prev,28
gov_report:90,uniform,9
synthetic_niah_86,a2_temporal_volatility,4
synthetic_niah_86,attention,3
synthetic_niah_86,b2_uniform,4
synthetic_niah_86,snapkv,7
synthetic_niah_86,stale_prev,32
synthetic_niah_86,uniform,14
synthetic_niah_87,a2_temporal_volatility,2
synthetic_niah_87,attention,3
synthetic_niah_87,b2_uniform,3
synthetic_niah_87,snapkv,16
synthetic_niah_87,stale_prev,25
synthetic_niah_87,uniform,15
synthetic_niah_88,a2_temporal_volatility,5
synthetic_niah_88,attention,1
synthetic_niah_88,b2_uniform,3
synthetic_niah_88,snapkv,11
synthetic_niah_88,stale_prev,31
synthetic_niah_88,uniform,13
synthetic_niah_89,a2_temporal_volatility,7
synthetic_niah_89,attention,5
synthetic_niah_89,b2_uniform,1
synthetic_niah_89,snapkv,13
synthetic_niah_89,stale_prev,32
synthetic_niah_89,uniform,6
synthetic_niah_90,a2_temporal_volatility,3
synthetic_niah_90,b2_uniform,4
synthetic_niah_90,snapkv,16
synthetic_niah_90,stale_prev,28
synthetic_niah_90,uniform,13
