candidate,horizon,rows,mean_step_kl,p95_step_kl,mean_cumulative_kl,p95_cumulative_kl
b2_uniform,1,101,0.0528522211474516,0.42622044682502747,0.0528522211474516,0.42622044682502747
a2_temporal_volatility,1,101,0.05289001900455505,0.42619588971138,0.05289001900455505,0.42619588971138
attention,1,101,0.05290191330650928,0.4260750412940979,0.05290191330650928,0.4260750412940979
snapkv,1,101,0.053736602241025985,0.42424798011779785,0.053736602241025985,0.42424798011779785
uniform,1,101,0.13599909024826518,0.6318414807319641,0.13599909024826518,0.6318414807319641
b2_uniform,2,101,0.45228449734958165,0.7330327033996582,0.2525683592485166,0.44098204114439454
attention,2,101,0.4523281583431989,0.7327225208282471,0.252615035824854,0.4432614717730132
a2_temporal_volatility,2,101,0.4523618734605746,0.7330483198165894,0.2526259462325649,0.4412502322436467
snapkv,2,101,0.6408374468740562,0.8436756134033203,0.34728702455754107,0.5776825547218323
uniform,2,101,0.881904591334149,2.571323871612549,0.5089518407912071,2.281590804224834
b2_uniform,4,101,0.2794688344515782,0.25553277134895325,0.20198759970506952,0.32710225880146027
attention,4,101,0.27959353238802404,0.2557058334350586,0.20204445472569,0.32690023072063923
a2_temporal_volatility,4,101,0.2795154465210527,0.253169983625412,0.20204476982793454,0.32667736057192087
snapkv,4,101,0.2801603877513475,0.258533239364624,0.24945228039347583,0.8474444691091776
uniform,4,101,0.7642902955101825,1.5114103555679321,0.5334313942200827,5.521763253957033
