sample_id,cycle,cliff_candidates,cliff_fraction
gov_report:101,0,0,0.0
gov_report:101,4,0,0.0
gov_report:101,8,0,0.0
gov_report:101,12,0,0.0
gov_report:101,16,0,0.0
gov_report:101,20,5,1.0
gov_report:101,24,0,0.0
gov_report:101,28,5,1.0
gov_report:101,32,5,1.0
gov_report:102,0,0,0.0
gov_report:102,4,5,1.0
gov_report:103,0,0,0.0
gov_report:103,4,0,0.0
gov_report:103,8,5,1.0
gov_report:103,12,0,0.0
gov_report:103,16,0,0.0
gov_report:103,20,0,0.0
gov_report:103,24,0,0.0
gov_report:103,28,0,0.0
gov_report:103,32,0,0.0
gov_report:103,36,5,1.0
gov_report:103,40,5,1.0
gov_report:103,44,5,1.0
gov_report:104,0,0,0.0
gov_report:104,4,0,0.0
gov_report:104,8,0,0.0
gov_report:104,12,0,0.0
gov_report:104,16,0,0.0
gov_report:104,20,5,1.0
gov_report:104,24,0,0.0
gov_report:104,28,5,1.0
gov_report:104,32,0,0.0
gov_report:104,36,5,1.0
gov_report:104,40,5,1.0
gov_report:105,0,1,0.2
gov_report:105,4,0,0.0
gov_report:105,8,0,0.0
gov_report:105,12,0,0.0
gov_report:105,16,0,0.0
synthetic_niah_101,0,1,0.2
synthetic_niah_101,4,0,0.0
synthetic_niah_101,8,0,0.0
synthetic_niah_101,12,0,0.0
synthetic_niah_101,16,0,0.0
synthetic_niah_101,20,0,0.0
synthetic_niah_101,24,0,0.0
synthetic_niah_101,28,0,0.0
synthetic_niah_101,32,0,0.0
synthetic_niah_101,36,0,0.0
synthetic_niah_101,40,5,1.0
synthetic_niah_102,0,1,0.2
synthetic_niah_102,4,0,0.0
synthetic_niah_102,8,0,0.0
synthetic_niah_102,12,0,0.0
synthetic_niah_102,16,0,0.0
synthetic_niah_102,20,0,0.0
synthetic_niah_102,24,0,0.0
synthetic_niah_102,28,0,0.0
synthetic_niah_102,32,0,0.0
synthetic_niah_102,36,0,0.0
synthetic_niah_103,0,1,0.2
synthetic_niah_103,4,0,0.0
synthetic_niah_103,8,0,0.0
synthetic_niah_103,12,0,0.0
synthetic_niah_103,16,0,0.0
synthetic_niah_103,20,0,0.0
synthetic_niah_103,24,0,0.0
synthetic_niah_103,28,0,0.0
synthetic_niah_103,32,0,0.0
synthetic_niah_103,36,0,0.0
synthetic_niah_103,40,0,0.0
synthetic_niah_104,0,1,0.2
synthetic_niah_104,4,0,0.0
synthetic_niah_104,8,0,0.0
synthetic_niah_104,12,0,0.0
synthetic_niah_104,16,0,0.0
synthetic_niah_104,20,0,0.0
synthetic_niah_104,24,0,0.0
synthetic_niah_104,28,0,0.0
synthetic_niah_104,32,0,0.0
synthetic_niah_104,36,0,0.0
synthetic_niah_104,40,0,0.0
synthetic_niah_104,44,0,0.0
synthetic_niah_104,48,0,0.0
synthetic_niah_104,52,5,1.0
synthetic_niah_104,56,5,1.0
synthetic_niah_104,60,0,0.0
synthetic_niah_105,0,1,0.2
synthetic_niah_105,4,0,0.0
synthetic_niah_105,8,0,0.0
synthetic_niah_105,12,0,0.0
synthetic_niah_105,16,0,0.0
synthetic_niah_105,20,0,0.0
synthetic_niah_105,24,0,0.0
synthetic_niah_105,28,0,0.0
synthetic_niah_105,32,0,0.0
synthetic_niah_105,36,0,0.0
synthetic_niah_105,40,5,1.0
synthetic_niah_105,44,5,1.0
synthetic_niah_105,48,5,1.0
synthetic_niah_105,52,5,1.0
