horizon,candidate,mean_oracle_regret,regret_positive_fraction,win_fraction
1,a2_temporal_volatility,0.0005749956566291443,0.6633663366336634,1.0
1,attention,0.0005868899585833791,0.7029702970297029,1.0
1,b2_uniform,0.0005371977995256972,0.693069306930693,1.0
1,snapkv,0.001421578893100082,0.5445544554455446,1.0
1,uniform,0.08368406690033925,0.504950495049505,1.0
2,a2_temporal_volatility,0.003597271179858674,0.6732673267326733,1.0
2,attention,0.003563556062482898,0.693069306930693,1.0
2,b2_uniform,0.003519895068865764,0.693069306930693,1.0
2,snapkv,0.19207284459334026,0.6336633663366337,1.0
2,uniform,0.4331399890534331,0.5742574257425742,1.0
4,a2_temporal_volatility,0.0006364151085144629,0.6534653465346535,1.0
4,attention,0.0007145009754857737,0.7227722772277227,1.0
4,b2_uniform,0.0005898030390399529,0.7029702970297029,1.0
4,snapkv,0.001281356338809252,0.6039603960396039,1.0
4,uniform,0.48541126409764407,0.49504950495049505,1.0
