relationship,bin,x_mean,x_median,y_mean,y_median,y_sample_mean_se,n_rows,n_samples
attention drift -> selector set turnover,1,0.05364922344273732,0.05102580237089843,0.0319023569023569,0.004545454545454519,0.006831399178937462,972,15
attention drift -> selector set turnover,2,0.18427392453186703,0.18568861599074055,0.04160119715675271,0.00909090909090915,0.0065813490802080505,972,15
attention drift -> selector set turnover,3,0.3229332052450539,0.32317248345775385,0.04299476243920688,0.00909090909090915,0.004480980158680961,972,15
attention drift -> selector set turnover,4,0.5148727792483316,0.5146075601190822,0.04527684249906472,0.00909090909090915,0.008770004908043843,972,15
attention drift -> selector set turnover,5,0.792861750246209,0.7836046562984682,0.06839693228582117,0.018181818181818188,0.009924668487108119,972,15
attention drift -> sparse refresh benefit,1,0.23164283577142486,0.24928074087743765,0.007354975807275978,0.0024965626798802987,0.014038297899493641,18,5
attention drift -> sparse refresh benefit,2,0.3324480667727641,0.34216619305820306,0.16998310930406055,0.005176784470677376,0.0722507741482389,18,4
attention drift -> sparse refresh benefit,3,0.3926779080581964,0.3952583335313239,0.07965483737562964,9.467566997045651e-05,0.12995552151239617,18,5
attention drift -> sparse refresh benefit,4,0.4722122124188227,0.48380999060917174,0.25750481269559106,2.9802101835230133e-06,0.21481381854336776,18,5
attention drift -> sparse refresh benefit,5,0.6278839951371833,0.6231451990576338,0.06300378837669188,3.99232521886006e-05,0.05893571937679912,18,4
attention-output error -> delta NLL,1,0.03538582874469193,0.03680294193327427,0.14806066768343695,5.891722138606781e-05,0.04354642288026773,13824,15
attention-output error -> delta NLL,2,0.0877075873332042,0.08682302385568619,0.20292365419084143,0.0005144778186263466,0.051520467115822116,13824,15
attention-output error -> delta NLL,3,0.1638178897830787,0.16148245334625244,0.15976260524732325,0.0007626956741670909,0.03412915136129145,13824,15
attention-output error -> delta NLL,4,0.30093010684531357,0.29473209381103516,0.2339712190333238,0.007082495896352015,0.03220311800385635,13824,15
attention-output error -> delta NLL,5,0.6765396937391617,0.6189654767513275,0.6805607211324627,0.1048591807068,0.09662800719200251,13824,15
score drift -> selected-set turnover,1,0.008647080108499306,0.00822998642884701,0.005274971941638605,0.0,0.0018903752057201338,486,15
score drift -> selected-set turnover,2,0.027496717881632774,0.02583318261570176,0.01635802469135802,0.00909090909090915,0.0035721466318752353,486,15
score drift -> selected-set turnover,3,0.060279664074523065,0.06031877336465956,0.02338196782641226,0.013636363636363558,0.0034982141241735563,486,15
score drift -> selected-set turnover,4,0.12174217406185514,0.11905327643079702,0.05115039281705947,0.018181818181818188,0.012734224850402188,486,15
score drift -> selected-set turnover,5,0.4118501593212119,0.3374476170502834,0.134006734006734,0.05681818181818182,0.02946561150458333,486,15
selected-core residual -> score instability,1,7.862534522344994e-07,8.040957482080557e-07,0.10800379240308344,0.05365941973539796,0.009426684045966045,486,15
selected-core residual -> score instability,2,8.620777926211895e-07,8.635334864948163e-07,0.09411733036363783,0.05035906321559018,0.005873536204770739,486,15
selected-core residual -> score instability,3,9.062167024542127e-07,9.051603910847916e-07,0.08979062084108395,0.04260053351991626,0.0068806089668662284,486,15
selected-core residual -> score instability,4,4.042126739082817e-05,9.724766556473696e-07,0.12366120507077889,0.05227321983468364,0.006839413508874405,486,15
selected-core residual -> score instability,5,0.2238946710774332,0.18207921087741852,0.21444284676913805,0.14035774270870444,0.04001790903992989,486,14
selected-core residual -> set turnover,1,7.862534522344994e-07,8.040957482080557e-07,0.05139356528245417,0.00909090909090915,0.010262167243056135,486,15
selected-core residual -> set turnover,2,8.620777926211895e-07,8.635334864948163e-07,0.036952861952861946,0.00909090909090915,0.006065680441495151,486,15
selected-core residual -> set turnover,3,9.062167024542127e-07,9.051603910847916e-07,0.03617658062102506,0.00909090909090915,0.005641679882850836,486,15
selected-core residual -> set turnover,4,4.042126739082817e-05,9.724766556473696e-07,0.045136550692106245,0.00909090909090915,0.008233482042190302,486,15
selected-core residual -> set turnover,5,0.2238946710774332,0.18207921087741852,0.06051253273475495,0.00909090909090915,0.02525833660925402,486,14
selected-core residual -> sparse refresh benefit,1,7.899193183234668e-07,8.024087492231047e-07,0.047340982351457055,5.7431316236034036e-05,0.03216044080113134,81,12
selected-core residual -> sparse refresh benefit,2,8.626152598368701e-07,8.629059777831571e-07,0.19440924748010324,0.007633267727214843,0.06207415353658065,81,15
selected-core residual -> sparse refresh benefit,3,9.113959744814722e-07,9.111267331718409e-07,0.17077793533995467,0.010442739352583885,0.052510956746239075,81,15
selected-core residual -> sparse refresh benefit,4,9.618069379574777e-05,9.901679618451453e-07,0.1703588151298907,0.002129809930920601,0.07408178178248381,81,15
selected-core residual -> sparse refresh benefit,5,0.1760276188264762,0.17005404084920883,0.145664692348413,0.0033896882086992264,0.12589075041359307,81,14
selected-set turnover -> delta NLL,1,0.0016734942909439458,0.0,0.1232967722976882,8.570376053285145e-06,0.053949698023442356,1043,15
selected-set turnover -> delta NLL,2,0.011037481880306482,0.00909090909090915,0.20443518107790765,0.0005998372155247012,0.07158433004264905,439,15
selected-set turnover -> delta NLL,3,0.026559528337771008,0.022727272727272707,0.37647884316463115,0.010583631361161139,0.12193794532643963,478,15
selected-set turnover -> delta NLL,4,0.19697292069632497,0.12727272727272732,0.41953514571575745,0.004566674185030095,0.11229634183049864,470,15
selected-set turnover -> sparse refresh benefit,1,0.00574162679425837,0.006060606060606062,0.07427063467390613,0.0003781610867008567,0.02875046399644553,19,13
selected-set turnover -> sparse refresh benefit,2,0.011051693404634563,0.010606060606060619,0.016142055999700783,9.448782657273114e-05,0.015535874052466635,17,11
selected-set turnover -> sparse refresh benefit,3,0.01877104377104376,0.019696969696969657,0.14444440328280608,0.007195370504632592,0.09120964045214582,18,11
selected-set turnover -> sparse refresh benefit,4,0.03956228956228956,0.03257575757575759,0.14047897392235123,6.30389477009885e-05,0.14202770175590412,18,12
selected-set turnover -> sparse refresh benefit,5,0.24638047138047137,0.19924242424242422,0.19893609019858458,0.0025457870215177536,0.08239161014516817,18,13
selection margin -> empirical validity horizon,1,6.2902906426676994e-06,0.0,40.51851851851852,37.5,4.521417423804418,54,15
selection margin -> empirical validity horizon,2,0.00012102943879586678,0.00011813640594482422,35.44444444444444,37.0,6.336853563600525,27,14
selection margin -> empirical validity horizon,3,0.0002821091976430681,0.0002558380365371704,33.96296296296296,27.0,5.818156739151366,27,13
selection margin -> empirical validity horizon,4,0.0009785163457746858,0.0007521379739046097,41.629629629629626,44.0,5.960529221414586,27,14
selection margin -> selected-set turnover,1,7.984462220972948e-08,0.0,0.08945473251028806,0.018181818181818188,0.01875946508171975,972,15
selection margin -> selected-set turnover,2,8.948045840713008e-05,7.998943328857422e-05,0.01450617283950617,0.00909090909090915,0.0013437389207331008,486,15
selection margin -> selected-set turnover,3,0.00041698397869251885,0.0004003793001174927,0.01422558922558922,0.00909090909090915,0.0015756117311569243,486,15
selection margin -> selected-set turnover,4,0.005129181984126943,0.001384347677230835,0.022530864197530857,0.00909090909090915,0.006960579329346017,486,15
