relationship,n_rows,n_clusters,pearson,pearson_ci_low,pearson_ci_high,spearman,spearman_ci_low,spearman_ci_high,same_direction_sample_fraction,n_samples_with_estimable_within_sample_correlation,analysis_status
attention drift -> selector set turnover,4860,15,0.10857253627144695,0.08168286445367882,0.13669801673595916,0.14783444255191228,0.1130709958272182,0.18875773957302155,1.0,15,exploratory_cluster_bootstrap
attention drift -> sparse refresh benefit,90,15,0.017009356617372393,-0.22757956514199118,0.24576129072778544,-0.14030884974209318,-0.4747092233542504,0.2048782059840177,0.6666666666666666,15,exploratory_cluster_bootstrap
attention-output error -> delta NLL,69120,15,0.22418924446649,0.18576505447480568,0.24995447032449403,0.20878864607920028,0.16418415993896723,0.24418766184931615,1.0,15,exploratory_cluster_bootstrap
score drift -> selected-set turnover,2430,15,0.5415390393557374,0.4153163339518154,0.6389078532988731,0.5279955241637251,0.4317248449292723,0.6483917484683114,1.0,15,exploratory_cluster_bootstrap
selected-core residual -> score instability,2430,15,0.20694038377541532,0.13625522749816962,0.2686865875449349,0.17960937818619163,0.11628880264211151,0.2369453744307116,0.8666666666666667,15,exploratory_cluster_bootstrap
selected-core residual -> set turnover,2430,15,0.027329334131581083,-0.01763749576427598,0.0865411165659444,-0.037437523003830124,-0.09562207465478144,0.015259910937339667,0.7333333333333333,15,exploratory_cluster_bootstrap
selected-core residual -> sparse refresh benefit,405,15,-0.00097780947970161,-0.06606650342934722,0.08604783123130273,0.04155780649290438,-0.03903718397921186,0.12334534924347795,0.4666666666666667,15,exploratory_cluster_bootstrap
selected-set turnover -> delta NLL,2430,15,0.17939077001206905,0.11160024416010408,0.26188264054578875,0.19970944684385186,0.1437384068624752,0.24442581231665453,0.9333333333333333,15,exploratory_cluster_bootstrap
selected-set turnover -> sparse refresh benefit,90,15,0.2624393033014104,-0.07973082885069192,0.44109856220719496,0.11162025275308085,-0.12560740390811914,0.3405090395626904,0.8,15,exploratory_cluster_bootstrap
selection margin -> empirical validity horizon,135,15,0.004784384249458332,-0.15791646434128356,0.16101893175504606,-0.04101215562208825,-0.205185540283485,0.09908515395102482,0.5,14,exploratory_cluster_bootstrap
selection margin -> selected-set turnover,2430,15,0.06421378361380456,-0.006378256953667354,0.1427424439460003,-0.16320255063192354,-0.25404367903083086,-0.07682146367843665,0.7333333333333333,15,exploratory_cluster_bootstrap
stale loss -> sparse refresh benefit,180,15,0.7402681294774199,0.5926219821345626,0.9286280352327649,0.8097126504485009,0.6720828272540182,0.9117072873462846,0.9333333333333333,15,exploratory_cluster_bootstrap
