layer,mass_k28,mass_k92,mass_k156,mass_k220,mass_k284
0,0.5935453816512907,0.7331178304447545,0.7980134410389984,0.8394652128485316,0.8695283827876368
1,0.544432849503339,0.7232477786677564,0.7970379244515235,0.8404887878304587,0.8712549553135938
2,0.6874184752509838,0.8400637698727719,0.876617638369814,0.8987303876106554,0.9158665681700546
3,0.7697714768273135,0.9067214437200468,0.9372346821352533,0.9518316480385804,0.9620315447990248
4,0.7959924529714472,0.9127229174820737,0.9395259535322514,0.953311633536172,0.9631689559340331
5,0.7657272406427473,0.8794153817653296,0.9130762910451493,0.9346635243234473,0.9497331646465517
6,0.7091655640648107,0.841521023107904,0.8837930111749683,0.9109345438205892,0.929892344975606
7,0.9119781556728996,0.9552457325030399,0.9681851193928172,0.9757771097634201,0.9811180814772698
8,0.8434829925974,0.9269487876015056,0.9495085200471098,0.9610904439120918,0.9691985899108534
9,0.8385403754525236,0.9182092821504367,0.9440281512170351,0.9583883905943095,0.9682924770214052
10,0.8544372499520805,0.9339709462620812,0.9547411687706207,0.9651970761745705,0.9724416920063348
11,0.8112247496395432,0.9147988803805301,0.9428145093345932,0.9575678929954659,0.9674206846475188
12,0.808248100135326,0.9167258818795299,0.945776930019649,0.960298307438021,0.9697232836376083
13,0.8038442046021437,0.9128402661263311,0.9433063676049022,0.9593168676902284,0.9696730752461977
14,0.812611192934299,0.9245435558166726,0.9511816322217882,0.964200775976499,0.9726234991410179
15,0.7621729386993581,0.904781224429893,0.9409638922555355,0.9586099401806027,0.9695300871898948
16,0.7182430276451817,0.8847539626478561,0.928386372970224,0.9495308841512069,0.9627379977598828
17,0.7327425729013547,0.8887690198642243,0.9331648706872899,0.9552231206721631,0.9684494574457098
18,0.6721268561040813,0.8605470882267687,0.914783492204654,0.9427099616707697,0.9598206810137
19,0.7735263438880996,0.9057930221689462,0.9414946897343901,0.9591949935337301,0.9701076578429308
20,0.7785186404094578,0.9142409291645344,0.9494631210987615,0.9661311095812689,0.9760328927428003
21,0.7761044350428892,0.9138577890718393,0.9502521101996717,0.9676723235797807,0.9778073436254099
22,0.83891126996175,0.9332649569751311,0.9575340144198627,0.9698661684848953,0.9776454802355303
23,0.8330011470430462,0.9349098530439928,0.9613351300624554,0.9739940523296227,0.9815398047682405
24,0.8135870298413501,0.9206782681839707,0.9528359711153366,0.9687833131493593,0.97824583663046
25,0.9156772202438083,0.9630966767384574,0.9768180431679058,0.9839140961348101,0.9882981940068399
26,0.8821203640216776,0.9468019996288067,0.9677601748419157,0.9784419236157553,0.9848567904932803
27,0.8995279147909729,0.953634859768758,0.9708261848054425,0.9798468751843326,0.9854655439601837
28,0.8916444426350504,0.951853704584573,0.9697525299671741,0.9790263402525003,0.984820602678251
29,0.918301998011015,0.9646954271340494,0.9786153774240806,0.9855421649050676,0.9897099022801085
30,0.9418706155538675,0.9748671844588829,0.9842965716069683,0.989177061640981,0.9921900340948039
31,0.9386497214063422,0.9727921603799186,0.9830036255102248,0.9882162646930803,0.9914242721054511
32,0.95263081514649,0.9800483286196728,0.9872324664889224,0.990859065690237,0.9931417639553819
33,0.9229855655252404,0.965863910673972,0.9791047340153272,0.9857996871374519,0.989887337278242
34,0.9195125243582275,0.9629545669967596,0.9761169939884287,0.9830013401222791,0.9872664851848368
35,0.882974167050887,0.9418044683531651,0.9569841943032488,0.9651251943902311,0.9711869496079963
