sample_id,task,cycle,generated_token_id,pool_scoring_forward_time_s,exact_kl,js,full_nll,perturbed_nll,delta_nll,logit_l2_sq,fisher_quadratic
gov_report:90,gov_report,47,2639,0.1237065000000257,0.3684866726398468,0.09026391059160233,1.494126796722412,0.5085824728012085,-0.9855443239212036,11361.609375,0.31582069396972656
synthetic_niah_86,niah_single_1,20,20975,0.13040691599999832,0.2025255709886551,0.042573072016239166,0.45048579573631287,0.13146327435970306,-0.3190225213766098,28487.646484375,0.24896126985549927
synthetic_niah_89,niah_single_1,37,911,0.13316433299996788,0.1937214881181717,0.04021679610013962,0.6538127660751343,0.30785253643989563,-0.34596022963523865,28026.501953125,0.24360255897045135
synthetic_niah_86,niah_single_1,36,911,0.13160408400000279,0.17507147789001465,0.03610852360725403,0.5287420749664307,0.23889991641044617,-0.2898421585559845,45580.1640625,0.22360719740390778
synthetic_niah_89,niah_single_1,21,20975,0.12993508300002077,0.15231375396251678,0.037997111678123474,1.6295623779296875,0.9162395000457764,-0.7133228778839111,28333.9296875,0.14132463932037354
gov_report:86,gov_report,50,10514,0.12314979100005985,0.1397661417722702,0.030787451192736626,0.4325156509876251,0.1511407196521759,-0.2813749313354492,25041.142578125,0.16402338445186615
synthetic_niah_90,niah_single_1,36,911,0.13108387499994478,0.12888310849666595,0.02752675488591194,0.6432048082351685,0.40505534410476685,-0.2381494641304016,37242.71875,0.15924310684204102
gov_report:86,gov_report,40,1882,0.11816187499994157,0.1276175081729889,0.031865574419498444,1.5191185474395752,0.8723294734954834,-0.6467890739440918,4056.12060546875,0.1197575256228447
synthetic_niah_88,niah_single_1,26,13,0.13170224999998936,0.11793110519647598,0.024594329297542572,0.2764548063278198,0.08599255234003067,-0.19046225398778915,70917.453125,0.151418998837471
synthetic_niah_88,niah_single_1,57,5248,0.13114616699999715,0.10948576033115387,0.025003276765346527,0.7735313177108765,0.4018782675266266,-0.3716530501842499,72216.109375,0.12392149120569229
synthetic_niah_87,niah_single_1,27,13,0.12956599999998275,0.10203151404857635,0.021551109850406647,0.27709075808525085,0.09704838693141937,-0.18004237115383148,56143.1328125,0.1294267773628235
synthetic_niah_90,niah_single_1,56,5248,0.13409320800008118,0.09489055722951889,0.02227557823061943,0.9544149041175842,0.5454604029655457,-0.4089545011520386,44922.36328125,0.10267839580774307
gov_report:89,gov_report,20,594,0.12147008300007656,0.09074511379003525,0.021762263029813766,1.4675521850585938,1.1957836151123047,-0.27176856994628906,4530.267578125,0.0940910130739212
synthetic_niah_89,niah_single_1,26,13,0.13189591700000847,0.0859702080488205,0.02080809697508812,0.7226715683937073,0.37754151225090027,-0.345130056142807,21426.0546875,0.08779799938201904
gov_report:88,gov_report,40,11,0.12557541699993635,0.08368174731731415,0.022683655843138695,0.8880000114440918,1.103131651878357,0.21513164043426514,7258.7822265625,0.06541119515895844
synthetic_niah_88,niah_single_1,23,304,0.1367969579999908,0.0813271701335907,0.014917975291609764,0.10498154908418655,0.02161843329668045,-0.0833631157875061,96620.046875,0.12426025420427322
synthetic_niah_88,niah_single_1,63,429,0.13900662499997907,0.07576996833086014,0.01773902401328087,0.512580931186676,0.2599187195301056,-0.25266221165657043,94259.0,0.08263535052537918
gov_report:89,gov_report,50,9213,0.12644695800008776,0.07402531057596207,0.013814395293593407,0.4831854999065399,0.3743194341659546,-0.10886606574058533,5610.04736328125,0.11239265650510788
gov_report:89,gov_report,32,3807,0.12912483300010535,0.07312331348657608,0.018208283931016922,0.978956937789917,0.6120081543922424,-0.36694878339767456,13328.6015625,0.0710291936993599
gov_report:86,gov_report,33,22798,0.1229280000000017,0.06570661067962646,0.013715638779103756,0.20815570652484894,0.08652053028345108,-0.12163517624139786,3941.044189453125,0.08594998717308044
synthetic_niah_88,niah_single_1,37,911,0.13271337499998026,0.06553307920694351,0.014521289616823196,0.4587150514125824,0.31364667415618896,-0.14506837725639343,58355.3203125,0.07859562337398529
synthetic_niah_86,niah_single_1,25,13,0.13250079200000187,0.06545787304639816,0.014063410460948944,0.21192805469036102,0.08208189159631729,-0.12984616309404373,34427.4921875,0.08215872198343277
synthetic_niah_89,niah_single_1,23,304,0.13496500000002243,0.060533393174409866,0.012662520632147789,0.16585034132003784,0.06897781789302826,-0.09687252342700958,25117.64453125,0.07903525978326797
