layer,jaccard
0,0.6332490008120781
1,0.7103524769037385
2,0.6235354306505825
3,0.6226082938303454
4,0.6675458705911473
5,0.673659875885843
6,0.7227123546830645
7,0.6098050441266873
8,0.6469280962342404
9,0.6347094874358927
10,0.6468460125164363
11,0.6333640928079355
12,0.6367659524095229
13,0.597776095304211
14,0.6453585674108099
15,0.6219346929748244
16,0.6805719978038807
17,0.6443136269092546
18,0.6530769309458164
19,0.6428642634661893
20,0.6417470739592522
21,0.6624160441200739
22,0.6873987800757647
23,0.6791009436528389
24,0.6902127519246203
25,0.6850464890687371
26,0.6684382648773471
27,0.6836385022186545
28,0.653407335060139
29,0.6269506226985186
30,0.6852290147448972
31,0.6685580539750152
32,0.6234482265366457
33,0.631668015143375
34,0.6238499497807081
35,0.6399720810328048
