feature,cal_spearman_h0,cal_spearman_p_h0,auc_h0_cali,auc_h0_eval,auc_h0_repl
compressed_sketch_l2,0.20262827287598723,0.08781764281346631,0.7391812865497076,0.6666666666666666,0.6141975308641975
sink_attention_mass,0.2649094987396177,0.024523171886676437,0.6795321637426901,0.6970486111111112,0.6707818930041153
cheap_rank_disagreement,0.3467112230756975,0.0028488732364552417,0.48771929824561405,0.3368055555555556,0.49176954732510286
key_query_alignment_mean,-0.2608624213344286,0.026882149631681767,0.26666666666666666,0.2973090277777778,0.4094650205761317
selector_score_drift,-0.20303259140275712,0.08717297477898919,0.3543859649122807,0.3177083333333333,0.411522633744856
token_age_mean,0.16126429877428994,0.17595954215329762,0.6210526315789474,0.4921875,0.5231481481481481
retained_attention_mass,0.10433035264769683,0.38311983125474625,0.6421052631578947,0.6857638888888888,0.5977366255144033
top_reused_one_midpoint_shift,0.08409825356813261,0.48245840153979436,0.5941520467836258,0.5225694444444444,0.37448559670781895
query_norm_drift,0.017232332678126024,0.8857588979151936,0.33567251461988307,0.3550347222222222,0.4156378600823045
attention_entropy,-0.1651560318149558,0.16562163958699494,0.5263157894736842,0.5190972222222222,0.49074074074074076
