feature,concept,spearman,spearman_p,abs_spearman,auc_benefit_pos,auc_harmful,auc_harmful_eps_0p1,cal_min,cal_median,cal_max
compressed_sketch_l2,generic,0.45112343017266116,1.657387258836683e-05,0.45112343017266116,0.8551007147498375,0.8551007147498375,0.6976744186046512,0.0,49.399549309643845,274.9326970868018
retained_overlap,boundary,-0.4145522021497785,8.838802945711446e-05,0.4145522021497785,0.195906432748538,0.195906432748538,0.34344866704481,0.6,0.9393939393939394,1.0
recent_window_exits,boundary,0.4145522021497785,8.838802945711446e-05,0.4145522021497785,0.804093567251462,0.804093567251462,0.65655133295519,0.0,0.125,1.0
horizon,structural,0.4145522021497785,8.838802945711446e-05,0.4145522021497785,0.804093567251462,0.804093567251462,0.65655133295519,0.0,4.0,32.0
top_reused_one_midpoint_shift,boundary,0.35765722548733786,0.000837554346290208,0.35765722548733786,0.7732293697205977,0.7732293697205977,0.7277368122518435,1.7006694327054573e-06,0.9666888427375768,136.11204178662513
query_norm_drift,generic,0.29008900658709025,0.007435334298674641,0.29008900658709025,0.6309291747888239,0.6309291747888239,0.6732841747022121,0.0,0.05048619854215097,2.7879839184825963
action_to_compressed_state_ratio,generic,-0.26347398434834407,0.015454535440159737,0.26347398434834407,0.396361273554256,0.396361273554256,0.3448667044809983,0.001528585772712427,0.04595612428925076,0.17619136291504156
cheap_rank_disagreement,boundary,0.25855819421558335,0.017560820825380866,0.25855819421558335,0.48473034437946716,0.48473034437946716,0.690300623936472,0.5094557817088546,1.345179411647245,2.145884173443073
token_age_std,generic,0.2334953684399403,0.03254944980375113,0.2334953684399403,0.6510721247563352,0.6510721247563352,0.5884855360181509,380.10557743869003,474.3557200670997,547.8733886583651
token_age_mean,generic,0.2334953684399403,0.03254944980375113,0.2334953684399403,0.6510721247563352,0.6510721247563352,0.5884855360181509,672.5,836.0,963.5
key_query_alignment_mean,coverage,-0.23123630233963277,0.034316450254567823,0.23123630233963277,0.341130604288499,0.341130604288499,0.41349971639251276,-0.14984629001523736,-0.03480945810847799,0.3980932485371145
compressed_residual_norm_drift,boundary,0.22960222715223155,0.03564415391486968,0.22960222715223155,0.6601689408706952,0.6601689408706952,0.6114577424844015,0.0,0.06856331218216413,0.6866100289782736
retained_attention_mass,coverage,-0.21456940646303177,0.04999726043984686,0.21456940646303177,0.3567251461988304,0.3567251461988304,0.39364719228587636,0.017819707832750293,0.8262263452164273,1.0000000000000009
sink_attention_mass,coverage,0.20885409398433627,0.05657489121076119,0.20885409398433627,0.6114359974009097,0.6114359974009097,0.5842314237095859,0.0002598376449800258,0.34225193639390206,0.7246375250291566
selected_core_score_margin,boundary,0.1583255425777834,0.15031355545144526,0.1583255425777834,0.5230669265756985,0.5230669265756985,0.5762904140669314,0.0047448366475943415,0.31048605519423916,0.6602778873744081
selector_score_drift,boundary,0.15150630173033483,0.16890588450228286,0.15150630173033483,0.6413255360623782,0.6413255360623782,0.5672149744753261,0.0,0.8235837187904984,1.9854077201399685
layer_attention_summary_drift,generic,0.15150630173033483,0.16890588450228286,0.15150630173033483,0.6413255360623782,0.6413255360623782,0.5672149744753261,0.0,0.8235837187904984,1.9854077201399685
attention_concentration,generic,0.1265841723285109,0.2512155688229871,0.1265841723285109,0.50227420402859,0.50227420402859,0.5768576290414067,0.21532939057214248,0.4426731558799122,0.7206590788191759
attention_entropy,generic,-0.10834319007487057,0.32659546593571354,0.10834319007487057,0.5230669265756985,0.5230669265756985,0.4021554169030062,1.3625624552369358,2.3339143438638392,3.523512289985984
recent_attention_mass,coverage,-0.08808230244173107,0.4256010934002613,0.08808230244173107,0.36712150747238464,0.36712150747238464,0.5070901871809416,0.1275392680686496,0.38072003702494084,0.9951330496977652
action_norm_median,generic,-0.08403218604304144,0.447270594862213,0.08403218604304144,0.5679012345679012,0.5679012345679012,0.4089619965967102,0.07668938127679623,1.8714530551813193,17.191909204237575
key_query_alignment_std,coverage,-0.062489195286300314,0.5722821424186981,0.062489195286300314,0.3794671864847303,0.3794671864847303,0.49971639251276234,0.014075724150467851,0.08277494397395876,0.3448879949955765
core_attention_mass,coverage,-0.02979360434761256,0.7879057694518301,0.02979360434761256,0.6081871345029239,0.6081871345029239,0.42597844583096994,0.0015351935466385355,0.06166177688622256,0.5662010885644746
action_norm_spread,generic,-0.029731770509464628,0.7883356562467497,0.029731770509464628,0.6354775828460039,0.6354775828460039,0.4220079410096427,0.226703276565009,5.383817100807434,33.34662349618771
action_only_margin,boundary,-0.025547680794787798,0.8175653167054571,0.025547680794787798,0.4944769330734243,0.4944769330734243,0.5070901871809416,1.5260046630985826e-10,1.974146790544206e-06,0.0008227049734779407
