layer,task,var_log_attn,var_log_vn,var_log_pv,var_log_delta,rows
0,gov_report,1.3886579572256454,0.016516141972708436,0.013230153427531463,1.2398852087514682,295840
0,niah_single_1,1.4672094038096621,0.014756240557138858,0.012979937924848651,1.248054021796438,397152
1,gov_report,1.3280849339920449,0.1435146005764489,0.13528833917561006,0.9456113424781118,295840
1,niah_single_1,1.3492549206217541,0.07197849192605889,0.07466915072443076,1.0181700724932872,397152
2,gov_report,1.1318442836964417,0.09361251798587678,0.08214308662049778,0.9439890404267492,295840
2,niah_single_1,1.3964145586874248,0.05585903852405805,0.0495391926837711,1.282337981280234,397152
3,gov_report,1.8003723744803908,0.12280203224321601,0.12621763940392536,1.4748037903416098,295840
3,niah_single_1,2.8564799262589857,0.06293286355783127,0.07008737670402562,2.5853018297189734,397152
4,gov_report,1.6785430610966063,0.11664119808528794,0.11616843945514371,1.5178696880629658,295840
4,niah_single_1,2.7570552985382135,0.047408637619363224,0.05054244850985834,2.600247242944646,397152
5,gov_report,1.5285382316793186,0.10115573081813502,0.11180810496550136,1.3496139840803978,295840
5,niah_single_1,2.2288605142266165,0.04367542829081095,0.04867254431935248,2.101968572472511,397152
6,gov_report,1.2103077637772284,0.10654569001906054,0.10315369115178746,1.0428592295496573,295840
6,niah_single_1,2.2114037937955517,0.08833386625570651,0.09506498891411337,1.8972759256073755,397152
7,gov_report,1.476732094326951,0.019554014678439355,0.02002566789922358,1.4890541835027602,295840
7,niah_single_1,2.4246599133457427,0.015184042265894851,0.01604195182233665,2.4504422198557125,397152
8,gov_report,1.577007919354803,0.02204854137246013,0.021940980531041182,1.5864883855690721,295840
8,niah_single_1,2.5714311896158004,0.017678454362365724,0.018196613367623425,2.6816105912228867,397152
9,gov_report,2.0666474280956795,0.019384543087614236,0.020593122366342986,2.061338787500531,295840
9,niah_single_1,3.169914872141309,0.0152257267660814,0.0159731274061669,3.175262138823379,397152
10,gov_report,1.5123555373622368,0.019412497595228922,0.021466186894860042,1.4029873512741444,295840
10,niah_single_1,2.6132188275742783,0.01202639364879598,0.013597315684362832,2.7145290919724427,397152
11,gov_report,2.0869923020198775,0.020106697369248593,0.02195583514147066,2.0188165412153336,295840
11,niah_single_1,2.530346800088043,0.01630411296526423,0.01589902404554867,2.692481774688328,397152
12,gov_report,2.41648585494115,0.01274402092242211,0.013560574299203274,2.2966033035709046,295840
12,niah_single_1,2.552053008409332,0.008977986089588377,0.00944794486285055,2.543480547738118,397152
13,gov_report,2.8625969960304523,0.01937149833652935,0.02312503716329474,2.8258109191796104,295840
13,niah_single_1,3.183766800781361,0.015090901901336882,0.01695550701430659,3.1717047915186924,397152
14,gov_report,2.2105248058030655,0.017863987486903807,0.019461735883938854,2.140302139076387,295840
14,niah_single_1,2.7855289508573233,0.01890632633488406,0.020907001090567232,2.8479431693353523,397152
15,gov_report,3.0989974763014243,0.018229363304147404,0.02068556171571662,3.0039926592243464,295840
15,niah_single_1,3.37144080193602,0.01961643241983724,0.02143206561371987,3.3660814855311187,397152
16,gov_report,2.8389822507780433,0.01934431813668669,0.020774310306737306,2.805061457984127,295840
16,niah_single_1,3.5050479042143126,0.030968658513634763,0.032659837771896946,3.7367045652174276,397152
17,gov_report,4.016441519925864,0.017229356510802762,0.022718699549185012,3.968206385941137,295840
17,niah_single_1,4.333418381070667,0.02715552353270233,0.030210021012957625,4.347867472968333,397152
18,gov_report,3.8968188265382753,0.022188012233778063,0.026080454575660165,3.6670015127274866,295840
18,niah_single_1,5.052087842627442,0.03609976651788453,0.039224116278566694,5.239737841160957,397152
19,gov_report,2.6425545354861417,0.01177907393299255,0.013349618470060784,2.474905590880108,295840
19,niah_single_1,4.129674780906443,0.015447591937637851,0.01961504102277999,4.199048983882121,397152
20,gov_report,3.514888091813796,0.009031326701501363,0.010296779126046486,3.3273974657870835,295840
20,niah_single_1,4.327942729616843,0.013355280633138414,0.013472420151040814,4.352182318783488,397152
21,gov_report,3.8009135830507463,0.01061775244035453,0.011399938192261018,3.694253849443299,295840
21,niah_single_1,5.052435519804343,0.01602344278654433,0.017256052227229795,5.179007312290833,397152
22,gov_report,2.258616176380641,0.009197339556662795,0.010122311084332992,2.171957206855941,295840
22,niah_single_1,3.9881557880843443,0.015052370146388166,0.016076011139271797,4.129717954350882,397152
23,gov_report,3.3891888736854234,0.014818232236095857,0.016474263386825148,3.378972172580277,295840
23,niah_single_1,4.051198081286401,0.02435679477739434,0.02650732715059694,4.164572615600887,397152
24,gov_report,3.3552844370281902,0.02625130891108701,0.03088351862416624,3.4747899171266696,295840
24,niah_single_1,4.989124722234092,0.023960445462547393,0.02645022758575851,5.044411801107159,397152
25,gov_report,2.3083494963115374,0.01584104130136099,0.017613444226506184,2.2863897009932432,295840
25,niah_single_1,4.124229218369729,0.021574241605080667,0.023319611290525063,4.285039833162915,397152
26,gov_report,2.619138566624222,0.032264792221286594,0.03450595625695318,2.632749545193358,295840
26,niah_single_1,4.785984265434455,0.030218301383352374,0.032876420104101904,4.952758755554016,397152
27,gov_report,2.3723786931418496,0.022596248571259987,0.02425938465143904,2.389034415896742,295840
27,niah_single_1,4.109410118554069,0.022511509592196968,0.024901909078386138,4.317342560050314,397152
28,gov_report,2.4584325739871375,0.024746104905473475,0.025433096009471624,2.457081221808967,295840
28,niah_single_1,4.078667391192642,0.02621127506969879,0.02806659497350846,4.121126026693943,397152
29,gov_report,2.7212238428035733,0.09788452511950535,0.10811234709928742,2.7918743485527653,295840
29,niah_single_1,4.845559822402254,0.04899417245234291,0.055273984509643485,4.665386052977847,397152
30,gov_report,2.336674156216251,0.03309182794819031,0.035906902825452225,2.533954776959385,295840
30,niah_single_1,4.9583139331814055,0.023887084264595817,0.026969028261864602,5.352689102586906,397152
31,gov_report,2.566114585417062,0.06254315022143346,0.0693697845244055,2.864780608679531,295840
31,niah_single_1,3.551139531778819,0.04028001781942545,0.04548049116105551,3.7610118714079452,397152
32,gov_report,2.066478049734429,0.059503364873984485,0.06413574713977177,2.3743095541739025,295840
32,niah_single_1,3.53587805705378,0.0373677803071747,0.040267822491190916,3.642846439698005,397152
33,gov_report,2.8870566478852946,0.10850571446430479,0.1045151489489371,3.287889121429677,295840
33,niah_single_1,4.935930159508932,0.060634231435289905,0.06151109257794053,5.087901699076502,397152
34,gov_report,2.1405193132550275,0.03887676322911128,0.04153889969909062,2.234408118842424,295840
34,niah_single_1,3.3395417317726848,0.02604411912518671,0.027993349550841273,3.2477781521319096,397152
35,gov_report,0.976136823714429,0.03737800879651014,0.04505454962981567,0.9711263759174789,295840
35,niah_single_1,1.7089169307678918,0.025115765158270725,0.029951063238473997,1.69564772142877,397152
