sample_id,array,shape,dtype,bytes
gov_report:0,prompt_token_ids,[920],int32,3680
gov_report:0,generated_token_ids,[128],int32,512
gov_report:0,reference_log_probabilities,[128],float32,512
gov_report:0,top_ids,"[128, 128]",int32,65536
gov_report:0,top_probabilities,"[128, 128]",float32,65536
gov_report:0,oracle_attention,"[129, 28, 2, 1048]",float16,15141504
gov_report:0,oracle_attention_lengths,[129],int32,516
gov_report:0,query_positions,[129],int32,516
gov_report:0,query_0_0,"[129, 128]",float32,66048
gov_report:0,attention_output_0_0,"[129, 128]",float32,66048
gov_report:0,attention_distribution_0_0,"[129, 1048]",float16,270384
gov_report:0,attention_distribution_lengths_0_0,[129],int32,516
gov_report:0,query_0_11,"[129, 128]",float32,66048
gov_report:0,attention_output_0_11,"[129, 128]",float32,66048
gov_report:0,attention_distribution_0_11,"[129, 1048]",float16,270384
gov_report:0,attention_distribution_lengths_0_11,[129],int32,516
gov_report:0,query_14_0,"[129, 128]",float32,66048
gov_report:0,attention_output_14_0,"[129, 128]",float32,66048
gov_report:0,attention_distribution_14_0,"[129, 1048]",float16,270384
gov_report:0,attention_distribution_lengths_14_0,[129],int32,516
gov_report:0,query_14_11,"[129, 128]",float32,66048
gov_report:0,attention_output_14_11,"[129, 128]",float32,66048
gov_report:0,attention_distribution_14_11,"[129, 1048]",float16,270384
gov_report:0,attention_distribution_lengths_14_11,[129],int32,516
gov_report:0,query_27_0,"[129, 128]",float32,66048
gov_report:0,attention_output_27_0,"[129, 128]",float32,66048
gov_report:0,attention_distribution_27_0,"[129, 1048]",float16,270384
gov_report:0,attention_distribution_lengths_27_0,[129],int32,516
gov_report:0,query_27_11,"[129, 128]",float32,66048
gov_report:0,attention_output_27_11,"[129, 128]",float32,66048
gov_report:0,attention_distribution_27_11,"[129, 1048]",float16,270384
gov_report:0,attention_distribution_lengths_27_11,[129],int32,516
gov_report:1,prompt_token_ids,[961],int32,3844
gov_report:1,generated_token_ids,[128],int32,512
gov_report:1,reference_log_probabilities,[128],float32,512
gov_report:1,top_ids,"[128, 128]",int32,65536
gov_report:1,top_probabilities,"[128, 128]",float32,65536
gov_report:1,oracle_attention,"[129, 28, 2, 1089]",float16,15733872
gov_report:1,oracle_attention_lengths,[129],int32,516
gov_report:1,query_positions,[129],int32,516
gov_report:1,query_0_0,"[129, 128]",float32,66048
gov_report:1,attention_output_0_0,"[129, 128]",float32,66048
gov_report:1,attention_distribution_0_0,"[129, 1089]",float16,280962
gov_report:1,attention_distribution_lengths_0_0,[129],int32,516
