task,strategy,refresh_lag,mean_refresh_benefit,median_refresh_benefit,q10_refresh_benefit,q90_refresh_benefit,fraction_positive,n_samples
gov_report,attention_weighted_v_ridge_leverage,16,0.09803605107590556,0.001490660011768341,-0.0005073894746601581,0.25818029046058655,0.8,5
gov_report,attention_weighted_v_ridge_leverage,32,0.08130484366083693,0.01673118770122528,0.0015984909699909623,0.22742468330543492,1.0,5
gov_report,attention_weighted_v_ridge_leverage,48,0.13377164298672142,0.015341212972998619,0.0016732605477955077,0.3846796466736123,0.8,5
gov_report,future_attention_oracle,16,0.006352577731013298,-0.00119868665933609,-0.0028458144515752792,0.022956044971942903,0.4,5
gov_report,future_attention_oracle,32,0.005261446679378423,0.0025726687163114548,5.013482359572663e-05,0.013559675065334887,1.0,5
gov_report,future_attention_oracle,48,0.005321397506395442,0.0012002362636849284,-1.7712738372210876e-05,0.01285969236632809,0.8,5
gov_report,snapkv,16,0.19511757395230234,0.002498302608728409,-0.005219821352511644,0.5884431213140489,0.8,5
gov_report,snapkv,32,0.3216693184937867,0.0024948227510321885,-0.0007179603993790806,0.9627014865400271,0.8,5
gov_report,snapkv,48,0.39130662678562655,0.02796291816048324,0.0026443800614288195,1.097036664490588,1.0,5
gov_report,v_ridge_leverage,16,0.18333984762430192,0.15052742511034012,-0.48573492765426635,0.8891335487365724,0.6,5
gov_report,v_ridge_leverage,32,0.41320614350552204,0.037114488426595926,0.003552605558070354,1.1419298928696664,0.8,5
gov_report,v_ridge_leverage,48,0.3615175067912787,0.01892813527956605,0.0027414723997935654,0.8919704439816997,0.8,5
niah_single_1,attention_weighted_v_ridge_leverage,16,6.458895022660726e-05,5.7917553931474686e-05,2.5384867149114144e-05,0.00010386533394921572,1.0,5
niah_single_1,attention_weighted_v_ridge_leverage,32,0.05968188173501403,1.954917752300389e-05,-0.046537062525749205,0.2041468381881714,0.6,5
niah_single_1,attention_weighted_v_ridge_leverage,48,0.08144469783946988,0.0669252872467041,-0.06782493737846379,0.24386659860610965,0.8,5
niah_single_1,future_attention_oracle,16,5.7607127928349655e-05,5.851307651028037e-05,2.4812605443003124e-05,9.028340864460916e-05,1.0,5
niah_single_1,future_attention_oracle,32,0.08246138660761063,2.5032393750734627e-05,-0.031002992391586305,0.24712457656860354,0.6,5
niah_single_1,future_attention_oracle,48,0.1180953677292564,0.13284027576446533,-0.014809227825026028,0.2584415674209595,0.8,5
niah_single_1,snapkv,16,4.06846829719143e-05,4.564353730529547e-05,1.3849031165591442e-05,6.43986597424373e-05,1.0,5
niah_single_1,snapkv,32,0.05833829613184207,0.020364224910736084,-0.020089507666125425,0.15803322792053223,0.8,5
niah_single_1,snapkv,48,0.09411669933979283,2.7654776204144582e-05,-0.09734873771667481,0.3643441438674927,0.6,5
niah_single_1,v_ridge_leverage,16,4.8049239376268814e-05,4.838404129259288e-05,1.6899802176340017e-05,7.989063451532275e-05,1.0,5
niah_single_1,v_ridge_leverage,32,0.06594201456173324,1.6688340110704303e-05,-0.05565914809703827,0.2240975618362427,0.6,5
niah_single_1,v_ridge_leverage,48,0.0960296032106271,0.11469721794128418,-0.05349795872461982,0.24298877716064454,0.8,5
reasoning_long_generation,attention_weighted_v_ridge_leverage,16,0.007865830394439399,0.00960274413228035,0.003232057043351233,0.011012659594416618,1.0,5
reasoning_long_generation,attention_weighted_v_ridge_leverage,32,0.19061972839517694,0.09341742870128655,-0.05109331533312797,0.5060053229331971,0.6,5
reasoning_long_generation,attention_weighted_v_ridge_leverage,48,0.23004018297178846,0.0711440744689753,-0.04983351081609726,0.6452307343482973,0.6,5
reasoning_long_generation,future_attention_oracle,16,0.0014227002393454313,0.0008069407194852829,0.0004163798410445452,0.002969031967222691,1.0,5
reasoning_long_generation,future_attention_oracle,32,0.13216767812264152,0.0029025960247963667,-0.02255258560180664,0.40778846597531815,0.6,5
reasoning_long_generation,future_attention_oracle,48,0.18155900666606611,0.005008629290387034,-0.03141158223152161,0.5679330945597031,0.6,5
reasoning_long_generation,snapkv,16,-0.0007764380425214767,-0.0021987594664096832,-0.002568523958325386,0.0020350035279989246,0.4,5
reasoning_long_generation,snapkv,32,0.148973245947127,0.0037054531276226044,-0.01599292755126953,0.4501193628282636,0.8,5
reasoning_long_generation,snapkv,48,0.19186934021345223,0.005673584062606096,-0.0423772931098938,0.6094672769875615,0.6,5
reasoning_long_generation,v_ridge_leverage,16,0.00082567585632205,0.00010488694533705711,-0.0017280351370573045,0.003998719528317452,0.6,5
reasoning_long_generation,v_ridge_leverage,32,0.25470814864893326,0.09096355791189126,-0.01973566710948944,0.6097357749938965,0.6,5
reasoning_long_generation,v_ridge_leverage,48,0.2750772473569668,0.07396595234968117,-0.06449865773320199,0.7558112621307373,0.6,5
