scope,n_events,staleness_mean,staleness_median,staleness_p90,selector_mean,selector_median,selector_p90,frac_staleness_positive,frac_staleness_exceeds_selector,frac_stale_worse_than_worst,split,horizon,task
p23b:attention,48.0,0.1292404656087589,0.040647607811358455,0.617189077008517,0.2746287322969014,0.0013697067258107154,0.8279781106023468,0.7708333333333334,0.6666666666666666,0.020833333333333332,pooled,,
p23b:attention,12.0,0.27699193341140926,0.0125311897136271,0.8072694152593615,0.3942984366246189,0.0,0.16620342368260033,0.9166666666666666,0.9166666666666666,0.08333333333333333,by_horizon,1.0,
p23b:attention,12.0,0.08409461789551642,0.03555615134064283,0.8854001378284013,0.18809471212216522,0.0003577944498829311,0.37525353816454315,0.75,0.6666666666666666,0.0,by_horizon,4.0,
p23b:attention,12.0,0.10721363327188509,0.047192566176576634,0.4422340055879204,0.1130812237525068,0.002346233133721398,0.2113555997896811,0.75,0.6666666666666666,0.0,by_horizon,8.0,
p23b:attention,12.0,0.04866167785622485,0.13974111108086618,0.422074226357735,0.40304055668831457,0.18567869340949983,1.362903186602818,0.6666666666666666,0.4166666666666667,0.0,by_horizon,16.0,
p23b:attention,24.0,0.24129771672229575,0.15684459258045536,0.936298289336264,0.3960538477487603,0.003394291881704703,0.8748429280705746,0.6666666666666666,0.5416666666666666,0.041666666666666664,by_task,,gov_report
p23b:attention,24.0,0.01718321449522205,0.01286514887760859,0.1293363195592974,0.15320361684504244,0.0010165916470867842,0.5290096305565216,0.875,0.7916666666666666,0.0,by_task,,niah_single_1
p22:attention_mean_w1_shared,48.0,0.13874266838201846,0.01496429072503247,0.3142142232209154,0.28133108602280404,0.0025986669063513546,0.7766208975918519,0.6666666666666666,0.625,0.0,pooled,,
p22:attention_mean_w1_shared,12.0,0.023864342244147945,0.04103824432240799,0.15116101517342032,0.040416854768409394,0.0016693450743332505,0.17722512660548098,0.75,0.75,0.0,by_horizon,1.0,
p22:attention_mean_w1_shared,12.0,0.050772862897626204,0.02806347069054027,0.32365184908267114,0.48386266104353126,0.0008778567425906658,1.8426421864889566,0.5833333333333334,0.5833333333333334,0.0,by_horizon,4.0,
p22:attention_mean_w1_shared,12.0,0.2666984447552376,0.022272140420682263,0.29905895956399037,0.329737666560618,0.0010629360042457847,1.0082431071510656,0.6666666666666666,0.6666666666666666,0.0,by_horizon,8.0,
p22:attention_mean_w1_shared,12.0,0.21363502363106215,0.01496429072503247,0.8278839618098576,0.2713071617186576,0.022882389792243885,0.7399413653485681,0.6666666666666666,0.5,0.0,by_horizon,16.0,
p22:attention_mean_w1_shared,24.0,0.015222914928988493,0.06873082117272133,0.30276070744075695,0.15940614313410606,0.00688892463222146,0.5719190374168648,0.6666666666666666,0.5833333333333334,0.0,by_task,,gov_report
p22:attention_mean_w1_shared,24.0,0.26226242183504844,0.00943577429279685,1.2102022963436856,0.4032560289115021,0.0015861650960005136,1.3778604341627212,0.6666666666666666,0.6666666666666666,0.0,by_task,,niah_single_1
p22:ALL,336.0,0.08702170710060617,0.003746819532580048,0.31754302569970605,0.4928253314226418,0.09932356904027984,1.2162362553062849,0.5565476190476191,0.31547619047619047,0.08333333333333333,pooled,,
p22:ALL,84.0,0.03577592241067794,0.008109144400805235,0.25043424518662505,0.3028709811423185,0.016328313300618902,0.5506760944612326,0.6071428571428571,0.39285714285714285,0.08333333333333333,by_horizon,1.0,
p22:ALL,84.0,0.0621063106053238,0.0030199238244676962,0.266830637678504,0.6338327877271175,0.11174405005658627,1.6946677052153973,0.5476190476190477,0.2976190476190476,0.08333333333333333,by_horizon,4.0,
p22:ALL,84.0,0.15019176324444536,0.003051308160905819,0.46505898363684584,0.5784206601601454,0.17773311552309679,1.2222187736217167,0.5595238095238095,0.30952380952380953,0.09523809523809523,by_horizon,8.0,
p22:ALL,84.0,0.10001283214197756,0.0006910914064519602,0.6289087256398497,0.456176896660986,0.23159603801497042,1.0257338832259393,0.5119047619047619,0.2619047619047619,0.07142857142857142,by_horizon,16.0,
p22:ALL,168.0,0.03457291140617664,0.005288206972181797,0.34110439254436664,0.6112617282608913,0.38394244233495556,1.4326319769577829,0.5535714285714286,0.27380952380952384,0.10119047619047619,by_task,,gov_report
p22:ALL,168.0,0.1394705027950357,0.003051308160905819,0.20486734272562968,0.3743889345843924,0.02162697033782024,0.6350380100899206,0.5595238095238095,0.35714285714285715,0.06547619047619048,by_task,,niah_single_1
p24:attention_mean_w1_shared,96.0,0.4339694310158442,0.03678215924649919,1.286694430898116,0.0787624218953585,0.0001230624423556037,0.2358123988014995,0.84375,0.7916666666666666,0.8333333333333334,pooled,,
p24:attention_mean_w1_shared,24.0,0.3788854103634615,0.018883425160311162,0.2995337464613839,0.021034637308146625,0.0,0.007592470012605185,0.9166666666666666,0.875,0.9166666666666666,by_horizon,1.0,
