policy,k,alert_frac,mean_benefit_alerted,mean_benefit_nonalerted
ALL,1,1.0,-0.002798215453975546,
ALL,2,0.5,-0.0026346214264296192,-0.002961809481521474
ALL,3,0.34375,-0.001613582776216639,-0.003418737332801641
ALL,4,0.25,-0.004792194846678413,-0.002133555656407924
ALL,6,0.171875,-0.003294013358248586,-0.002695314002145293
ALL,8,0.125,-0.010394848725220972,-0.001712982129511914
ALL,12,0.09375,-0.0030711044584594564,-0.0027699855569599694
attention,1,1.0,-0.006300949579113606,
attention,2,0.5,-0.005806021229034262,-0.0067958779291929505
attention,3,0.34375,-0.006340864738642735,-0.006280041638407873
attention,4,0.25,-0.008096117807642047,-0.005702560169604126
attention,6,0.171875,-0.0006585588427129005,-0.007472011807423188
attention,8,0.125,-0.017710502000832185,-0.004671013518868095
attention,12,0.09375,-0.0011527328424495071,-0.006833523724285754
b2_uniform,1,1.0,0.000704518671162514,
b2_uniform,2,0.5,0.0005367783761750233,0.0008722589661500045
b2_uniform,3,0.34375,0.003113699186209458,-0.0005574330271954096
b2_uniform,4,0.25,-0.001488271885714779,0.001435448856788278
b2_uniform,6,0.171875,-0.005929467873784271,0.002081383803132601
b2_uniform,8,0.125,-0.003079195449609759,0.001245049259844267
b2_uniform,12,0.09375,-0.004989476074469406,0.0012935526103658162
