stat,value
mean,-0.002798215453975546
median,-1.1088487983715312e-14
p90,0.00644108206033707
p99,0.107687681466341
max,0.3643312454223633
min,-0.4462907016277313
frac_gt_0,0.484375
frac_ge_0.01,0.0859375
frac_ge_0.05,0.01953125
frac_ge_0.1,0.013671875
frac_ge_0.25,0.001953125
label_rate_any_benefit,0.484375
label_rate_tail_event,0.01953125
lag16_mean,-0.002798215453975546
lag16_median,-1.1088487983715312e-14
lag16_p90,0.00644108206033707
lag16_frac_gt_0,0.484375
lag32_mean,-0.002798215453975546
lag32_median,-1.1088487983715312e-14
lag32_p90,0.00644108206033707
lag32_frac_gt_0,0.484375
