rule,held_out_sample,threshold,alert_rate,auc,precision,recall,benefit_alerted,benefit_nonalerted,lift_positive
single:score_tv_mean,gov_report:96,0.2134267831390313,0.265625,0.8286290322580645,0.058823529411764705,0.5,0.006330206239239668,0.001017429564032529,True
single:score_tv_mean,gov_report:97,0.20479789164256537,0.4453125,,0.0,,-0.0135740556989309,-0.004680047574493895,False
single:score_tv_mean,gov_report:98,0.4073719622696372,0.046875,0.4576502732240437,0.0,0.0,-0.08336461066017857,0.005428482276212952,False
single:score_tv_mean,synthetic_niah_96,0.19556639373577284,0.4921875,,0.0,,-0.011325690981716664,-0.0013248583515279577,False
single:stale_action_l1_lag4,gov_report:96,,,,,,,,False
single:stale_action_l1_lag4,gov_report:97,,,,,,,,False
single:stale_action_l1_lag4,gov_report:98,,,,,,,,False
single:stale_action_l1_lag4,synthetic_niah_96,,,,,,,,False
single:stale_action_l1_lag16,gov_report:96,,,,,,,,False
single:stale_action_l1_lag16,gov_report:97,,,,,,,,False
single:stale_action_l1_lag16,gov_report:98,,,,,,,,False
single:stale_action_l1_lag16,synthetic_niah_96,,,,,,,,False
single:churn_jaccard_mean,gov_report:96,,,,,,,,False
single:churn_jaccard_mean,gov_report:97,,,,,,,,False
single:churn_jaccard_mean,gov_report:98,,,,,,,,False
single:churn_jaccard_mean,synthetic_niah_96,,,,,,,,False
single:churn_jaccard_min,gov_report:96,,,,,,,,False
single:churn_jaccard_min,gov_report:97,,,,,,,,False
single:churn_jaccard_min,gov_report:98,,,,,,,,False
single:churn_jaccard_min,synthetic_niah_96,,,,,,,,False
single:churn_x_1minus_margin,gov_report:96,0.021504274398880436,0.046875,0.5544354838709677,0.0,0.0,0.006110001203346667,0.0022475851142059544,True
single:churn_x_1minus_margin,gov_report:97,0.021503932972054326,0.109375,,0.0,,-0.006347024203001135,-0.008922335208650106,True
single:churn_x_1minus_margin,gov_report:98,0.02150392917071141,0.046875,0.6092896174863388,0.0,0.0,6.341243389821709e-05,0.0013254647469960613,False
single:churn_x_1minus_margin,synthetic_niah_96,0.02150388501212153,0.421875,,0.0,,-0.003978376386928391,-0.007902729727072082,True
single:tv_x_churn,gov_report:96,0.009565176595175416,0.0,0.8629032258064516,,0.0,,0.0024286358683844253,False
single:tv_x_churn,gov_report:97,0.004370229073609402,0.40625,,0.0,,-0.014880058668828095,-0.004371598708540353,False
single:tv_x_churn,gov_report:98,0.004332956797019825,0.546875,0.4822404371584699,0.04285714285714286,0.5,-0.004855064467944854,0.00865416700850084,False
single:tv_x_churn,synthetic_niah_96,0.004256896967349523,0.46875,,0.0,,-0.01110643982780764,-0.0019595284563089527,False
single:compressed_entropy,gov_report:96,1.0187780073372144,0.2265625,0.8830645161290323,0.13793103448275862,1.0,0.019491256311022002,-0.0025695054733982994,True
single:compressed_entropy,gov_report:97,1.0319652694016717,0.0390625,,0.0,,-0.014092081785202026,-0.008419058078879006,False
single:compressed_entropy,gov_report:98,1.0191348141243626,0.1484375,0.8729508196721312,0.2631578947368421,0.8333333333333334,0.04604526256260119,-0.006539200137179025,True
single:compressed_entropy,synthetic_niah_96,1.0114509958787903,0.234375,,0.0,,-0.010547533910721541,-0.004930697014038988,False
