rule,n_folds,threshold_median,threshold_min,threshold_max,auc_mean,auc_min,precision_mean,recall_mean,alert_rate_mean,benefit_alerted_mean,benefit_nonalerted_mean,lift_positive_folds,lift_fold_frac
single:compressed_entropy,4,1.0189564107307885,1.0114509958787903,1.0319652694016717,0.8780076679005817,0.8729508196721312,0.10027223230490018,0.9166666666666667,0.162109375,0.010224225794424908,-0.005614615175873829,2,0.5
rankprod:tv_x_churn*compressed_entropy,4,0.1944783834586466,0.17953249007936506,0.5585306038533835,0.8500407632645867,0.7383879781420766,0.03306010928961749,0.5833333333333334,0.388671875,-0.013633851370220358,-0.00020577364290761787,1,0.25
rankprod:stale_action_l1_lag4*compressed_entropy,4,0.5300302204332854,0.5248205566406251,0.5417597399259868,0.847236911686938,0.8073770491803278,0.08571428571428572,0.29166666666666663,0.0625,-0.005465696954059525,-0.0034547136775688035,3,0.75
rankprod:stale_action_l1_lag16*compressed_entropy,4,0.5300302204332854,0.5248205566406251,0.5417597399259868,0.847236911686938,0.8073770491803278,0.08571428571428572,0.29166666666666663,0.0625,-0.005465696954059525,-0.0034547136775688035,3,0.75
rankprod:churn_jaccard_mean*compressed_entropy,4,0.5237074701728279,0.5190620431286551,0.5352997076023391,0.8465538515776485,0.8060109289617486,0.10389610389610389,0.375,0.064453125,0.001974270866530667,-0.004236959193997637,3,0.75
rankprod:churn_jaccard_min*compressed_entropy,4,0.5237074701728279,0.5190620431286551,0.5352997076023391,0.8383571302661731,0.7896174863387978,0.10389610389610389,0.375,0.064453125,0.001974270866530667,-0.004236959193997637,3,0.75
rankprod:score_tv_mean*compressed_entropy,4,0.22695500143588135,0.19429002192982453,0.5690611946533,0.8306066014454433,0.703551912568306,0.032018442622950824,0.5833333333333334,0.357421875,-0.012753187097917652,-0.0010202910235108556,1,0.25
and:tv_x_churn&compressed_entropy,4,0.5606998616332497,0.2869777960526315,0.7359198778195489,0.8148301163405605,0.6639344262295082,0.040625,0.5833333333333334,0.234375,-0.02496398616893755,-0.00032391714521484184,1,0.25
and:score_tv_mean&compressed_entropy,4,0.5289451493316626,0.2677331349206349,0.7063492063492064,0.7974616604970914,0.6352459016393442,0.031818181818181815,0.5833333333333334,0.255859375,-0.02103764173748518,-0.00023611154930012644,1,0.25
rankprod:churn_x_1minus_margin*compressed_entropy,4,0.6788189223057643,0.6732717209690893,0.8356758432539684,0.7942336506257712,0.7701612903225806,0.08333333333333333,0.08333333333333333,0.017578125,0.009214654914103448,-0.0030964601669492713,2,0.5
and:stale_action_l1_lag16&compressed_entropy,4,0.580078125,0.5499712171052629,0.59765625,0.7786003878018686,0.7547814207650273,0.052083333333333336,0.4166666666666667,0.1953125,-0.008296363197587198,-0.001213164150074943,1,0.25
and:stale_action_l1_lag4&compressed_entropy,4,0.580078125,0.5499712171052629,0.59765625,0.7786003878018686,0.7547814207650273,0.052083333333333336,0.4166666666666667,0.1953125,-0.008296363197587198,-0.001213164150074943,1,0.25
and:churn_jaccard_mean&compressed_entropy,4,0.572507603644528,0.5499712171052629,0.5894596517335003,0.7755266173100652,0.7486338797814208,0.052083333333333336,0.4166666666666667,0.1953125,-0.008296363197587198,-0.001213164150074943,1,0.25
and:churn_jaccard_min&compressed_entropy,4,0.572507603644528,0.5499712171052629,0.5894596517335003,0.766988365943945,0.7315573770491803,0.052083333333333336,0.4166666666666667,0.1953125,-0.008296363197587198,-0.001213164150074943,1,0.25
and:churn_x_1minus_margin&compressed_entropy,4,0.866924603174604,0.7109375,0.9022110615079368,0.7615183765203596,0.719758064516129,0.041666666666666664,0.08333333333333333,0.021484375,-0.029626622175176937,-0.0017984342430015813,0,0.0
