task,horizon,strategy,mean_avg_delta_nll,median_avg_delta_nll,mean_avg_approx_kl,mean_oracle_overlap,n_samples,n_rows,loss_rank,kl_rank
gov_report,1,attention_weighted_v_ridge_leverage,0.010172118046142249,0.00041410781665973673,0.0070487260584677644,0.2682478606454371,5,15,3.0,2.0
gov_report,1,future_attention_oracle,0.008603443292965333,3.74246152290425e-05,0.0006300331550194266,,5,15,2.0,1.0
gov_report,1,snapkv,-0.0069415881158024694,-0.0002790787592665822,0.013825683753176202,0.3041886709111082,5,15,1.0,3.0
gov_report,1,v_ridge_leverage,0.6432861328810549,0.0943872198169835,0.6726321850439974,0.15653992401893213,5,15,4.0,4.0
gov_report,4,attention_weighted_v_ridge_leverage,0.06008485135362284,0.023037086007438923,0.061014512593341376,0.27527882520651253,5,15,3.0,3.0
gov_report,4,future_attention_oracle,-0.007729588929050794,-0.0023460511766062453,0.003827413946273776,,5,15,1.0,1.0
gov_report,4,snapkv,-0.004729455531794417,-0.0018421587568955289,0.030147355726278507,0.30856430063053425,5,15,2.0,2.0
gov_report,4,v_ridge_leverage,0.4979108327567406,0.07983553118699138,0.44980931728512136,0.15054706897385103,5,15,4.0,4.0
gov_report,16,attention_weighted_v_ridge_leverage,0.19146917014340983,0.08781115197167244,0.15443735961072227,0.2843753765521766,5,15,3.0,3.0
gov_report,16,future_attention_oracle,0.007127383732746439,-0.00452743108937792,0.010768946166218618,,5,15,1.0,1.0
gov_report,16,snapkv,0.06064394893133387,0.024530824688011377,0.0909041600472031,0.31233362304061135,5,15,2.0,2.0
gov_report,16,v_ridge_leverage,0.8915409836602207,0.8827596973263929,0.7480032432797077,0.13895878733895717,5,15,4.0,4.0
gov_report,64,attention_weighted_v_ridge_leverage,0.4046432806660872,0.4136630849315008,0.3370135450725049,0.2880313208727605,5,15,2.0,2.0
gov_report,64,future_attention_oracle,0.05224680440259858,0.034458243799620425,0.076466284516657,,5,15,1.0,1.0
gov_report,64,snapkv,0.676941490494173,0.6398569599148869,0.6238234193416244,0.2900475744955901,5,15,3.0,3.0
gov_report,64,v_ridge_leverage,1.1269875763835893,1.0591610312288608,0.9457092780779092,0.1373463314004933,5,15,4.0,4.0
niah_single_1,1,attention_weighted_v_ridge_leverage,0.00952450670298859,7.320383384978868e-05,0.0024199502407566947,0.4881760780798906,5,15,2.0,2.0
niah_single_1,1,future_attention_oracle,0.0027668477357108163,6.293834481141403e-06,0.0012556722031108465,,5,15,1.0,1.0
niah_single_1,1,snapkv,0.01576623337468822,-2.4149413277996246e-06,0.009914660183619013,0.44767431822790643,5,15,4.0,4.0
niah_single_1,1,v_ridge_leverage,0.011972305980179716,9.417541379264094e-05,0.0027427450386401735,0.47019323338996805,5,15,3.0,3.0
niah_single_1,4,attention_weighted_v_ridge_leverage,0.0056562616740439015,0.0008835014450543355,0.0015437330538745713,0.5028060470940946,5,15,2.0,2.0
