file,field,dtype,shape,unit_or_semantics,missing
reference_trajectories.parquet,config_hash,object,scalar,see implementation/findings,0
reference_trajectories.parquet,generated_length,int64,scalar,tokens,0
reference_trajectories.parquet,generation_stopped_on_eos,bool,scalar,see implementation/findings,0
reference_trajectories.parquet,generation_time_s,float64,scalar,seconds,0
reference_trajectories.parquet,git_commit,object,scalar,see implementation/findings,0
reference_trajectories.parquet,model,object,scalar,see implementation/findings,0
reference_trajectories.parquet,peak_accelerator_bytes,int64,scalar,bytes,0
reference_trajectories.parquet,peak_rss_bytes,int64,scalar,bytes,0
reference_trajectories.parquet,prompt_length,int64,scalar,tokens,0
reference_trajectories.parquet,prompt_truncated,bool,scalar,see implementation/findings,0
reference_trajectories.parquet,reference_npz_path,object,scalar,see implementation/findings,0
reference_trajectories.parquet,run_id,object,scalar,see implementation/findings,0
reference_trajectories.parquet,sample_id,object,scalar,see implementation/findings,0
reference_trajectories.parquet,sample_metadata,object,JSON object; example keys 12,see implementation/findings,0
reference_trajectories.parquet,seed,int64,scalar,see implementation/findings,0
reference_trajectories.parquet,selected_diagnostic_heads,object,JSON object; example keys 3,see implementation/findings,0
reference_trajectories.parquet,selected_diagnostic_layers,object,JSON list; example length 3,see implementation/findings,0
reference_trajectories.parquet,task,object,scalar,see implementation/findings,0
candidate_sets.parquet,anchor,int64,scalar,generated tokens already incorporated,0
candidate_sets.parquet,config_hash,object,scalar,see implementation/findings,0
candidate_sets.parquet,effective_core_size_max,int64,scalar,see implementation/findings,0
candidate_sets.parquet,effective_core_size_min,int64,scalar,see implementation/findings,0
candidate_sets.parquet,git_commit,object,scalar,see implementation/findings,0
candidate_sets.parquet,horizon_condition,float64,scalar,see implementation/findings,135
candidate_sets.parquet,invalid_reason,object,scalar/all-null,see implementation/findings,315
candidate_sets.parquet,layers,object,JSON list; example length 28,see implementation/findings,0
candidate_sets.parquet,model,object,scalar,see implementation/findings,0
candidate_sets.parquet,overlaps,object,JSON object; example keys 6,see implementation/findings,0
candidate_sets.parquet,recent_size,int64,scalar,see implementation/findings,0
candidate_sets.parquet,run_id,object,scalar,see implementation/findings,0
candidate_sets.parquet,sample_id,object,scalar,see implementation/findings,0
candidate_sets.parquet,seed,int64,scalar,see implementation/findings,0
candidate_sets.parquet,selected_core_budget,int64,scalar,see implementation/findings,0
candidate_sets.parquet,selected_token_age_max,int64,scalar,see implementation/findings,0
candidate_sets.parquet,selected_token_age_mean,float64,scalar,see implementation/findings,0
candidate_sets.parquet,selected_token_age_median,float64,scalar,see implementation/findings,0
candidate_sets.parquet,selected_token_age_min,int64,scalar,see implementation/findings,0
candidate_sets.parquet,selection_metadata,object,JSON object; example keys 2,see implementation/findings,0
candidate_sets.parquet,sink_size,int64,scalar,see implementation/findings,0
candidate_sets.parquet,strategy,object,scalar,see implementation/findings,0
candidate_sets.parquet,task,object,scalar,see implementation/findings,0
candidate_sets.parquet,total_budget,int64,scalar,see implementation/findings,0
candidate_sets.parquet,valid,bool,scalar,see implementation/findings,0
step_losses.parquet,active_cache_tokens,int64,scalar,KV token slots/layer,0
step_losses.parquet,anchor,int64,scalar,generated tokens already incorporated,0
step_losses.parquet,approx_kl,float64,scalar,nats,0
step_losses.parquet,attention_output_error_max,float64,scalar,dimensionless relative L2,0
step_losses.parquet,attention_output_error_mean,float64,scalar,dimensionless relative L2,0
step_losses.parquet,attention_output_errors,object,JSON list; example length 6,see implementation/findings,0
step_losses.parquet,average_delta_nll,float64,scalar,see implementation/findings,0
step_losses.parquet,change_point,float64,scalar,see implementation/findings,900
step_losses.parquet,compressed_log_probability,float64,scalar,see implementation/findings,0
step_losses.parquet,compressed_on_full_top_mass,float64,scalar,see implementation/findings,0
step_losses.parquet,compressed_other_mass,float64,scalar,see implementation/findings,0
step_losses.parquet,compressed_top_mass_rounding_correction,float64,scalar,see implementation/findings,0
step_losses.parquet,config_hash,object,scalar,see implementation/findings,0
step_losses.parquet,cumulative_delta_nll,float64,scalar,see implementation/findings,0
step_losses.parquet,delta_nll,float64,scalar,nats/token,0
step_losses.parquet,delta_nll_curvature,float64,scalar,see implementation/findings,0
step_losses.parquet,delta_nll_slope,float64,scalar,see implementation/findings,0
step_losses.parquet,first_large_loss_spike,float64,scalar,see implementation/findings,2519
step_losses.parquet,forward_time_s,float64,scalar,seconds,0
step_losses.parquet,full_other_mass,float64,scalar,see implementation/findings,0
step_losses.parquet,full_top_mass,float64,scalar,see implementation/findings,0
step_losses.parquet,full_top_mass_rounding_correction,float64,scalar,see implementation/findings,0
step_losses.parquet,future_step,int64,scalar,1-indexed steps after anchor,0
step_losses.parquet,git_commit,object,scalar,see implementation/findings,0
step_losses.parquet,invalid_reason,object,scalar/all-null,see implementation/findings,15300
step_losses.parquet,model,object,scalar,see implementation/findings,0
step_losses.parquet,new_token_value_residual_mean,float64,scalar,see implementation/findings,3825
step_losses.parquet,reference_log_probability,float64,scalar,see implementation/findings,0
step_losses.parquet,reference_token_id,int64,scalar,see implementation/findings,0
step_losses.parquet,reference_token_position,int64,scalar,see implementation/findings,0
