feature,spearman_p22,rank_auc_p22,precision_at_0.25_p22,note_p22,spearman_p23b,rank_auc_p23b,precision_at_0.25_p23b,note_p23b
panel_margin_teacher,-0.2518454190186713,0.228515625,0.3333333333333333,,0.07251411202778983,0.171990171990172,0.4166666666666667,
panel_margin_proxy,0.40993466461698014,0.640625,1.0,,0.005227647157708567,0.2493857493857494,0.5833333333333334,
panel_spread_teacher,0.16684759009986974,0.357421875,0.5833333333333334,,0.07359965262700825,0.2113022113022113,0.5,
panel_spread_proxy,-0.12154279641672418,0.5859375,0.5833333333333334,,-0.20474951367691888,0.6228501228501229,0.8333333333333334,
kl_offset1,0.15377995388926033,0.40625,0.6666666666666666,,-0.11587951199587322,0.18058968058968058,0.3333333333333333,
kl_slope_early,0.042256814524810914,0.4140625,0.4166666666666667,,0.39468736040699676,0.8783783783783784,1.0,
kl_max_early,0.24744196546487215,0.421875,0.4166666666666667,,0.20779897451891552,0.3673218673218673,0.5833333333333334,
fisher_mean_early,0.15639377746811464,0.5,0.6666666666666666,,0.17512617978323697,0.33783783783783783,0.5833333333333334,
delta_nll_mean_early,-0.03702916736710235,0.359375,0.4166666666666667,,-0.10716676673302562,0.3673218673218673,0.5833333333333334,
logit_l2_mean_early,0.08233544273390991,0.34375,0.4166666666666667,,0.15944323831011128,0.328009828009828,0.5833333333333334,
fresh_proxy_risk,0.08625617810219134,0.390625,0.4166666666666667,,0.1812251014672303,0.38697788697788693,0.75,
stale_proxy_risk,0.24569941641230264,0.515625,0.75,,-0.06229612862936042,0.23955773955773957,0.5,
proxy_risk_ratio,0.17164108167809794,0.578125,0.9166666666666666,,-0.37508368356558963,0.4361179361179361,0.8333333333333334,
proxy_regret,0.3781331444075864,0.6640625,0.75,,-0.35025235956647394,0.2493857493857494,0.5,
horizon,-0.014795855979824649,0.4765625,0.6666666666666666,,0.06725389081738477,0.36732186732186733,0.6666666666666666,
churn_binary,,,,constant or NaN,,,,constant or NaN
