policy,baseline,metric,task_bucket,paired_samples,mean_delta_policy_minus_baseline,delta_ci95_low,delta_ci95_high,wins,ties,losses
a2_temporal_volatility,attention,official_score,all,2,0.0,0.0,0.0,0,2,0
a2_temporal_volatility,attention,mean_trajectory_exact_kl,all,2,-0.0001709326549605458,-0.0003407727913611325,-1.0925185599591558e-06,0,0,2
a2_temporal_volatility,attention,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,attention,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,b2_direct_action_generator,official_score,all,2,0.0,0.0,0.0,0,2,0
a2_temporal_volatility,b2_direct_action_generator,mean_trajectory_exact_kl,all,2,-0.00013330557102528035,-0.00026645742630648783,-1.5371574407286627e-07,0,0,2
a2_temporal_volatility,b2_direct_action_generator,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,b2_direct_action_generator,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,full_cache,official_score,all,2,0.0,0.0,0.0,0,2,0
a2_temporal_volatility,full_cache,mean_trajectory_exact_kl,all,2,0.00021565561528816084,3.494943333899863e-06,0.0004278162872424218,2,0,0
a2_temporal_volatility,full_cache,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,full_cache,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,qk_pool,official_score,all,2,0.0,0.0,0.0,0,2,0
a2_temporal_volatility,qk_pool,mean_trajectory_exact_kl,all,2,-1.1691039692525885e-05,-2.4951789015403847e-05,1.5697096303520777e-06,1,0,1
a2_temporal_volatility,qk_pool,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,qk_pool,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,qk_tiered_v,official_score,all,2,0.0,0.0,0.0,0,2,0
a2_temporal_volatility,qk_tiered_v,mean_trajectory_exact_kl,all,2,-7.580014359056999e-06,-1.6532432169924505e-05,1.3724034518105069e-06,1,0,1
a2_temporal_volatility,qk_tiered_v,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,qk_tiered_v,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
a2_temporal_volatility,token_rarity,official_score,all,2,0.32785,0.0,0.6557,1,1,0
a2_temporal_volatility,token_rarity,mean_trajectory_exact_kl,all,2,-0.28709915182504997,-0.5741981236529909,-1.7999710896820023e-07,0,0,2
a2_temporal_volatility,token_rarity,rouge_l,GovReport,1,0.006557377049180328,0.006557377049180328,0.006557377049180328,1,0,0
a2_temporal_volatility,token_rarity,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
attention,b2_direct_action_generator,official_score,all,2,0.0,0.0,0.0,0,2,0
attention,b2_direct_action_generator,mean_trajectory_exact_kl,all,2,3.762708393526547e-05,9.388028158862895e-07,7.431536505464464e-05,2,0,0
attention,b2_direct_action_generator,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
attention,b2_direct_action_generator,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
attention,full_cache,official_score,all,2,0.0,0.0,0.0,0,2,0
attention,full_cache,mean_trajectory_exact_kl,all,2,0.00038658827024870665,4.587461893859019e-06,0.0007685890786035543,2,0,0
attention,full_cache,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
attention,full_cache,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
attention,qk_pool,official_score,all,2,0.0,0.0,0.0,0,2,0
attention,qk_pool,mean_trajectory_exact_kl,all,2,0.00015924161526801992,2.6622281903112335e-06,0.00031582100234572863,2,0,0
attention,qk_pool,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
attention,qk_pool,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
attention,qk_tiered_v,official_score,all,2,0.0,0.0,0.0,0,2,0
