policy,cycles_completed,generated_tokens,mean_trajectory_exact_kl,refresh_events,recovery_events,all_budgets_respected,prompt_tokens,cache_budget,retained_prompt_fraction,sample_id,task,task_bucket,generation_text,generation_length_tokens,repetition_4gram_rate,rouge_l,rouge_1,rouge_2,official_score,needle_retrieval_accuracy,mean_recovered_fraction,mean_churn_layer_mean,mean_candidate_universe_size,pool_scoring_forward_time_total_s
full_cache,4,4,0.0,0,0,True,1247,,1.0,synthetic_niah_118,niah_single_1,NIAH,4930,4,0.0,,,,0.0,0.0,,,,
attention,4,4,4.587461893859019e-06,0,0,True,1247,256.0,0.20529270248596632,synthetic_niah_118,niah_single_1,NIAH,4930,4,0.0,,,,0.0,0.0,0.0,0.0,1247.5,0.0
qk_pool,4,4,1.9252337035477853e-06,4,3,True,1247,256.0,0.20529270248596632,synthetic_niah_118,niah_single_1,NIAH,4930,4,0.0,,,,0.0,0.0,0.13734217171717172,40.28703703703704,1247.5,0.5368941249999963
qk_tiered_v,4,4,2.122539882089356e-06,4,3,True,1247,256.0,0.20529270248596632,synthetic_niah_118,niah_single_1,NIAH,4930,4,0.0,,,,0.0,0.0,0.1378472222222222,40.43518518518518,1247.5,0.5407877089999928
token_rarity,4,4,3.674940442868063e-06,4,3,True,1247,256.0,0.20529270248596632,synthetic_niah_118,niah_single_1,NIAH,4930,4,0.0,,,,0.0,0.0,0.35,102.66666666666667,1247.5,0.0
a2_temporal_volatility,4,4,3.494943333899863e-06,3,3,True,1247,256.0,0.20529270248596632,synthetic_niah_118,niah_single_1,NIAH,4930,4,0.0,,,,0.0,0.0,0.014741161616161617,4.3240740740740735,1247.5,0.0
b2_direct_action_generator,4,4,3.6486590779727292e-06,3,3,True,1247,256.0,0.20529270248596632,synthetic_niah_118,niah_single_1,NIAH,4930,4,0.0,,,,0.0,0.0,0.01278409090909091,3.75,1247.5,0.0
full_cache,4,4,0.0,0,0,True,890,,1.0,gov_report:118,gov_report,GovReport,**Summary of the,4,0.0,0.006557377049180328,0.006557377049180328,0.0,0.6557,,,,,
attention,4,4,0.0007685890786035543,0,0,True,890,256.0,0.2876404494382023,gov_report:118,gov_report,GovReport,**Summary of the,4,0.0,0.006557377049180328,0.006557377049180328,0.0,0.6557,,0.0,0.0,890.5,0.0
qk_pool,4,4,0.00045276807625782567,4,3,True,890,256.0,0.2876404494382023,gov_report:118,gov_report,GovReport,**Summary of the,4,0.0,0.006557377049180328,0.006557377049180328,0.0,0.6557,,0.1484848484848485,43.55555555555555,890.5,0.4801832070000245
qk_tiered_v,4,4,0.0004443487194123463,4,3,True,890,256.0,0.2876404494382023,gov_report:118,gov_report,GovReport,**Summary of the,4,0.0,0.006557377049180328,0.006557377049180328,0.0,0.6557,,0.14857954545454544,43.583333333333336,890.5,0.4799228339999928
token_rarity,4,4,0.5746259399402334,2,1,True,890,256.0,0.2876404494382023,gov_report:118,gov_report,GovReport,"**Summary:**

",4,0.0,0.0,0.0,0.0,0.0,,0.0011363636363636363,0.3333333333333333,890.5,0.0
a2_temporal_volatility,4,4,0.0004278162872424218,3,3,True,890,256.0,0.2876404494382023,gov_report:118,gov_report,GovReport,**Summary of the,4,0.0,0.006557377049180328,0.006557377049180328,0.0,0.6557,,0.01950757575757576,5.722222222222222,890.5,0.0
b2_direct_action_generator,4,4,0.0006942737135489097,3,3,True,890,256.0,0.2876404494382023,gov_report:118,gov_report,GovReport,**Summary of the,4,0.0,0.006557377049180328,0.006557377049180328,0.0,0.6557,,0.025220959595959595,7.398148148148148,890.5,0.0
