sample_id,task,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio
gov_report:56,gov_report,direct,0.9047619047619048,0.8928571428571429,0.5,0.5,0.0013803976990882888,3.193841350114852e-05
gov_report:56,gov_report,fisher,0.9523809523809526,0.9464285714285714,1.0,1.0,0.0,0.9024923629778974
gov_report:56,gov_report,local,0.8928571428571429,0.875,0.0,0.5,0.0021813514788702843,2.4603945729855483e-05
gov_report:56,gov_report,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.9671406867515888
gov_report:57,gov_report,direct,0.7857142857142858,0.7857142857142857,1.0,1.0,0.0,5.862236345805451e-05
gov_report:57,gov_report,fisher,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.848925071702655
gov_report:57,gov_report,local,0.7857142857142858,0.8035714285714286,1.0,0.75,0.0,5.8597464450604503e-05
gov_report:57,gov_report,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.9958965379315764
synthetic_niah_56,niah_single_1,direct,0.9285714285714287,0.9107142857142858,1.0,0.5,0.0,1.0958828460662803e-05
synthetic_niah_56,niah_single_1,fisher,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.9006886490465797
synthetic_niah_56,niah_single_1,local,0.9285714285714287,0.9107142857142858,1.0,0.75,0.0,5.445798308454194e-06
synthetic_niah_56,niah_single_1,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.9950712016839118
synthetic_niah_57,niah_single_1,direct,0.8809523809523809,0.8571428571428572,1.0,0.5,0.0,1.0276447962758996e-06
synthetic_niah_57,niah_single_1,fisher,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.9128535560363933
synthetic_niah_57,niah_single_1,local,0.8214285714285715,0.8035714285714286,1.0,0.5,0.0,7.144017339696413e-07
synthetic_niah_57,niah_single_1,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.9936485226721253
