stratum_type,stratum_json,row_count,median_cosine,median_relative_l2,median_symmetric_norm_ratio,median_parallel_relative_error,median_orthogonal_relative_error,median_fisher_relative_error,row_cosine_pass_fraction,direction_error_fraction,amplitude_error_fraction,task,sample_id,layer,anchor,history_id,candidate_source,state_action_interaction_sign
overall,{},576,0.998170138128579,0.06499407286046646,0.9939252970686328,0.010956361976616754,0.06062133120639415,0.07397722923679324,0.8368055555555556,0.16319444444444445,0.4114583333333333,,,,,,,
task,"{""task"": ""gov_report""}",288,0.9973161668351564,0.07915443961202713,0.9869431789115561,0.02167249859681606,0.07450980235943486,0.10489173318645845,0.7708333333333334,0.22916666666666666,0.5034722222222222,gov_report,,,,,,
task,"{""task"": ""niah_single_1""}",288,0.9995077389178004,0.0317937240799456,0.9971949093268253,0.005785581698886887,0.03132318385439972,0.025281540162345482,0.9027777777777778,0.09722222222222222,0.3194444444444444,niah_single_1,,,,,,
sequence,"{""sample_id"": ""gov_report:84"", ""task"": ""gov_report""}",144,0.995570231936769,0.10102977117923811,0.9817878467607235,0.032375520302823736,0.09063346872325034,0.12006039123789022,0.6666666666666666,0.3333333333333333,0.5138888888888888,gov_report,gov_report:84,,,,,
sequence,"{""sample_id"": ""gov_report:85"", ""task"": ""gov_report""}",144,0.9980996135177921,0.06898867930052385,0.994075178606183,0.009389470114475277,0.0634926052225911,0.10006521901709835,0.875,0.125,0.4930555555555556,gov_report,gov_report:85,,,,,
sequence,"{""sample_id"": ""synthetic_niah_84"", ""task"": ""niah_single_1""}",144,0.9992180279738044,0.04048040008289251,0.9965838963021829,0.007520730188660977,0.039518205608889474,0.02642854317908124,1.0,0.0,0.4513888888888889,niah_single_1,synthetic_niah_84,,,,,
sequence,"{""sample_id"": ""synthetic_niah_85"", ""task"": ""niah_single_1""}",144,0.9997582599881959,0.022038779351990074,0.9983011317787223,0.003548964784162203,0.022002051256152403,0.02029972177666483,0.8055555555555556,0.19444444444444445,0.1875,niah_single_1,synthetic_niah_85,,,,,
layer,"{""layer"": 0}",192,0.9964439953156331,0.08768701712857549,0.98826517345511,0.029798863222827522,0.08217127198397516,0.10461467710923032,0.7447916666666666,0.2552083333333333,0.7135416666666666,,,0.0,,,,
layer,"{""layer"": 14}",192,0.999017323791147,0.050515666152618224,0.9936201267198197,0.011968685472883543,0.042189894311515194,0.04870773535659345,0.765625,0.234375,0.265625,,,14.0,,,,
layer,"{""layer"": 26}",192,0.999661562605183,0.027013278707289666,0.9986768756810935,0.0020072332114339743,0.025822738222016486,0.0331176032200379,1.0,0.0,0.2552083333333333,,,26.0,,,,
anchor,"{""anchor"": 48}",288,0.9984859466257521,0.0634155570127411,0.9908201866116466,0.019177169196111968,0.05555696861492207,0.06767736695496909,0.8541666666666666,0.14583333333333334,0.4270833333333333,,,,48.0,,,
anchor,"{""anchor"": 64}",288,0.9973198007210333,0.07336382629873561,0.9964213074491812,0.0064373931548514,0.07304973830290779,0.08225990019122564,0.8194444444444444,0.18055555555555555,0.3958333333333333,,,,64.0,,,
history,"{""history_id"": ""H1""}",192,0.9981831063409674,0.06708208200418328,0.9940890066148904,0.01059718695480136,0.06058562970215228,0.0699870130487823,0.8385416666666666,0.16145833333333334,0.40625,,,,,H1,,
history,"{""history_id"": ""H2""}",192,0.9981848931912441,0.06356644614444598,0.9940651233589453,0.010786664525404952,0.06049578911181846,0.0706883441398227,0.8385416666666666,0.16145833333333334,0.4270833333333333,,,,,H2,,
history,"{""history_id"": ""H3""}",192,0.9981105016398955,0.07066128478413047,0.9935503158421242,0.011705408647600606,0.06167887266105322,0.07758770004941068,0.8333333333333334,0.16666666666666666,0.4010416666666667,,,,,H3,,
candidate,"{""candidate_source"": ""aor""}",72,0.9995911958810422,0.02895218648262861,0.99660269665467,0.006615084451069959,0.028556274032760995,0.054726598236909875,0.9166666666666666,0.08333333333333333,0.375,,,,,,aor,
candidate,"{""candidate_source"": ""aov""}",72,0.9996139176264562,0.027860821208399923,0.9963954360793618,0.007369291557725454,0.027575218190625424,0.05219300496620065,0.9166666666666666,0.08333333333333333,0.375,,,,,,aov,
candidate,"{""candidate_source"": ""attention_only""}",72,0.9994244056394217,0.04261216999917531,0.9970454476365143,0.006381651504126238,0.032645469298399676,0.0495617034536049,0.9166666666666666,0.08333333333333333,0.3888888888888889,,,,,,attention_only,
candidate,"{""candidate_source"": ""fresh_core""}",72,0.9984715187904378,0.056507781183898674,0.9958129655573796,0.007886858766200806,0.05565214775541941,0.06373738244483304,0.7916666666666666,0.20833333333333334,0.3611111111111111,,,,,,fresh_core,
candidate,"{""candidate_source"": ""old_stale_core""}",72,0.9973537841679756,0.0800070068056539,0.9910012064844929,0.024068765842641754,0.07338432963521632,0.09501032244501953,0.7777777777777778,0.2222222222222222,0.4722222222222222,,,,,,old_stale_core,
candidate,"{""candidate_source"": ""random_reference""}",72,0.9970700338903052,0.08453759210121085,0.9871008913751662,0.02901621699309624,0.07661410066632286,0.09748293999132451,0.7083333333333334,0.2916666666666667,0.4722222222222222,,,,,,random_reference,
candidate,"{""candidate_source"": ""snapkv""}",72,0.9981988623269183,0.06476790466473992,0.9923950394501453,0.016202970432132535,0.06004604804240021,0.06367161472852596,0.875,0.125,0.4305555555555556,,,,,,snapkv,
candidate,"{""candidate_source"": ""v_ridge""}",72,0.997788057098008,0.08205236823219428,0.9960495212526954,0.009454957871715505,0.06901226356610533,0.08226509744067853,0.7916666666666666,0.20833333333333334,0.4166666666666667,,,,,,v_ridge,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",96,0.9961264268934387,0.09050228969633445,0.9827515737471959,0.02087960470514152,0.08769806810599784,0.1089862480910143,0.78125,0.21875,0.71875,gov_report,,0.0,,,,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",96,0.9921931728722386,0.15205991638292504,0.9582039977052962,0.0862719217275169,0.11416783103327664,0.21793230245120834,0.53125,0.46875,0.3958333333333333,gov_report,,14.0,,,,
