gamma,task,layer,history_id,candidate_source,row_count,median_cosine,median_relative_l2,median_residual_norm,row_pass_fraction
0.0625,gov_report,0,H1,aor,4,0.9999808645785107,0.0065652182213704925,0.004423115050748202,1.0
0.0625,gov_report,0,H1,aov,4,0.999979947521443,0.006617353779296224,0.004448747937305682,1.0
0.0625,gov_report,0,H1,attention_only,4,0.9999827173074498,0.006195859671910652,0.0040468461639381345,1.0
0.0625,gov_report,0,H1,fresh_core,4,0.9999875815561092,0.0049823022535074625,0.0019102473856994094,1.0
0.0625,gov_report,0,H1,old_stale_core,4,0.9999824809036296,0.006082232111344887,0.006163978008563081,1.0
0.0625,gov_report,0,H1,random_reference,4,0.9999858131585914,0.005570998534734049,0.004900369885535021,1.0
0.0625,gov_report,0,H1,snapkv,4,0.9999799078357101,0.006679969442947648,0.005750808394394713,1.0
0.0625,gov_report,0,H1,v_ridge,4,0.9999775535301153,0.006850335999688083,0.0055724766823547316,1.0
0.0625,gov_report,0,H2,aor,4,0.9999808645785107,0.0065652182213704925,0.004423115050748202,1.0
0.0625,gov_report,0,H2,aov,4,0.999979947521443,0.006617353779296224,0.004448747937305682,1.0
0.0625,gov_report,0,H2,attention_only,4,0.9999827173074498,0.006195859671910652,0.0040468461639381345,1.0
0.0625,gov_report,0,H2,fresh_core,4,0.9999875815561092,0.0049823022535074625,0.0019102473856994094,1.0
0.0625,gov_report,0,H2,old_stale_core,4,0.9999824809036296,0.006082232111344887,0.006163978008563081,1.0
0.0625,gov_report,0,H2,random_reference,4,0.9999858131585914,0.005570998534734049,0.004900369885535021,1.0
0.0625,gov_report,0,H2,snapkv,4,0.9999799078357101,0.006679969442947648,0.005750808394394713,1.0
0.0625,gov_report,0,H2,v_ridge,4,0.9999775535301153,0.006850335999688083,0.0055724766823547316,1.0
0.0625,gov_report,0,H3,aor,4,0.9999737208998976,0.00743073862739266,0.004506042242629941,1.0
0.0625,gov_report,0,H3,aov,4,0.9999718431804225,0.007674694755853617,0.004559720942289884,1.0
0.0625,gov_report,0,H3,attention_only,4,0.9999705009444999,0.007839566000264059,0.004413715636363373,1.0
0.0625,gov_report,0,H3,fresh_core,4,0.9999850789434586,0.005435188969298679,0.002053056390124426,1.0
0.0625,gov_report,0,H3,old_stale_core,4,0.9999792477110243,0.00658928196237282,0.006490459605741525,1.0
0.0625,gov_report,0,H3,random_reference,4,0.9999805960505947,0.006451658944644717,0.00510857287294774,1.0
0.0625,gov_report,0,H3,snapkv,4,0.999971932523446,0.007694253512745003,0.005934150860715831,1.0
0.0625,gov_report,0,H3,v_ridge,4,0.9999734728599469,0.007412857046613337,0.005949971797439482,1.0
0.0625,gov_report,14,H1,aor,4,0.9999886819510293,0.005437253641997196,0.0053089455500593625,1.0
0.0625,gov_report,14,H1,aov,4,0.999988826661341,0.005481981824940572,0.0047356434639706495,1.0
0.0625,gov_report,14,H1,attention_only,4,0.999988430655494,0.005570000958115219,0.004991130011633505,1.0
0.0625,gov_report,14,H1,fresh_core,4,0.9993147751583165,0.04464815494548426,0.3663788399668333,1.0
0.0625,gov_report,14,H1,old_stale_core,4,0.9992444962858769,0.042517091066001864,0.34160976697613393,1.0
0.0625,gov_report,14,H1,random_reference,4,0.9993023359068184,0.04071481521191901,0.3444572823450485,1.0
0.0625,gov_report,14,H1,snapkv,4,0.9999748039070531,0.008905260872612075,0.010411231986435641,1.0
0.0625,gov_report,14,H1,v_ridge,4,0.9991907488162344,0.04649078383757519,0.37289432747077095,1.0
0.0625,gov_report,14,H2,aor,4,0.9999904460111069,0.005113018405231913,0.005283576212684037,1.0
0.0625,gov_report,14,H2,aov,4,0.9999911325730181,0.005044779060209216,0.004553569417572415,1.0
0.0625,gov_report,14,H2,attention_only,4,0.9999909831782927,0.0053324292344397355,0.005145325782411768,1.0
0.0625,gov_report,14,H2,fresh_core,4,0.999185349613072,0.04956345458246158,0.36991622131377083,1.0
0.0625,gov_report,14,H2,old_stale_core,4,0.9992974415432319,0.04223712979795216,0.3160087652699876,1.0
0.0625,gov_report,14,H2,random_reference,4,0.9993722285711826,0.04008268772976742,0.3118258334659113,1.0
0.0625,gov_report,14,H2,snapkv,4,0.9999780236188138,0.008924790130062341,0.010591966183195044,1.0
0.0625,gov_report,14,H2,v_ridge,4,0.9989357858079342,0.053696192691226434,0.37960156474450507,1.0
0.0625,gov_report,14,H3,aor,4,0.9999875670879165,0.0055351769683692365,0.006339188442080211,1.0
0.0625,gov_report,14,H3,aov,4,0.9999874474812884,0.005571642067574095,0.005448994389187244,1.0
0.0625,gov_report,14,H3,attention_only,4,0.9999859654128309,0.0058043424464891075,0.005880743761586422,1.0
0.0625,gov_report,14,H3,fresh_core,4,0.9993116047848933,0.04807223423147709,0.5206576553469997,1.0
0.0625,gov_report,14,H3,old_stale_core,4,0.9990956534559199,0.04872868435544535,0.44382239093541836,1.0
0.0625,gov_report,14,H3,random_reference,4,0.9992061349648137,0.044828295846366405,0.5383980442114354,1.0
0.0625,gov_report,14,H3,snapkv,4,0.9999657210029566,0.010358222360123043,0.01188434947839534,1.0
0.0625,gov_report,14,H3,v_ridge,4,0.9992243138534813,0.04799729802834363,0.4692471317405605,1.0
0.0625,gov_report,26,H1,aor,4,0.9999986747222182,0.0017005117134822867,0.002300008306423962,1.0
0.0625,gov_report,26,H1,aov,4,0.9999988568354561,0.00158955336592931,0.0023740023540642493,1.0
0.0625,gov_report,26,H1,attention_only,4,0.9999984501169157,0.0017506642664560771,0.0040458911675142605,1.0
0.0625,gov_report,26,H1,fresh_core,4,0.9999922657549556,0.004077487017966629,0.019563087411564543,1.0
0.0625,gov_report,26,H1,old_stale_core,4,0.999993485122189,0.0035320691153136875,0.014565553693106381,1.0
0.0625,gov_report,26,H1,random_reference,4,0.9999913036657033,0.004266626969935248,0.02073621587403075,1.0
0.0625,gov_report,26,H1,snapkv,4,0.9999977758436325,0.002114167261807928,0.005688227113665312,1.0
0.0625,gov_report,26,H1,v_ridge,4,0.9999909062109689,0.0044979288177977,0.021933019053198645,1.0
0.0625,gov_report,26,H2,aor,4,0.9999988027502489,0.0016153350397326727,0.0021942732289118626,1.0
0.0625,gov_report,26,H2,aov,4,0.9999988835244641,0.0015003755925112124,0.0022617613123978855,1.0
0.0625,gov_report,26,H2,attention_only,4,0.9999985360553816,0.00169659683036401,0.0039526252524666565,1.0
0.0625,gov_report,26,H2,fresh_core,4,0.9999923771032659,0.004015935465647521,0.019175247841438613,1.0
0.0625,gov_report,26,H2,old_stale_core,4,0.9999935339048085,0.003542025657863931,0.014349544636758966,1.0
0.0625,gov_report,26,H2,random_reference,4,0.999991783953904,0.004180135939570941,0.019927132606541224,1.0
0.0625,gov_report,26,H2,snapkv,4,0.9999978159231621,0.0020932121035336904,0.0056401609890802794,1.0
0.0625,gov_report,26,H2,v_ridge,4,0.9999911655440713,0.004421632064514683,0.02136579266801822,1.0
0.0625,gov_report,26,H3,aor,4,0.9999988162448332,0.0015425941554213006,0.002393622896582295,1.0
0.0625,gov_report,26,H3,aov,4,0.9999990051955794,0.0014146349594232046,0.0022530039744057266,1.0
0.0625,gov_report,26,H3,attention_only,4,0.9999981058538022,0.0020062946905681275,0.0042192037118475665,1.0
0.0625,gov_report,26,H3,fresh_core,4,0.99999194232171,0.00420099881469032,0.020904398760351647,1.0
0.0625,gov_report,26,H3,old_stale_core,4,0.9999933747587337,0.0037773230009523883,0.01556590797006938,1.0
0.0625,gov_report,26,H3,random_reference,4,0.9999907429559147,0.004507992343987877,0.02243247226088241,1.0
0.0625,gov_report,26,H3,snapkv,4,0.9999973268428382,0.0023034055592279865,0.006673038612780038,1.0
0.0625,gov_report,26,H3,v_ridge,4,0.9999900612779554,0.004664585893006933,0.02387886406124099,1.0
0.0625,niah_single_1,0,H1,aor,4,0.9999863394729374,0.005538826593007609,0.0030544215118950375,1.0
0.0625,niah_single_1,0,H1,aov,4,0.999985894045171,0.005725626951283633,0.0031576749233413583,1.0
0.0625,niah_single_1,0,H1,attention_only,4,0.999986539399273,0.005492418772432107,0.002995610667909412,1.0
0.0625,niah_single_1,0,H1,fresh_core,4,0.9999841801006162,0.006175161736289608,0.002586251984366087,1.0
