stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
overall,{},midpoint,1,144,0.9999982092481576,0.0021911888184247396,0.0017805938473713545,0.9722222222222222,36,0.9999970273343504,0.0030999188606778585,True,8.019732342170407,,,,
overall,{},midpoint_k2,2,144,0.999999736796851,0.000736430528238786,0.0008728906520433961,1.0,36,0.999999835721719,0.0007296477282827764,True,8.019732342170407,,,,
overall,{},midpoint_k4,4,144,0.9999999473520776,0.0003344229628610418,0.00027662247586367526,1.0,36,0.9999999923274607,0.00015841642415104494,True,8.019732342170407,,,,
overall,{},midpoint_k8,8,144,0.9999999844668903,0.00018260406152160463,0.00020554786800960868,1.0,36,0.999999999458175,3.915131915861241e-05,True,8.019732342170407,,,,
overall,{},single_jvp,1,144,0.99702700141589,0.08053138777865887,0.07312306308559532,0.8194444444444444,36,0.9900042932123483,0.14142387322258002,True,8.019732342170407,,,,
overall,{},trapezoidal,2,144,0.9999944994866021,0.0034194654158156246,0.0034242900297643854,0.9375,36,0.9999886651479424,0.006194429690943899,True,8.019732342170407,,,,
task,"{""task"": ""gov_report""}",midpoint,1,72,0.999998305141675,0.002220435689682195,0.002306965586670476,0.9861111111111112,21,0.9999969451097149,0.0033552004334111117,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k2,2,72,0.999999742373868,0.0007259771776966661,0.0009172460939631602,1.0,21,0.9999998345095537,0.0008255052762081639,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k4,4,72,0.9999999289660734,0.0003641694687201191,0.00026918414490100396,1.0,21,0.9999999902745349,0.00019735717238743882,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k8,8,72,0.9999999858622679,0.00017157889847425743,0.0002126131899195169,1.0,21,0.9999999993262104,4.454666885234455e-05,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",single_jvp,1,72,0.996312267209001,0.09929665350348812,0.09389599824404796,0.7361111111111112,21,0.9825341731803832,0.18775988174030145,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",trapezoidal,2,72,0.9999933553872766,0.003818921635724671,0.004768961577025422,0.9166666666666666,21,0.9999884879900617,0.006704094143284329,True,8.019732342170407,gov_report,,,
task,"{""task"": ""niah_single_1""}",midpoint,1,72,0.999997946182966,0.002172502890501811,0.0014785227382265347,0.9583333333333334,15,0.999998207786033,0.002196043058592375,True,8.019732342170407,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k2,2,72,0.9999997188880047,0.000839182778141583,0.0007982251466123501,1.0,15,0.9999999003743731,0.0005097865281349711,True,8.019732342170407,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k4,4,72,0.9999999473520776,0.0003344229628610418,0.00032770421770614744,1.0,15,0.999999995898678,0.00010002287598101246,True,8.019732342170407,niah_single_1,,,
