stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
overall,{},midpoint,1,144,0.9999988595965201,0.001594232270553966,0.0015704020377199446,0.9722222222222222,36,0.9999970165280165,0.0031324825830556513,True,8.019732342170407,,,,
overall,{},midpoint_k2,2,144,0.9999999071997347,0.0004458627564123755,0.0004477803970561092,1.0,36,0.9999998325140793,0.0007627580255284009,True,8.019732342170407,,,,
overall,{},midpoint_k4,4,144,0.9999999827462775,0.0002008244249390864,0.0001861884298015384,1.0,36,0.9999999896735821,0.00018984748143837304,True,8.019732342170407,,,,
overall,{},midpoint_k8,8,144,0.999999993131095,0.00011911200620229758,0.00011210927098491259,1.0,36,0.9999999993484971,4.7701906626836265e-05,True,8.019732342170407,,,,
overall,{},single_jvp,1,144,0.997028785214424,0.08030298662886384,0.07313221202978334,0.8194444444444444,36,0.9900074013003236,0.14141646352755793,True,8.019732342170407,,,,
overall,{},trapezoidal,2,144,0.9999955352903892,0.003152872495146777,0.0030728632216748476,0.9375,36,0.9999886892011598,0.006165753834621308,True,8.019732342170407,,,,
task,"{""task"": ""gov_report""}",midpoint,1,72,0.9999983295964432,0.0019125150305046652,0.0021546855601101565,0.9861111111111112,21,0.999996934109297,0.0033651177401362144,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k2,2,72,0.999999901443898,0.0004710607868586749,0.0005286331631260985,1.0,21,0.9999998308528775,0.0008349639529729525,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k4,4,72,0.9999999886885611,0.00016788331240355267,0.00018838049918191822,1.0,21,0.9999999896028607,0.00020848647435330338,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k8,8,72,0.9999999934324095,0.00011504757007883323,7.432554955207106e-05,1.0,21,0.9999999993425777,5.202306075207576e-05,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",single_jvp,1,72,0.9963128536290281,0.09930879904043846,0.09391322856558096,0.7361111111111112,21,0.9825361919863529,0.18774965725849063,True,8.019732342170407,gov_report,,,
task,"{""task"": ""gov_report""}",trapezoidal,2,72,0.999993274828684,0.003923691777906822,0.004327990613152947,0.9166666666666666,21,0.9999885039266534,0.006692633970060376,True,8.019732342170407,gov_report,,,
task,"{""task"": ""niah_single_1""}",midpoint,1,72,0.9999993911237302,0.0013123507611578536,0.000986826397153141,0.9583333333333334,15,0.999998111832313,0.002245019007985216,True,8.019732342170407,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k2,2,72,0.9999999205145089,0.00043858471360748924,0.00030200028039586036,1.0,15,0.9999998879734238,0.0005476346934180646,True,8.019732342170407,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k4,4,72,0.999999975998838,0.00023289707757016847,0.00017822521678772033,1.0,15,0.9999999929297986,0.0001366917588602939,True,8.019732342170407,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k8,8,72,0.9999999918374638,0.000182224036295109,0.0001372761919184575,1.0,15,0.9999999994953543,3.5400458023183386e-05,True,8.019732342170407,niah_single_1,,,
