stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
overall,{},midpoint,1,576,0.9999982450873147,0.0020899482736985026,0.001986891575571537,0.9704861111111112,144,0.999991309632726,0.004725410694930354,True,7.378731357404481,,,,
overall,{},midpoint_k2,2,576,0.9999996574358032,0.0008752766729883645,0.0008335790952659634,0.984375,144,0.999999529010605,0.0010896119240081537,True,7.378731357404481,,,,
overall,{},midpoint_k4,4,576,0.9999999132912247,0.0004316939021415042,0.0004379449282110228,0.9930555555555556,144,0.9999999801019416,0.00021085932682408763,True,7.378731357404481,,,,
overall,{},midpoint_k8,8,576,0.9999999691074735,0.00027484902688063354,0.00025693491610698997,1.0,144,0.9999999993242736,4.083166287812043e-05,True,7.378731357404481,,,,
overall,{},single_jvp,1,576,0.9981068280917853,0.06475509095780506,0.07155934917214485,0.8420138888888888,144,0.9915922371305244,0.1295614753159488,True,7.378731357404481,,,,
overall,{},trapezoidal,2,576,0.9999962262603763,0.003178857793809112,0.0030630126217472504,0.9479166666666666,144,0.9999678832954589,0.009421340984110177,True,7.378731357404481,,,,
task,"{""task"": ""gov_report""}",midpoint,1,288,0.9999979719185347,0.002579673188576765,0.0027999750272659357,0.9548611111111112,102,0.9999967662494796,0.0030636745925731986,True,7.378731357404481,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k2,2,288,0.9999995220103285,0.0010056388363553865,0.0011243003958335378,0.96875,102,0.9999998134667996,0.0007436250911217399,True,7.378731357404481,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k4,4,288,0.9999998973667656,0.0004781424152690456,0.0005721257903583197,0.9861111111111112,102,0.9999999901345136,0.00017029828683726768,True,7.378731357404481,gov_report,,,
task,"{""task"": ""gov_report""}",midpoint_k8,8,288,0.9999999598700868,0.0002987579437263443,0.00022401741568089587,1.0,102,0.9999999994904183,3.461537774600359e-05,True,7.378731357404481,gov_report,,,
task,"{""task"": ""gov_report""}",single_jvp,1,288,0.9971669332047369,0.07913729245328516,0.09112366249104234,0.7777777777777778,102,0.9920549413508437,0.12704985125163198,True,7.378731357404481,gov_report,,,
task,"{""task"": ""gov_report""}",trapezoidal,2,288,0.9999943469774046,0.004190646929645242,0.004728192948944007,0.9305555555555556,102,0.9999870568104144,0.006130999612081732,True,7.378731357404481,gov_report,,,
task,"{""task"": ""niah_single_1""}",midpoint,1,288,0.9999991986553172,0.0013382602716154053,0.0011175426349655337,0.9861111111111112,42,0.9999644335866945,0.009782866337880902,True,7.378731357404481,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k2,2,288,0.9999997556154192,0.000707776760519263,0.0006129229562615332,1.0,42,0.9999983967155053,0.002079641352339481,True,7.378731357404481,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k4,4,288,0.9999999452681125,0.00033370554617283775,0.0003188750608301631,1.0,42,0.9999999378187086,0.0004076960547892136,True,7.378731357404481,niah_single_1,,,
task,"{""task"": ""niah_single_1""}",midpoint_k8,8,288,0.9999999711155174,0.0002464620118325907,0.0002851632870273134,1.0,42,0.9999999990387143,4.9846051587924806e-05,True,7.378731357404481,niah_single_1,,,
