sample_id,task,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio
gov_report:88,gov_report,midpoint,1.0,1.0,1.0,1.0,0.0,0.7675045700492596
gov_report:88,gov_report,midpoint_k2,1.0,1.0,1.0,1.0,0.0,0.7503702240384422
gov_report:88,gov_report,midpoint_k4,1.0,1.0,1.0,1.0,0.0,0.7461827791547471
gov_report:88,gov_report,midpoint_k8,1.0,1.0,1.0,1.0,0.0,0.7451495989491871
gov_report:88,gov_report,reference_action_fisher,0.8571428571428572,0.875,0.0,0.5,0.0010606575151219755,0.15347666962732565
gov_report:88,gov_report,single_jvp,1.0,1.0,1.0,1.0,0.0,0.7395528344556257
gov_report:88,gov_report,trapezoidal,1.0,1.0,1.0,1.0,0.0,0.701881429808208
gov_report:89,gov_report,midpoint,1.0,1.0,1.0,1.0,0.0,0.4393762402016027
gov_report:89,gov_report,midpoint_k2,1.0,1.0,1.0,1.0,0.0,0.46264096678830735
gov_report:89,gov_report,midpoint_k4,1.0,1.0,1.0,1.0,0.0,0.47883019802054855
gov_report:89,gov_report,midpoint_k8,1.0,1.0,1.0,1.0,0.0,0.5232800210441185
gov_report:89,gov_report,reference_action_fisher,0.9047619047619048,0.8928571428571429,0.5,1.0,9.629356435733928e-05,0.051735969352310535
gov_report:89,gov_report,single_jvp,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.359543938032472
gov_report:89,gov_report,trapezoidal,1.0,1.0,1.0,1.0,0.0,0.43323638983628615
synthetic_niah_88,niah_single_1,midpoint,1.0,1.0,1.0,1.0,0.0,0.7131294874758627
synthetic_niah_88,niah_single_1,midpoint_k2,1.0,1.0,1.0,1.0,0.0,0.6912098639679676
synthetic_niah_88,niah_single_1,midpoint_k4,1.0,1.0,1.0,1.0,0.0,0.6861636824001228
synthetic_niah_88,niah_single_1,midpoint_k8,1.0,1.0,1.0,1.0,0.0,0.6849942764470017
synthetic_niah_88,niah_single_1,reference_action_fisher,0.8571428571428572,0.8928571428571429,1.0,1.0,0.0,0.08041797392655839
synthetic_niah_88,niah_single_1,single_jvp,1.0,1.0,1.0,1.0,0.0,0.599895659785562
synthetic_niah_88,niah_single_1,trapezoidal,1.0,1.0,1.0,1.0,0.0,0.6407897477561442
synthetic_niah_89,niah_single_1,midpoint,1.0,1.0,1.0,1.0,0.0,0.14565703505144445
synthetic_niah_89,niah_single_1,midpoint_k2,1.0,1.0,1.0,1.0,0.0,0.14554231830849979
synthetic_niah_89,niah_single_1,midpoint_k4,1.0,1.0,1.0,1.0,0.0,0.14550197787159702
synthetic_niah_89,niah_single_1,midpoint_k8,1.0,1.0,1.0,1.0,0.0,0.14550067081895432
synthetic_niah_89,niah_single_1,reference_action_fisher,0.630952380952381,0.7321428571428572,0.0,0.5,0.08867581006975889,0.0351914406149299
synthetic_niah_89,niah_single_1,single_jvp,1.0,1.0,1.0,1.0,0.0,0.1387813988366315
synthetic_niah_89,niah_single_1,trapezoidal,1.0,1.0,1.0,1.0,0.0,0.14518354037710382
