stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
overall,{},midpoint_k2,2,576,0.9999996328938152,0.000911969674908047,0.0007850296862513152,0.9791666666666666,144,0.9999986634457771,0.0021106998225594266,True,8.188094696639254,,,,
task,"{""task"": ""gov_report""}",midpoint_k2,2,288,0.9999995540286672,0.0010320196161357183,0.0008652174573969186,0.9791666666666666,90,0.9999977398493478,0.002597947572615304,True,8.188094696639254,gov_report,,,
task,"{""task"": ""niah_single_1""}",midpoint_k2,2,288,0.9999999325208693,0.00037793670614503735,0.0007340443487130432,0.9791666666666666,54,0.9999999691946814,0.0003217318384413925,True,8.188094696639254,niah_single_1,,,
sequence,"{""sample_id"": ""gov_report:90"", ""task"": ""gov_report""}",midpoint_k2,2,144,0.9999996735146732,0.0008617392133146785,0.0006838379316302375,0.9583333333333334,45,0.999995309543835,0.003331130523175195,True,8.188094696639254,gov_report,gov_report:90,,
sequence,"{""sample_id"": ""gov_report:91"", ""task"": ""gov_report""}",midpoint_k2,2,144,0.9999981903437937,0.0022332359202201103,0.00226583527435776,1.0,45,0.9999984210655671,0.002314884896536147,True,8.188094696639254,gov_report,gov_report:91,,
sequence,"{""sample_id"": ""synthetic_niah_90"", ""task"": ""niah_single_1""}",midpoint_k2,2,144,0.9999999458809621,0.00036906720297138573,0.0008447387075432558,1.0,30,0.9999999730534538,0.0003122011415706843,True,8.188094696639254,niah_single_1,synthetic_niah_90,,
sequence,"{""sample_id"": ""synthetic_niah_91"", ""task"": ""niah_single_1""}",midpoint_k2,2,144,0.9999998953078961,0.000489091253059646,0.0005849290900166303,0.9583333333333334,24,0.9999999580895486,0.0003350164945666617,True,8.188094696639254,niah_single_1,synthetic_niah_91,,
layer,"{""layer"": 0}",midpoint_k2,2,192,0.9999988761239098,0.0015130126825742903,0.0019187720316895724,1.0,0,,,True,8.188094696639254,,,0.0,
layer,"{""layer"": 14}",midpoint_k2,2,192,0.999999880960293,0.000566388087201885,0.0006496886349126449,0.9375,51,0.9982937331254196,0.060823668638888106,True,8.188094696639254,,,14.0,
layer,"{""layer"": 26}",midpoint_k2,2,192,0.9999999948342166,0.00012089480692183423,0.00022089423427315634,1.0,93,0.9999999690674828,0.00031575584114790586,True,8.188094696639254,,,26.0,
history,"{""history_id"": ""H1""}",midpoint_k2,2,192,0.9999996342717166,0.0009134214691483707,0.0008333688854115925,0.9739583333333334,48,0.9999993577907054,0.0016942302565929848,True,8.188094696639254,,,,H1
history,"{""history_id"": ""H2""}",midpoint_k2,2,192,0.9999996235552864,0.0009134214691483707,0.0007684346691600593,0.9739583333333334,48,0.9999984919535303,0.0021106998225594266,True,8.188094696639254,,,,H2
history,"{""history_id"": ""H3""}",midpoint_k2,2,192,0.999999638918618,0.0008915718073585403,0.000870344409693849,0.9895833333333334,48,0.9999985579857158,0.0022245744279830414,True,8.188094696639254,,,,H3
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999992560362646,0.0012430702520337903,0.0014344037831136923,1.0,0,,,True,8.188094696639254,gov_report,,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999991710145919,0.0015613435108084391,0.0016349376008778713,0.9375,33,0.9980133199805329,0.06396286578783955,True,8.188094696639254,gov_report,,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999999858768212,0.00019523557655954358,0.00031856482136460103,1.0,57,0.9999995699748292,0.001169025903600557,True,8.188094696639254,gov_report,,26.0,
