stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
overall,{},midpoint_k2,2,144,0.9999996019450839,0.0009318897453463623,0.0009458257389427186,1.0,36,0.999997535227644,0.002215596197035312,True,6.407632162589364,,,,
task,"{""task"": ""gov_report""}",midpoint_k2,2,72,0.9999996285381807,0.0009341766777650539,0.0009458257389427186,1.0,24,0.9999808458166135,0.008485251878280161,True,6.407632162589364,gov_report,,,
task,"{""task"": ""niah_single_1""}",midpoint_k2,2,72,0.9999995767397096,0.0009318897453463623,0.0009417612646478798,1.0,12,0.9999977812371206,0.0018601421114952128,True,6.407632162589364,niah_single_1,,,
sequence,"{""sample_id"": ""gov_report:92"", ""task"": ""gov_report""}",midpoint_k2,2,36,0.9999998727765192,0.0005270635373666558,0.00047198849554037263,1.0,9,0.9999605851399622,0.016187604927212235,True,6.407632162589364,gov_report,gov_report:92,,
sequence,"{""sample_id"": ""gov_report:93"", ""task"": ""gov_report""}",midpoint_k2,2,36,0.999998039245084,0.0019639861788732014,0.0015088278683886157,1.0,15,0.9999996162135483,0.0010537849298919183,True,6.407632162589364,gov_report,gov_report:93,,
sequence,"{""sample_id"": ""synthetic_niah_92"", ""task"": ""niah_single_1""}",midpoint_k2,2,36,0.9999995767397096,0.0009318897453463623,0.0009229333735887568,1.0,9,0.99999394568461,0.003671813495078728,True,6.407632162589364,niah_single_1,synthetic_niah_92,,
sequence,"{""sample_id"": ""synthetic_niah_93"", ""task"": ""niah_single_1""}",midpoint_k2,2,36,0.9999992320549894,0.0012123129518809017,0.0012712546254111412,1.0,3,0.9999999297415777,0.0004110764059075436,True,6.407632162589364,niah_single_1,synthetic_niah_93,,
layer,"{""layer"": 0}",midpoint_k2,2,48,0.9999969002193461,0.002531188176405474,0.002382751413322605,1.0,0,,,True,6.407632162589364,,,0.0,
layer,"{""layer"": 14}",midpoint_k2,2,48,0.9999976340800802,0.002304603788258074,0.0017701220160726712,1.0,18,0.9998559335416258,0.018256349972818407,True,6.407632162589364,,,14.0,
layer,"{""layer"": 26}",midpoint_k2,2,48,0.9999999952095527,0.00012770427828486187,0.0002369606159965079,1.0,18,0.9999999448537956,0.00040266539514339725,True,6.407632162589364,,,26.0,
history,"{""history_id"": ""H1""}",midpoint_k2,2,48,0.9999996273413889,0.0009318897453463623,0.0008586934304092268,1.0,12,0.9999968340457364,0.002359474808800272,True,6.407632162589364,,,,H1
history,"{""history_id"": ""H2""}",midpoint_k2,2,48,0.9999996383777572,0.0009092007151325981,0.0008775213214683498,1.0,12,0.9999976466983207,0.0021033379374030456,True,6.407632162589364,,,,H2
history,"{""history_id"": ""H3""}",midpoint_k2,2,48,0.9999994759279829,0.0011106477588958468,0.0012332071522144449,1.0,12,0.9999636690587014,0.008522920357609013,True,6.407632162589364,,,,H3
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",midpoint_k2,2,24,0.9999984929872436,0.001991639375966624,0.0019456148513914027,1.0,0,,,True,6.407632162589364,gov_report,,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",midpoint_k2,2,24,0.99997957229806,0.00916727044534198,0.010544228145379145,1.0,12,0.9997248477268632,0.02332639273676746,True,6.407632162589364,gov_report,,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",midpoint_k2,2,24,0.9999999945420709,0.0001462100317488495,0.00025709964623209344,1.0,12,0.9999999373387745,0.00040520133334073116,True,6.407632162589364,gov_report,,26.0,
task_layer,"{""layer"": ""0"", ""task"": ""niah_single_1""}",midpoint_k2,2,24,0.99999689235782,0.002531188176405474,0.002391841753226991,1.0,0,,,True,6.407632162589364,niah_single_1,,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""niah_single_1""}",midpoint_k2,2,24,0.9999991455126649,0.0012877270381045772,0.0009578701723844618,1.0,6,0.9999934713162282,0.0039866369841966755,True,6.407632162589364,niah_single_1,,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""niah_single_1""}",midpoint_k2,2,24,0.999999995818666,0.00010619941568244901,0.00019100087708698337,1.0,6,0.9999999466491498,0.00040266539514339725,True,6.407632162589364,niah_single_1,,26.0,
task_history,"{""history_id"": ""H1"", ""task"": ""gov_report""}",midpoint_k2,2,24,0.9999996914744145,0.0009262412569956375,0.0009458257389427186,1.0,8,0.9999801537734125,0.008617370524867026,True,6.407632162589364,gov_report,,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""gov_report""}",midpoint_k2,2,24,0.9999996383777572,0.0009262412569956375,0.000819959857821757,1.0,8,0.9999809572872901,0.008372993618647896,True,6.407632162589364,gov_report,,,H2
task_history,"{""history_id"": ""H3"", ""task"": ""gov_report""}",midpoint_k2,2,24,0.9999995015107754,0.0010949203475546002,0.0010748714884276202,1.0,8,0.9999212800311328,0.010876127696271293,True,6.407632162589364,gov_report,,,H3
task_history,"{""history_id"": ""H1"", ""task"": ""niah_single_1""}",midpoint_k2,2,24,0.9999995767397096,0.0009318897453463623,0.0008032743602226975,1.0,4,0.9999969481494629,0.0020330339397289896,True,6.407632162589364,niah_single_1,,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""niah_single_1""}",midpoint_k2,2,24,0.999999635092077,0.0008709530333732443,0.0009417612646478798,1.0,4,0.9999978034623354,0.001781983675410858,True,6.407632162589364,niah_single_1,,,H2
task_history,"{""history_id"": ""H3"", ""task"": ""niah_single_1""}",midpoint_k2,2,24,0.9999990674073844,0.0013194337785433997,0.0020399607868554406,1.0,4,0.9999639150681778,0.008167466272068914,True,6.407632162589364,niah_single_1,,,H3
