stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
overall,{},midpoint_k2,2,576,0.9999997237954383,0.0009035007885052956,0.0010370322142845326,0.9895833333333334,144,0.9999997975850587,0.0008186494129478296,True,7.739157868179751,,,,
task,"{""task"": ""gov_report""}",midpoint_k2,2,288,0.9999989739740732,0.0014517934033700009,0.0018482113937563914,1.0,114,0.9999997057104576,0.0010900271634424717,True,7.739157868179751,gov_report,,,
task,"{""task"": ""niah_single_1""}",midpoint_k2,2,288,0.9999998545613693,0.0005895942570394065,0.000563484194749697,0.9791666666666666,30,0.9999998077837912,0.0007458699089310392,True,7.739157868179751,niah_single_1,,,
sequence,"{""sample_id"": ""gov_report:94"", ""task"": ""gov_report""}",midpoint_k2,2,144,0.9999989889418839,0.0014389385223270075,0.001814831281786388,1.0,54,0.9999996134386554,0.0011202407520707843,True,7.739157868179751,gov_report,gov_report:94,,
sequence,"{""sample_id"": ""gov_report:95"", ""task"": ""gov_report""}",midpoint_k2,2,144,0.9999988433171982,0.0015259688914341617,0.0021958671514953603,1.0,60,0.999999824461226,0.000929892412530943,True,7.739157868179751,gov_report,gov_report:95,,
sequence,"{""sample_id"": ""synthetic_niah_94"", ""task"": ""niah_single_1""}",midpoint_k2,2,144,0.9999996565270912,0.0008946841112177889,0.0008946972268024846,0.9583333333333334,21,0.9999998806354842,0.0005518490670341894,True,7.739157868179751,niah_single_1,synthetic_niah_94,,
sequence,"{""sample_id"": ""synthetic_niah_95"", ""task"": ""niah_single_1""}",midpoint_k2,2,144,0.9999999431496932,0.0003441148081271681,0.00043106455063992715,1.0,9,0.9999997043764121,0.0008149862912137577,True,7.739157868179751,niah_single_1,synthetic_niah_95,,
layer,"{""layer"": 0}",midpoint_k2,2,192,0.9999986105886915,0.0017157118086647163,0.002926725984688283,0.96875,0,,,True,7.739157868179751,,,0.0,
layer,"{""layer"": 14}",midpoint_k2,2,192,0.9999998479657799,0.0006004340256468279,0.000682596005301224,1.0,36,0.9996613565321664,0.026191346938478598,True,7.739157868179751,,,14.0,
layer,"{""layer"": 26}",midpoint_k2,2,192,0.9999999828735233,0.0002923914974176798,0.0002923482696277803,1.0,108,0.9999998980508904,0.0006251362015144797,True,7.739157868179751,,,26.0,
history,"{""history_id"": ""H1""}",midpoint_k2,2,192,0.9999997797036335,0.0008784469962335966,0.0010999456505731212,0.984375,48,0.9999998792961646,0.0007685023966313698,True,7.739157868179751,,,,H1
history,"{""history_id"": ""H2""}",midpoint_k2,2,192,0.9999997903290259,0.0008681952839490441,0.0009075454478737514,0.984375,48,0.9999998585028658,0.0007729108749475356,True,7.739157868179751,,,,H2
history,"{""history_id"": ""H3""}",midpoint_k2,2,192,0.9999996177269235,0.0010940253979377795,0.0013347642551659717,1.0,48,0.9999996055097236,0.0012886407171585992,True,7.739157868179751,,,,H3
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999984286320298,0.0018051600224617604,0.0032042295255711424,1.0,0,,,True,7.739157868179751,gov_report,,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999976818929901,0.0021667317154270734,0.0018427949116175618,1.0,33,0.9996571776937353,0.026201550281275854,True,7.739157868179751,gov_report,,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999999395468613,0.0004164111081096405,0.0005651902641311802,1.0,81,0.9999999236467668,0.0006194125207946217,True,7.739157868179751,gov_report,,26.0,
task_layer,"{""layer"": ""0"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999987963460992,0.0016681037986489152,0.0024116646499781425,0.9375,0,,,True,7.739157868179751,niah_single_1,,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999999258584565,0.0003978046963959017,0.00045488906905176977,1.0,3,0.9999811122544074,0.01656384244824841,True,7.739157868179751,niah_single_1,,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999999979858487,6.469543585606243e-05,0.00018043917013010424,1.0,27,0.9999998549655772,0.0006308598822343377,True,7.739157868179751,niah_single_1,,26.0,
task_history,"{""history_id"": ""H1"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999992881566053,0.0013162752095660386,0.0019103358679788587,1.0,38,0.9999998792961646,0.0008558792578679909,True,7.739157868179751,gov_report,,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999991724299369,0.0014314695651613594,0.0015976330334525578,1.0,38,0.9999998637814148,0.0007840913843080012,True,7.739157868179751,gov_report,,,H2
task_history,"{""history_id"": ""H3"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999987146996534,0.0016097848147058813,0.002479915280793373,1.0,38,0.9999986867817862,0.0017763521916814076,True,7.739157868179751,gov_report,,,H3
task_history,"{""history_id"": ""H1"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999998950016612,0.0004862148501589195,0.0005310581500696457,0.96875,10,0.9999998580694891,0.0006257450909101427,True,7.739157868179751,niah_single_1,,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999998540314612,0.0006101157611507471,0.0005414417270114326,0.96875,10,0.9999998267730741,0.0007002063757311678,True,7.739157868179751,niah_single_1,,,H2
task_history,"{""history_id"": ""H3"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999998411059313,0.0006273532039446335,0.0006089670403764665,1.0,10,0.9999997490768435,0.0007713283339695687,True,7.739157868179751,niah_single_1,,,H3
