stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
overall,{},midpoint_k2,2,576,0.9999992305136426,0.0012953176897504853,0.0012782563780770187,0.9947916666666666,144,0.9999998718541462,0.0007061523290349407,True,8.374703673242422,,,,
task,"{""task"": ""gov_report""}",midpoint_k2,2,288,0.9999990894395661,0.0014342818757767722,0.0014003038285400529,1.0,108,0.999999850833022,0.0007950171354523428,True,8.374703673242422,gov_report,,,
task,"{""task"": ""niah_single_1""}",midpoint_k2,2,288,0.9999996375083969,0.000917146657044138,0.0008594002767621176,0.9895833333333334,36,0.9999999531487336,0.000395385110926513,True,8.374703673242422,niah_single_1,,,
sequence,"{""sample_id"": ""gov_report:96"", ""task"": ""gov_report""}",midpoint_k2,2,144,0.9999991525859276,0.0013480399571184456,0.001259448240938054,1.0,54,0.999999965421831,0.0003724534547015038,True,8.374703673242422,gov_report,gov_report:96,,
sequence,"{""sample_id"": ""gov_report:97"", ""task"": ""gov_report""}",midpoint_k2,2,144,0.9999987675054023,0.0016562793778867242,0.0015745647705095768,1.0,54,0.9999997262633151,0.0010461786802422957,True,8.374703673242422,gov_report,gov_report:97,,
sequence,"{""sample_id"": ""synthetic_niah_96"", ""task"": ""niah_single_1""}",midpoint_k2,2,144,0.9999999007747886,0.0004490935534778996,0.0006551274854517218,0.9791666666666666,15,0.999999981939889,0.00023398049773126257,True,8.374703673242422,niah_single_1,synthetic_niah_96,,
sequence,"{""sample_id"": ""synthetic_niah_97"", ""task"": ""niah_single_1""}",midpoint_k2,2,144,0.9999994144680889,0.001214138131690196,0.0009921225645455121,1.0,21,0.9999999423177326,0.0004460260201818186,True,8.374703673242422,niah_single_1,synthetic_niah_97,,
layer,"{""layer"": 0}",midpoint_k2,2,192,0.999998134100659,0.0019381117100855426,0.0025973338345048535,0.984375,0,,,True,8.374703673242422,,,0.0,
layer,"{""layer"": 14}",midpoint_k2,2,192,0.9999993672634555,0.0012445833857612533,0.0009405208282906457,1.0,33,0.9999239782015187,0.013804071174648982,True,8.374703673242422,,,14.0,
layer,"{""layer"": 26}",midpoint_k2,2,192,0.9999999918672811,0.00015673103369991624,0.00026968269193413427,1.0,111,0.999999962898533,0.0003938814261585177,True,8.374703673242422,,,26.0,
history,"{""history_id"": ""H1""}",midpoint_k2,2,192,0.9999992048657769,0.0013255521360723854,0.0013088600579725103,0.9947916666666666,48,0.9999998695350722,0.0006780993951210126,True,8.374703673242422,,,,H1
history,"{""history_id"": ""H2""}",midpoint_k2,2,192,0.9999994071872602,0.001233157273551565,0.0012617602476008992,0.9947916666666666,48,0.9999998903177658,0.0006729394263534783,True,8.374703673242422,,,,H2
history,"{""history_id"": ""H3""}",midpoint_k2,2,192,0.9999991381303367,0.0013369877736845235,0.0012640169402237753,0.9947916666666666,48,0.9999998711321256,0.0007970617426344294,True,8.374703673242422,,,,H3
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999980318537313,0.001991530128269862,0.002535592250554707,1.0,0,,,True,8.374703673242422,gov_report,,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999983429256515,0.0018317233745318872,0.00133073112241565,1.0,27,0.9999327042476516,0.012935144224300706,True,8.374703673242422,gov_report,,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999999681645895,0.00032935134987298396,0.0003889755153317873,1.0,81,0.9999999612985857,0.0004544371198350161,True,8.374703673242422,gov_report,,26.0,
task_layer,"{""layer"": ""0"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999983163460544,0.001836099658636886,0.0028443396110370512,0.96875,0,,,True,8.374703673242422,niah_single_1,,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999998447988757,0.0006032017921677546,0.0005138690425181301,1.0,6,0.995886295287435,0.09209855272912632,True,8.374703673242422,niah_single_1,,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999999961711026,9.923559818871499e-05,0.0002134154403557744,1.0,30,0.9999999701711191,0.0003225798413473696,True,8.374703673242422,niah_single_1,,26.0,
task_history,"{""history_id"": ""H1"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999990962333571,0.0014316585912745317,0.0013642042460357863,1.0,36,0.999999850833022,0.0008036127586385718,True,8.374703673242422,gov_report,,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.9999991464067954,0.001351807894130177,0.0013841546743232152,1.0,36,0.9999998546063944,0.0007458670449205322,True,8.374703673242422,gov_report,,,H2
task_history,"{""history_id"": ""H3"", ""task"": ""gov_report""}",midpoint_k2,2,96,0.999998930368181,0.0014821954801834936,0.0015936509750601598,1.0,36,0.9999998287123,0.0008165722540195686,True,8.374703673242422,gov_report,,,H3
task_history,"{""history_id"": ""H1"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999996935310301,0.0007986136339834535,0.0009632605266253987,0.9895833333333334,12,0.9999999359544458,0.00045764846670374537,True,8.374703673242422,niah_single_1,,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""niah_single_1""}",midpoint_k2,2,96,0.9999996916494686,0.0007987110730528486,0.0007849727907853897,0.9895833333333334,12,0.9999999569708982,0.0003739161174693978,True,8.374703673242422,niah_single_1,,,H2
