scope_type,scope_value,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,pairwise_gain_vs_action,top1_gain_vs_action,normalized_regret_gain_vs_action,normalized_regret_degradation_vs_full
overall,overall,fisher_updated_only,0.9285714285714286,0.9196428571428572,1.0,1.0,0.0,0.3294489576159444,0.16666666666666652,0.011904761904761862,0.0714285714285714,0.125,1.0,0.034782635083746793,0.0
overall,overall,full_state_local,1.0,1.0,1.0,1.0,0.0,0.22189260598085248,0.23809523809523792,0.08333333333333326,0.0,0.2053571428571428,1.0,0.034782635083746793,0.0
overall,overall,gradient_fisher_updated,0.9583333333333335,0.9464285714285714,1.0,1.0,0.0,0.2629782113921574,0.1964285714285714,0.04166666666666674,0.04166666666666652,0.1517857142857142,1.0,0.034782635083746793,0.0
overall,overall,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.3790043201583945,0.23809523809523792,0.08333333333333326,0.0,0.2053571428571428,1.0,0.034782635083746793,0.0
overall,overall,gradient_updated_only,0.9583333333333335,0.9464285714285714,1.0,1.0,0.0,0.2884824854049076,0.1964285714285714,0.04166666666666674,0.04166666666666652,0.1517857142857142,1.0,0.034782635083746793,0.0
overall,overall,jacobian_fisher_updated,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.20363020174349838,0.20238095238095233,0.04761904761904767,0.03571428571428559,0.1517857142857142,1.0,0.034782635083746793,0.0
overall,overall,jacobian_updated_only,0.9583333333333335,0.9464285714285714,1.0,1.0,0.0,0.28831754671594145,0.1964285714285714,0.04166666666666674,0.04166666666666652,0.1517857142857142,1.0,0.034782635083746793,0.0
overall,overall,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.2511272990386617,0.23809523809523792,0.08333333333333326,0.0,0.2053571428571428,1.0,0.034782635083746793,0.0
overall,overall,p1_reference_state_fisher,0.9166666666666667,0.9107142857142858,1.0,1.0,0.0,0.2648618432934534,0.15476190476190466,0.0,0.08333333333333326,0.1160714285714286,1.0,0.034782635083746793,0.0
overall,overall,reference_action_fisher,0.7619047619047621,0.7946428571428572,0.0,0.5,0.034782635083746793,0.0900418123948514,0.0,-0.15476190476190466,0.23809523809523792,0.0,0.0,0.0,0.034782635083746793
