stratum_type,stratum_json,task,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,layer,history_id
task,"{""task"": ""gov_report""}",gov_report,fisher_updated_only,0.7380952380952381,0.8214285714285714,1.0,0.5,0.0,0.5242739204898578,0.011904761904761862,-0.08333333333333348,0.23809523809523814,,
task,"{""task"": ""gov_report""}",gov_report,full_state_local,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.2669754797732093,0.25,0.15476190476190466,0.0,,
task,"{""task"": ""gov_report""}",gov_report,gradient_fisher_updated,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.3386216527149263,0.20238095238095244,0.1071428571428571,0.04761904761904756,,
task,"{""task"": ""gov_report""}",gov_report,gradient_jacobian_updated,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.5592571448502324,0.23809523809523814,0.1428571428571428,0.011904761904761862,,
task,"{""task"": ""gov_report""}",gov_report,gradient_updated_only,0.9166666666666667,0.9107142857142858,1.0,1.0,0.0,0.39965456222288787,0.19047619047619047,0.09523809523809512,0.059523809523809534,,
task,"{""task"": ""gov_report""}",gov_report,jacobian_fisher_updated,0.8809523809523809,0.8928571428571429,1.0,0.75,0.0,0.3817054579127749,0.15476190476190466,0.05952380952380931,0.09523809523809534,,
task,"{""task"": ""gov_report""}",gov_report,jacobian_updated_only,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.5854308249146638,0.20238095238095244,0.1071428571428571,0.04761904761904756,,
task,"{""task"": ""gov_report""}",gov_report,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.3146085154927461,0.2738095238095237,0.17857142857142838,-0.023809523809523725,,
task,"{""task"": ""gov_report""}",gov_report,p1_reference_state_fisher,0.8214285714285716,0.8392857142857142,1.0,0.5,0.0,0.5437211995629919,0.09523809523809534,0.0,0.15476190476190466,,
task,"{""task"": ""gov_report""}",gov_report,reference_action_fisher,0.7261904761904763,0.7678571428571428,0.0,0.5,0.041691809500358876,0.12277651305340745,0.0,-0.09523809523809534,0.25,,
task,"{""task"": ""niah_single_1""}",niah_single_1,fisher_updated_only,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.20370921787729657,0.08333333333333337,0.0,0.07142857142857129,,
task,"{""task"": ""niah_single_1""}",niah_single_1,full_state_local,1.0,1.0,1.0,1.0,0.0,0.2044716653316699,0.15476190476190466,0.07142857142857129,0.0,,
task,"{""task"": ""niah_single_1""}",niah_single_1,gradient_fisher_updated,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.1865131861465514,0.13095238095238093,0.04761904761904756,0.023809523809523725,,
task,"{""task"": ""niah_single_1""}",niah_single_1,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.20308466828268712,0.15476190476190466,0.07142857142857129,0.0,,
task,"{""task"": ""niah_single_1""}",niah_single_1,gradient_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.19219173336695294,0.13095238095238093,0.04761904761904756,0.023809523809523725,,
task,"{""task"": ""niah_single_1""}",niah_single_1,jacobian_fisher_updated,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.20569958479700678,0.13095238095238093,0.04761904761904756,0.023809523809523725,,
task,"{""task"": ""niah_single_1""}",niah_single_1,jacobian_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.2085751105059878,0.13095238095238093,0.04761904761904756,0.023809523809523725,,
task,"{""task"": ""niah_single_1""}",niah_single_1,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.20062145373390788,0.15476190476190466,0.07142857142857129,0.0,,
task,"{""task"": ""niah_single_1""}",niah_single_1,p1_reference_state_fisher,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.20837084607149275,0.08333333333333337,0.0,0.07142857142857129,,
task,"{""task"": ""niah_single_1""}",niah_single_1,reference_action_fisher,0.8452380952380953,0.8214285714285714,0.0,0.5,0.027873460667134708,0.049225053975891275,0.0,-0.08333333333333337,0.15476190476190466,,
layer,"{""layer"": 0}",,fisher_updated_only,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.911153316364006,0.023809523809523947,0.0,0.05952380952380942,0.0,
