method,k,exact_coverage,fresh_coverage,false_elimination,probe_savings,mean_joint_forward_cost,passes
action_only,2,0.4523809523809524,0.4523809523809524,0.5476190476190477,0.75,0.0,False
action_only,3,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.625,0.0,False
action_only,4,0.7023809523809523,0.7023809523809523,0.2976190476190476,0.5,0.0,False
consensus,2,0.34523809523809523,0.34523809523809523,0.6547619047619048,0.75,0.0,False
consensus,3,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.625,0.0,False
consensus,4,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5,0.0,False
retained_attention,2,0.15476190476190477,0.15476190476190477,0.8452380952380952,0.75,0.0,False
retained_attention,3,0.27380952380952384,0.27380952380952384,0.7261904761904762,0.625,0.0,False
retained_attention,4,0.40476190476190477,0.40476190476190477,0.5952380952380952,0.5,0.0,False
reused,2,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.75,0.0,False
reused,3,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.625,0.0,False
reused,4,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.5,0.0,False
