primitive,stale_unit_count,gain_retention,normalized_regret_gap,task_gain,spearman,pairwise_accuracy,top1_accuracy,joint_normalized_regret,mean_forward_cost,full_refresh_forward_cost,passes
all_old,41,0.0,0.6802714356422358,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}",0.2950680272108844,0.6301020408163266,0.32142857142857145,0.34223531187319434,0.0,0,False
full_fresh,41,1.0,0.0,"{""gov_report"": 0.6671795188917623, ""niah_single_1"": 0.6905172835339105}",0.9892290249433106,0.9910714285714286,0.9880952380952381,0.004626633365848966,27.047619047619047,32,False
path_q1_only,41,0.05238564063683747,0.6446349806791761,"{""gov_report"": 0.09775929363577218, ""niah_single_1"": -0.012981418780802612}",0.2786281179138322,0.6292517006802721,0.32142857142857145,0.355428528641971,13.523809523809524,16,False
path_q3_only,41,0.018520373922191434,0.6676725542855556,"{""gov_report"": 0.04528482042124127, ""niah_single_1"": -0.012981418780802612}",0.272108843537415,0.6279761904761905,0.32142857142857145,0.3579284323508439,13.523809523809524,16,False
single_midpoint,41,0.2675750211586051,0.49824779185666995,"{""gov_report"": 0.24046467187723075, ""niah_single_1"": 0.13628718701817577}",0.23582766439909297,0.6118197278911565,0.2619047619047619,0.3330550715692836,13.523809523809524,16,False
update_f,41,0.11357666199089511,0.6030084767342366,"{""gov_report"": 0.20665364919036183, ""niah_single_1"": -0.02399932044341535}",0.24518140589569157,0.6143707482993196,0.32142857142857145,0.3597226840497391,0.0,0,False
update_fp,41,0.2526086896731697,0.5084289596625646,"{""gov_report"": 0.2319910901682125, ""niah_single_1"": 0.12476964748429076}",0.19160997732426313,0.602891156462585,0.27380952380952384,0.3827367065684099,27.047619047619047,32,False
update_g,41,0.533799219289587,0.3171430743914039,"{""gov_report"": 0.3843233538728889, ""niah_single_1"": 0.34654097572052633}",0.4577664399092971,0.6985544217687075,0.39285714285714285,0.207530758165779,0.0,0,False
update_gf,41,0.5270639378394162,0.32172489397296605,"{""gov_report"": 0.423571946537461, ""niah_single_1"": 0.3076570943811199}",0.4563492063492063,0.6981292517006802,0.40476190476190477,0.22363237536386246,0.0,0,False
update_gp,41,0.814480296724768,0.12620375488696373,"{""gov_report"": 0.5704303936364882, ""niah_single_1"": 0.5412620793699724}",0.7964852607709751,0.878826530612245,0.6428571428571429,0.08766573164478303,27.047619047619047,32,False
update_path,41,0.2675750211586051,0.49824779185666995,"{""gov_report"": 0.24046467187723075, ""niah_single_1"": 0.13628718701817577}",0.24858276643990931,0.6160714285714285,0.2619047619047619,0.33240720377771227,27.047619047619047,32,False
