name,family,specification,auroc,auprc,order,feature_count,harmful_recall,refresh_coverage,missed_normalized_regret,missed_event_count,harmful_event_count,task_recall
retained_overlap_gt_0.6,single_threshold,"{""direction"": ""gt"", ""feature"": ""retained_overlap"", ""threshold"": 0.6}",0.34344866704481,0.41718931475029036,0,1,0.8048780487804879,0.8571428571428571,0.12885266554582925,8,41,"{""gov_report"": 0.7222222222222222, ""niah_single_1"": 0.8695652173913043}"
retained_overlap_gt_0.77777778,single_threshold,"{""direction"": ""gt"", ""feature"": ""retained_overlap"", ""threshold"": 0.7777777777777778}",0.34344866704481,0.41718931475029036,0,1,0.6341463414634146,0.7142857142857143,0.2727463833443644,15,41,"{""gov_report"": 0.5555555555555556, ""niah_single_1"": 0.6956521739130435}"
retained_overlap_gt_0.88235294,single_threshold,"{""direction"": ""gt"", ""feature"": ""retained_overlap"", ""threshold"": 0.8823529411764706}",0.34344866704481,0.41718931475029036,0,1,0.4634146341463415,0.5714285714285714,0.40033200225164894,22,41,"{""gov_report"": 0.3333333333333333, ""niah_single_1"": 0.5652173913043478}"
retained_overlap_gt_0.93939394,single_threshold,"{""direction"": ""gt"", ""feature"": ""retained_overlap"", ""threshold"": 0.9393939393939394}",0.34344866704481,0.41718931475029036,0,1,0.36585365853658536,0.42857142857142855,0.4663078349502912,26,41,"{""gov_report"": 0.2777777777777778, ""niah_single_1"": 0.43478260869565216}"
retained_overlap_gt_0.96923077,single_threshold,"{""direction"": ""gt"", ""feature"": ""retained_overlap"", ""threshold"": 0.9692307692307692}",0.34344866704481,0.41718931475029036,0,1,0.17073170731707318,0.2857142857142857,0.6106599500500942,34,41,"{""gov_report"": 0.05555555555555555, ""niah_single_1"": 0.2608695652173913}"
retained_overlap_gt_0.98449612,single_threshold,"{""direction"": ""gt"", ""feature"": ""retained_overlap"", ""threshold"": 0.9844961240310077}",0.34344866704481,0.41718931475029036,0,1,0.0,0.14285714285714285,0.689712739647594,41,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}"
retained_overlap_gt_1,single_threshold,"{""direction"": ""gt"", ""feature"": ""retained_overlap"", ""threshold"": 1.0}",0.34344866704481,0.41718931475029036,0,1,0.0,0.0,0.689712739647594,41,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}"
retained_overlap_lt_0.6,single_threshold,"{""direction"": ""lt"", ""feature"": ""retained_overlap"", ""threshold"": 0.6}",0.65655133295519,0.601761517615176,0,1,0.0,0.0,0.689712739647594,41,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}"
retained_overlap_lt_0.77777778,single_threshold,"{""direction"": ""lt"", ""feature"": ""retained_overlap"", ""threshold"": 0.7777777777777778}",0.65655133295519,0.601761517615176,0,1,0.1951219512195122,0.14285714285714285,0.5608600741017646,33,41,"{""gov_report"": 0.2777777777777778, ""niah_single_1"": 0.13043478260869565}"
retained_overlap_lt_0.88235294,single_threshold,"{""direction"": ""lt"", ""feature"": ""retained_overlap"", ""threshold"": 0.8823529411764706}",0.65655133295519,0.601761517615176,0,1,0.36585365853658536,0.2857142857142857,0.4169663563032296,26,41,"{""gov_report"": 0.4444444444444444, ""niah_single_1"": 0.30434782608695654}"
retained_overlap_lt_0.93939394,single_threshold,"{""direction"": ""lt"", ""feature"": ""retained_overlap"", ""threshold"": 0.9393939393939394}",0.65655133295519,0.601761517615176,0,1,0.5365853658536586,0.42857142857142855,0.289380737395945,19,41,"{""gov_report"": 0.6666666666666666, ""niah_single_1"": 0.43478260869565216}"
retained_overlap_lt_0.96923077,single_threshold,"{""direction"": ""lt"", ""feature"": ""retained_overlap"", ""threshold"": 0.9692307692307692}",0.65655133295519,0.601761517615176,0,1,0.6341463414634146,0.5714285714285714,0.2234049046973028,15,41,"{""gov_report"": 0.7222222222222222, ""niah_single_1"": 0.5652173913043478}"
retained_overlap_lt_0.98449612,single_threshold,"{""direction"": ""lt"", ""feature"": ""retained_overlap"", ""threshold"": 0.9844961240310077}",0.65655133295519,0.601761517615176,0,1,0.8292682926829268,0.7142857142857143,0.07905278959749976,7,41,"{""gov_report"": 0.9444444444444444, ""niah_single_1"": 0.7391304347826086}"
retained_overlap_lt_1,single_threshold,"{""direction"": ""lt"", ""feature"": ""retained_overlap"", ""threshold"": 1.0}",0.65655133295519,0.601761517615176,0,1,1.0,0.8571428571428571,0.0,0,41,"{""gov_report"": 1.0, ""niah_single_1"": 1.0}"
core_turnover_gt_0,single_threshold,"{""direction"": ""gt"", ""feature"": ""core_turnover"", ""threshold"": 0.0}",0.5,0.4880952380952381,0,1,0.0,0.0,0.689712739647594,41,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}"
core_turnover_lt_0,single_threshold,"{""direction"": ""lt"", ""feature"": ""core_turnover"", ""threshold"": 0.0}",0.5,0.4880952380952381,0,1,0.0,0.0,0.689712739647594,41,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}"
token_age_mean_gt_673.25,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 673.25}",0.5884855360181509,0.5560411709955795,0,1,0.975609756097561,0.9285714285714286,0.012684498852674916,1,41,"{""gov_report"": 0.9444444444444444, ""niah_single_1"": 1.0}"
token_age_mean_gt_674.45,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 674.45}",0.5884855360181509,0.5560411709955795,0,1,0.926829268292683,0.8928571428571429,0.05944761785307949,3,41,"{""gov_report"": 0.8333333333333334, ""niah_single_1"": 1.0}"
token_age_mean_gt_678.5,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 678.5}",0.5884855360181509,0.5560411709955795,0,1,0.8536585365853658,0.8214285714285714,0.09448710662543881,6,41,"{""gov_report"": 0.6666666666666666, ""niah_single_1"": 1.0}"
token_age_mean_gt_684.5,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 684.5}",0.5884855360181509,0.5560411709955795,0,1,0.8292682926829268,0.7857142857142857,0.11750924063989523,7,41,"{""gov_report"": 0.6111111111111112, ""niah_single_1"": 1.0}"
token_age_mean_gt_706.625,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 706.625}",0.5884855360181509,0.5560411709955795,0,1,0.7560975609756098,0.75,0.1709865176151902,10,41,"{""gov_report"": 0.4444444444444444, ""niah_single_1"": 1.0}"
token_age_mean_gt_710.75,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 710.75}",0.5884855360181509,0.5560411709955795,0,1,0.7560975609756098,0.6785714285714286,0.1709865176151902,10,41,"{""gov_report"": 0.4444444444444444, ""niah_single_1"": 1.0}"
token_age_mean_gt_711.575,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 711.575}",0.5884855360181509,0.5560411709955795,0,1,0.7073170731707317,0.6428571428571429,0.21363803571219744,12,41,"{""gov_report"": 0.3333333333333333, ""niah_single_1"": 1.0}"
token_age_mean_gt_716,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 716.0}",0.5884855360181509,0.5560411709955795,0,1,0.6585365853658537,0.5714285714285714,0.23983521999056387,14,41,"{""gov_report"": 0.2222222222222222, ""niah_single_1"": 1.0}"
token_age_mean_gt_722,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 722.0}",0.5884855360181509,0.5560411709955795,0,1,0.6097560975609756,0.5357142857142857,0.27008367582377074,16,41,"{""gov_report"": 0.1111111111111111, ""niah_single_1"": 1.0}"
token_age_mean_gt_836,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 835.9999999999985}",0.5884855360181509,0.5560411709955795,0,1,0.5609756097560976,0.5,0.30234938547003437,18,41,"{""gov_report"": 0.0, ""niah_single_1"": 1.0}"
token_age_mean_gt_938.75,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 938.75}",0.5884855360181509,0.5560411709955795,0,1,0.4878048780487805,0.42857142857142855,0.3398141708875802,21,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.8695652173913043}"
token_age_mean_gt_939.5,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 939.5}",0.5884855360181509,0.5560411709955795,0,1,0.43902439024390244,0.35714285714285715,0.37321576382928195,23,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.782608695652174}"
token_age_mean_gt_940.2125,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_mean"", ""threshold"": 940.2125}",0.5884855360181509,0.5560411709955795,0,1,0.43902439024390244,0.35714285714285715,0.37321576382928195,23,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.782608695652174}"
