method,k,exact_coverage,fresh_coverage,false_elimination,probe_savings,mean_joint_forward_cost,passes
action_only,2,0.40476190476190477,0.40476190476190477,0.5952380952380952,0.75,0.0,False
action_only,3,0.4880952380952381,0.4880952380952381,0.5119047619047619,0.625,0.0,False
action_only,4,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5,0.0,False
consensus,2,0.34523809523809523,0.34523809523809523,0.6547619047619048,0.75,0.0,False
consensus,3,0.4880952380952381,0.4880952380952381,0.5119047619047619,0.625,0.0,False
consensus,4,0.5952380952380952,0.5952380952380952,0.40476190476190477,0.5,0.0,False
retained_attention,2,0.17857142857142858,0.17857142857142858,0.8214285714285714,0.75,0.0,False
retained_attention,3,0.25,0.25,0.75,0.625,0.0,False
retained_attention,4,0.34523809523809523,0.34523809523809523,0.6547619047619048,0.5,0.0,False
reused,2,0.5,0.5,0.5,0.75,0.0,False
reused,3,0.5952380952380952,0.5952380952380952,0.40476190476190477,0.625,0.0,False
reused,4,0.7023809523809523,0.7023809523809523,0.2976190476190476,0.5,0.0,False
