primitive,stale_unit_count,gain_retention,normalized_regret_gap,task_gain,spearman,pairwise_accuracy,top1_accuracy,joint_normalized_regret,mean_forward_cost,full_refresh_forward_cost,passes
all_old,28,0.0,0.6738939366503381,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}",0.4237528344671202,0.6879251700680272,0.42857142857142855,0.23154305135023417,0.0,0,False
full_fresh,28,1.0,0.0,"{""gov_report"": 0.6268729313660409, ""niah_single_1"": 0.7146454745633956}",0.9982993197278912,0.9974489795918368,1.0,0.011904761904761904,26.666666666666668,32,False
path_q1_only,28,0.060392993740616865,0.6331954643523746,"{""gov_report"": 0.130045012426399, ""niah_single_1"": -0.03673519581334728}",0.45975056689342414,0.7070578231292517,0.40476190476190477,0.2655869930180698,13.333333333333334,16,False
path_q3_only,28,0.060392993740616865,0.6331954643523746,"{""gov_report"": 0.130045012426399, ""niah_single_1"": -0.03673519581334728}",0.4217687074829932,0.6938775510204082,0.4166666666666667,0.2827361866975489,13.333333333333334,16,False
single_midpoint,28,0.11003734716106907,0.5997404355934054,"{""gov_report"": 0.0771739465083221, ""niah_single_1"": 0.07153578166572827}",0.47278911564625853,0.7151360544217688,0.38095238095238093,0.2797952264694777,13.333333333333334,16,False
update_f,28,0.00822637933015551,0.6683502294991607,"{""gov_report"": 0.08610887409803025, ""niah_single_1"": -0.06427943753609533}",0.3636621315192744,0.6547619047619047,0.36904761904761907,0.30774482008578047,0.0,0,False
update_fp,28,0.030004473441313288,0.653674103925851,"{""gov_report"": 0.13435357729875408, ""niah_single_1"": -0.07869607923987765}",0.477891156462585,0.7227891156462586,0.38095238095238093,0.2849439383278102,26.666666666666668,32,False
update_g,28,0.4631020355027726,0.36181228287459005,"{""gov_report"": 0.22388612645834693, ""niah_single_1"": 0.38851777745082894}",0.5711451247165534,0.7572278911564626,0.5119047619047619,0.16770546376633688,0.0,0,False
update_gf,28,0.5219651220752874,0.32214480574084836,"{""gov_report"": 0.32415185521293804, ""niah_single_1"": 0.3756667698465011}",0.5629251700680273,0.7529761904761906,0.5119047619047619,0.16917994054217578,0.0,0,False
update_gp,28,0.911344408754198,0.05974446539069674,"{""gov_report"": 0.60391938019651, ""niah_single_1"": 0.6230155501810217}",0.8472222222222223,0.9009353741496599,0.8214285714285714,0.05636601395085643,26.666666666666668,32,False
update_path,28,0.1007762659940465,0.6059814220386885,"{""gov_report"": 0.0771739465083221, ""niah_single_1"": 0.05988594030119976}",0.465702947845805,0.7125850340136056,0.39285714285714285,0.28169234200961274,26.666666666666668,32,False
