sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,boundary,candidate_id,candidate_source,current_mask_hash,tau_mask_hash,mask_changed,controlled_exact_kl,action_only_risk,action_u_norm,action_r_norm,candidate_retained_attention_mass,adjacent_method,risk_all_old,risk_update_g,risk_update_f,risk_update_path,risk_update_gf,risk_update_gp,risk_update_fp,risk_full_fresh,risk_path_q1_only,risk_path_q3_only,risk_single_midpoint
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_00_attention_only,attention_only,4a3cd470db24de4b4a7002ae8ab4225a8c48d3a872cf443e3a6e49d4d0dbf25e,4a3cd470db24de4b4a7002ae8ab4225a8c48d3a872cf443e3a6e49d4d0dbf25e,False,2.817676383645121e-06,9.255391727580049e-07,0.5116279165732572,0.9320603460649696,0.9972204399604498,mx.vjp_of_vjp,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2996850025122777e-06,2.2831080594838196e-06
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_01_aov,aov,71b601345178c97365f9f91f8401ffc32a2d02e22bff4fffc44c1c9ccd2392fb,71b601345178c97365f9f91f8401ffc32a2d02e22bff4fffc44c1c9ccd2392fb,False,2.9591233608567774e-06,9.194229280060453e-07,0.5256559591268218,0.9602361286793177,0.9971747521418477,mx.vjp_of_vjp,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.437020173699618e-06,2.45520421630684e-06
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_02_aor,aor,b271be4c1f688f03f10336d8d82c2a1c76e6bba866818dc04719c2ebe450826f,b271be4c1f688f03f10336d8d82c2a1c76e6bba866818dc04719c2ebe450826f,False,2.968325682524585e-06,9.189129735851267e-07,0.5249158144095644,0.9588003400945982,0.9971335809851758,mx.vjp_of_vjp,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4464576211224434e-06,2.4299537465064424e-06
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_03_v_ridge,v_ridge,af9c94543f837bc73ab6bc165c48041033beca94ab4f174991018453d1a36fa7,af9c94543f837bc73ab6bc165c48041033beca94ab4f174991018453d1a36fa7,False,2.654104971640313e-06,6.437036386544092e-07,0.48820949408547065,0.9073327906749887,0.9961336854361211,mx.vjp_of_vjp,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.133669459597342e-06,2.1384485672381893e-06
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_04_snapkv,snapkv,1a4b78abb82874571fbe5799f28c8e081dc91c046ecec877f451f616b4310c3d,1a4b78abb82874571fbe5799f28c8e081dc91c046ecec877f451f616b4310c3d,False,3.4186033025963435e-06,1.1839323124103368e-06,0.5203703241933777,0.9726306163961682,0.998373810131719,mx.vjp_of_vjp,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.882137089548824e-06,2.918086545935663e-06
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_05_old_stale_core,old_stale_core,ae827e7794463832de884daecc89824bfda9546fe82be4fae5aafaf881e1a3ec,ae827e7794463832de884daecc89824bfda9546fe82be4fae5aafaf881e1a3ec,False,2.1784552933525443e-06,6.376748452960395e-07,0.5403878783620507,0.9451630377623058,1.0,mx.vjp_of_vjp,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6720121231008036e-06,1.6581010733100448e-06
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_06_fresh_core,fresh_core,14f8022e5d786ef92e7d93eba1428624814e118808c5e2743e090def3d2e0956,14f8022e5d786ef92e7d93eba1428624814e118808c5e2743e090def3d2e0956,False,1.4891100344955927e-06,3.816440365482395e-07,0.2791135109417642,0.48889882974764176,0.9957968153106753,mx.vjp_of_vjp,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.718133555859783e-07,9.69368816627288e-07
gov_report:104,gov_report,replication,fixed_tau_old_core,32,32,0,0,1,selector_07_random_reference,random_reference,837be01a7c73b36bd42f257eefa444bfd8d45c1ee032ea67a897aaf18c0e9561,837be01a7c73b36bd42f257eefa444bfd8d45c1ee032ea67a897aaf18c0e9561,False,1.5233519549208473e-06,5.11243507156886e-07,0.438236119963804,0.7457592476432658,0.9963275860015777,mx.vjp_of_vjp,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0092588651050776e-06,1.0176557715049693e-06
gov_report:104,gov_report,replication,fixed_tau_old_core,32,33,1,0,1,selector_00_attention_only,attention_only,398a93a6e244015059f221dab2aaaaded442697072ec4e6a1a925d172fd47b17,4a3cd470db24de4b4a7002ae8ab4225a8c48d3a872cf443e3a6e49d4d0dbf25e,True,0.0001656939985674663,6.474425913273219e-05,0.8612110318416697,1.7868179189271403,0.9848693867102107,mx.vjp_of_vjp,6.7119894624027866e-06,7.067977646394211e-05,0.00018491171858301208,0.0002075565925947038,0.0002488795055845514,0.0002957386454814192,4.3352507699405155e-05,0.0001315345605861206,6.355319146329408e-05,5.600608078611372e-05,0.00020818249707212866
gov_report:104,gov_report,replication,fixed_tau_old_core,32,33,1,0,1,selector_01_aov,aov,74f887e88d5b0fc134fa8dd56478b8d3067331be11a7c510910d72e971f59ac7,71b601345178c97365f9f91f8401ffc32a2d02e22bff4fffc44c1c9ccd2392fb,True,0.0001728524370189495,7.401452663975325e-05,0.9243821947298495,1.900861217014093,0.9745435335047479,mx.vjp_of_vjp,1.0191699144344379e-05,7.346850953605186e-05,0.0002173438060967228,0.0002566001069040622,0.00028062061648843027,0.0003486062885927887,4.7055648259814104e-05,0.0001390618299485406,7.588345091241269e-05,6.670604271646286e-05,0.0002563215724059123
