method,k,exact_coverage,fresh_coverage,false_elimination,probe_savings,mean_joint_forward_cost,passes
action_only,2,0.44047619047619047,0.44047619047619047,0.5595238095238095,0.75,0.0,False
action_only,3,0.5476190476190477,0.5476190476190477,0.4523809523809524,0.625,0.0,False
action_only,4,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.5,0.0,False
consensus,2,0.34523809523809523,0.34523809523809523,0.6547619047619048,0.75,0.0,False
consensus,3,0.5119047619047619,0.5119047619047619,0.4880952380952381,0.625,0.0,False
consensus,4,0.6547619047619048,0.6547619047619048,0.34523809523809523,0.5,0.0,False
retained_attention,2,0.25,0.25,0.75,0.75,0.0,False
retained_attention,3,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.625,0.0,False
retained_attention,4,0.39285714285714285,0.38095238095238093,0.6071428571428571,0.5,0.0,False
reused,2,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.75,0.0,False
reused,3,0.5952380952380952,0.5952380952380952,0.40476190476190477,0.625,0.0,False
reused,4,0.6785714285714286,0.6785714285714286,0.32142857142857145,0.5,0.0,False
