primitive,stale_unit_count,gain_retention,normalized_regret_gap,task_gain,spearman,pairwise_accuracy,top1_accuracy,joint_normalized_regret,mean_forward_cost,full_refresh_forward_cost,passes
all_old,34,0.0,0.4847958034074482,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}",0.4464285714285716,0.6981292517006803,0.35714285714285715,0.2042139731470068,0.0,0,False
full_fresh,34,1.0,0.0,"{""gov_report"": 0.4656151939408285, ""niah_single_1"": 0.5018452340444435}",0.9954648526077098,0.9944727891156462,0.9880952380952381,0.0007073949890750502,27.428571428571427,32,False
path_q1_only,34,0.08159642754298572,0.4452381977615688,"{""gov_report"": 0.016019060401781138, ""niah_single_1"": 0.060480756973966654}",0.42290249433106586,0.6930272108843537,0.38095238095238093,0.2648108828802967,13.714285714285714,16,False
path_q3_only,34,0.03620041316035669,0.46724599502569153,"{""gov_report"": -0.030747508784479627, ""niah_single_1"": 0.060480756973966654}",0.41581632653061235,0.6892006802721089,0.39285714285714285,0.27292945170384203,13.714285714285714,16,False
single_midpoint,34,0.12475761756947754,0.4243138339666542,"{""gov_report"": -0.0015719623078553902, ""niah_single_1"": 0.11564101988403802}",0.4155328798185941,0.6870748299319729,0.39285714285714285,0.2674438035058227,13.714285714285714,16,False
update_f,34,0.0584682533571484,0.4564506395473392,"{""gov_report"": 0.06629778105605416, ""niah_single_1"": -0.005390495869620149}",0.3993764172335602,0.6696428571428572,0.3333333333333333,0.23068920710574534,0.0,0,False
update_fp,34,0.21035840183519489,0.3828149329862481,"{""gov_report"": 0.12136498235721616, ""niah_single_1"": 0.08475054870029691}",0.3460884353741497,0.6607142857142856,0.38095238095238093,0.3344475600897905,27.428571428571427,32,False
update_g,34,0.5624034048671879,0.21214499290577551,"{""gov_report"": 0.25827743836481065, ""niah_single_1"": 0.28542714128999447}",0.5428004535147394,0.7453231292517006,0.4523809523809524,0.1507006194704602,0.0,0,False
update_gf,34,0.5497156731588433,0.21829595199274052,"{""gov_report"": 0.3249397299446131, ""niah_single_1"": 0.2145532927214584}",0.5014172335600908,0.7227891156462586,0.4642857142857143,0.16556666592402813,0.0,0,False
update_gp,34,0.6893676216817918,0.15059327341114212,"{""gov_report"": 0.3210244934556157, ""niah_single_1"": 0.3459163402546975}",0.8007369614512475,0.8745748299319727,0.6666666666666666,0.07040189941962618,27.428571428571427,32,False
update_path,34,0.1330227139997891,0.42030694990248124,"{""gov_report"": 0.006942666328511926, ""niah_single_1"": 0.11564101988403802}",0.4163832199546485,0.6887755102040819,0.39285714285714285,0.265821969479848,27.428571428571427,32,False
