stage,score,overall_spearman,gov_report_spearman,niah_spearman,pairwise_accuracy,positive_sequence_fraction,top1_accuracy,normalized_regret,gov_report_regret,niah_regret
diagnostic,action_only_risk,0.949404761904762,0.9345238095238095,0.9642857142857144,0.9375,1.0,0.625,6.016577539120266e-06,8.413529349437384e-06,3.619625728803148e-06
diagnostic,adjacent_only_risk,0.949404761904762,0.9345238095238095,0.9642857142857144,0.9375,1.0,0.625,6.016577539120266e-06,8.413529349437384e-06,3.619625728803148e-06
diagnostic,probe_b27_path_k1_risk,0.9791666666666667,0.9642857142857143,0.9940476190476191,0.9732142857142858,1.0,1.0,0.0,0.0,0.0
diagnostic,probe_b27_risk,0.9791666666666667,0.9642857142857143,0.9940476190476191,0.9732142857142858,1.0,1.0,0.0,0.0,0.0
diagnostic,multi_all_endpoint_risk,0.9970238095238095,0.9940476190476191,1.0,0.9955357142857143,1.0,1.0,0.0,0.0,0.0
calibration,action_only_risk,0.8839285714285715,0.8928571428571429,0.8750000000000001,0.8883928571428572,1.0,0.375,0.0012507303257858174,0.002272962563406981,0.0002284980881646538
calibration,adjacent_only_risk,0.9017857142857144,0.9166666666666667,0.8869047619047621,0.8928571428571428,1.0,0.5,0.00012343000386733614,1.2268097772748024e-05,0.00023459190996192426
calibration,probe_b18_path_k1_risk,0.9166666666666667,0.892857142857143,0.9404761904761906,0.9285714285714286,1.0,0.75,0.0004390613374989658,0.0008772465450731207,8.761299248109031e-07
calibration,probe_b27_path_k1_risk,0.9880952380952381,0.9761904761904763,1.0,0.9866071428571428,1.0,1.0,0.0,0.0,0.0
calibration,probe_b27_risk,0.9880952380952381,0.9761904761904763,1.0,0.9866071428571428,1.0,1.0,0.0,0.0,0.0
calibration,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
formal,action_only_risk,0.9166666666666667,0.9761904761904763,0.8571428571428572,0.9107142857142858,1.0,0.75,1.2784179520735508e-07,2.5568359041471016e-07,0.0
formal,adjacent_only_risk,0.9226190476190477,0.9761904761904763,0.8690476190476192,0.9196428571428572,1.0,0.75,1.2784179520735508e-07,2.5568359041471016e-07,0.0
formal,probe_b18_path_k1_risk,0.9702380952380952,0.9880952380952381,0.9523809523809523,0.9642857142857143,1.0,1.0,0.0,0.0,0.0
formal,probe_b27_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
formal,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
replication,action_only_risk,0.9226190476190477,0.9166666666666667,0.9285714285714286,0.9017857142857142,1.0,0.5,2.300813112119266e-05,2.782039903905746e-05,1.8195863203327862e-05
replication,adjacent_only_risk,0.9166666666666667,0.9047619047619049,0.9285714285714286,0.8928571428571428,1.0,0.5,2.300813112119266e-05,2.782039903905746e-05,1.8195863203327862e-05
replication,probe_b18_path_k1_risk,0.9047619047619048,0.9404761904761905,0.8690476190476191,0.9196428571428572,1.0,1.0,0.0,0.0,0.0
replication,probe_b27_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
replication,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
recovery_formal,action_only_risk,0.8630952380952381,0.773809523809524,0.9523809523809523,0.8839285714285714,1.0,1.0,0.0,0.0,0.0
recovery_formal,adjacent_only_risk,0.8571428571428572,0.773809523809524,0.9404761904761905,0.875,1.0,1.0,0.0,0.0,0.0
recovery_formal,probe_b18_path_k1_risk,0.9345238095238095,0.9880952380952381,0.880952380952381,0.9375,1.0,0.75,4.987882728416291e-05,0.0,9.975765456832583e-05
recovery_formal,probe_b27_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
recovery_formal,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
recovery_replication,action_only_risk,0.9464285714285716,0.9404761904761906,0.9523809523809526,0.9375,1.0,0.0,2.5734194365360236e-06,3.544464975451437e-07,4.792392375526904e-06
recovery_replication,adjacent_only_risk,0.9285714285714287,0.9404761904761906,0.9166666666666667,0.9285714285714286,1.0,0.0,2.5734194365360236e-06,3.544464975451437e-07,4.792392375526904e-06
recovery_replication,probe_b18_path_k1_risk,0.9404761904761905,0.9285714285714286,0.9523809523809523,0.9464285714285714,1.0,0.75,1.3401007270375012e-06,0.0,2.6802014540750024e-06
recovery_replication,probe_b27_risk,0.9940476190476191,1.0,0.9880952380952381,0.9910714285714286,1.0,1.0,0.0,0.0,0.0
recovery_replication,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
scope_budget,action_only_risk,0.9047619047619049,0.8452380952380953,0.9642857142857144,0.9017857142857144,1.0,0.75,0.00014175338992835737,0.00028350677985671473,0.0
scope_budget,adjacent_only_risk,0.880952380952381,0.8333333333333335,0.9285714285714286,0.875,1.0,0.75,0.00014175338992835737,0.00028350677985671473,0.0
