name,model_class,overall_spearman,replication_spearman,passed,boundary_count,candidate_probe_count,parameter_count,source,score,sequence_count,task_spearman,pairwise_accuracy,top1_accuracy,normalized_regret,positive_sequence_fraction,checks,task_normalized_regret,task_action_only_regret,score_column,features,forward_gain,family,regularization,kv_descriptor_dimension,interaction_rank,path_midpoint_count
M1_O0_inherited_P3_scalar_transfer,inherited_control,0.1876,0.1151,False,0,1,0,P3 immutable formal/replication,,,,,,,,,,,,,,,,,,
M2_action_only_current_injection,M2,0.8839285714285715,,False,28,0,0,,_score,8.0,"{'gov_report': 0.8928571428571429, 'niah_single_1': 0.8750000000000001}",0.8883928571428572,0.375,0.0012507303257858174,1.0,"{'overall_spearman': False, 'each_task_spearman': True, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",action_only_risk,,,,,,,
M2_adjacent_only_current_response,M2,0.9017857142857144,,False,28,0,0,,_score,8.0,"{'gov_report': 0.9166666666666667, 'niah_single_1': 0.8869047619047621}",0.8928571428571428,0.5,0.00012343000386733614,1.0,"{'overall_spearman': True, 'each_task_spearman': True, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 1.2268097772748024e-05, 'niah_single_1': 0.00023459190996192426}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",adjacent_only_risk,,,,,,,
M4_mechanistic_pair_7_22,M4,0.7857142857142858,,False,2,0,0,,_score,8.0,"{'gov_report': 0.761904761904762, 'niah_single_1': 0.8095238095238096}",0.8303571428571428,0.375,0.0012518915352685742,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.0024970558821631717, 'niah_single_1': 6.7271883739767906e-06}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",multi_pair_endpoint_risk,,,,,,,
M4_mechanistic_three_4_14_22,M4,0.7500000000000002,,False,3,0,0,,_score,8.0,"{'gov_report': 0.7500000000000002, 'niah_single_1': 0.75}",0.8169642857142857,0.25,0.0026673062583673873,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.0025368891927141195, 'niah_single_1': 0.002797723324020655}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",multi_three_endpoint_risk,,,,,,,
M4_mechanistic_inherited_0_14_26,M4,0.6994047619047621,,False,3,0,0,,_score,8.0,"{'gov_report': 0.761904761904762, 'niah_single_1': 0.6369047619047621}",0.7678571428571428,0.25,0.003737923056550351,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.002726744446926333, 'niah_single_1': 0.0047491016661743695}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",multi_inherited3_endpoint_risk,,,,,,,
M4_mechanistic_uniform8,M4,0.7529761904761906,,False,8,0,0,,_score,8.0,"{'gov_report': 0.7321428571428572, 'niah_single_1': 0.7738095238095238}",0.8125,0.125,0.002695571936283531,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.005197736382227628, 'niah_single_1': 0.0001934074903394347}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",multi_uniform8_endpoint_risk,,,,,,,
M9_dense_mechanistic_all28,M9,1.0,,True,28,0,0,,_score,8.0,"{'gov_report': 1.0, 'niah_single_1': 1.0}",1.0,1.0,0.0,1.0,"{'overall_spearman': True, 'each_task_spearman': True, 'pairwise_accuracy': True, 'positive_sequence_fraction': True, 'top1_accuracy': True, 'each_task_action_only_regret_gain': True}","{'gov_report': 0.0, 'niah_single_1': 0.0}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",multi_all_endpoint_risk,,,,,,,
M3_single_boundary_b1,M3,0.1666666666666667,,False,1,0,0,,_score,8.0,"{'gov_report': 0.2797619047619048, 'niah_single_1': 0.05357142857142858}",0.5535714285714286,0.0,0.05826834170577044,0.5,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': False, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.028730088790376446, 'niah_single_1': 0.08780659462116444}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b1_risk,,,,,,,
M3_single_boundary_b2,M3,0.3779761904761906,,False,1,0,0,,_score,8.0,"{'gov_report': 0.2202380952380953, 'niah_single_1': 0.5357142857142858}",0.6428571428571429,0.25,0.01885491948379836,0.75,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.02802288444659498, 'niah_single_1': 0.00968695452100174}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b2_risk,,,,,,,
