sample_id,task,stage,target_anchor,candidate_pool_variant,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,candidate_raw_rank,candidate_deduplicated,exact_physical_kl,action_only_risk,adjacent_only_risk,dense_actual_boundary_energy,eligible_count,cache_length_prequery,cache_length_baseline,cache_length_candidate,candidate_replay_max_abs_error,multi_all_endpoint_risk,multi_uniform8_endpoint_risk,multi_inherited3_endpoint_risk,multi_pair_endpoint_risk,multi_three_endpoint_risk,probe_b18_path_k1_risk,theory_b1_risk,probe_b1_risk,theory_b5_risk,probe_b5_risk,theory_b8_risk,probe_b8_risk,theory_b11_risk,probe_b11_risk,theory_b15_risk,probe_b15_risk,theory_b18_risk,probe_b18_risk,theory_b19_risk,probe_b19_risk,theory_b23_risk,probe_b23_risk,theory_b27_risk,probe_b27_risk,b1_theory_u_norm,b1_local_r_norm,b1_actual_boundary_norm,b1_deleted_attention_mass_mean,b1_deleted_value_norm,b1_deleted_key_norm,b1_action_state_ratio,b5_theory_u_norm,b5_local_r_norm,b5_actual_boundary_norm,b5_deleted_attention_mass_mean,b5_deleted_value_norm,b5_deleted_key_norm,b5_action_state_ratio,b8_theory_u_norm,b8_local_r_norm,b8_actual_boundary_norm,b8_deleted_attention_mass_mean,b8_deleted_value_norm,b8_deleted_key_norm,b8_action_state_ratio,b11_theory_u_norm,b11_local_r_norm,b11_actual_boundary_norm,b11_deleted_attention_mass_mean,b11_deleted_value_norm,b11_deleted_key_norm,b11_action_state_ratio,b15_theory_u_norm,b15_local_r_norm,b15_actual_boundary_norm,b15_deleted_attention_mass_mean,b15_deleted_value_norm,b15_deleted_key_norm,b15_action_state_ratio,b19_theory_u_norm,b19_local_r_norm,b19_actual_boundary_norm,b19_deleted_attention_mass_mean,b19_deleted_value_norm,b19_deleted_key_norm,b19_action_state_ratio,b23_theory_u_norm,b23_local_r_norm,b23_actual_boundary_norm,b23_deleted_attention_mass_mean,b23_deleted_value_norm,b23_deleted_key_norm,b23_action_state_ratio,b27_theory_u_norm,b27_local_r_norm,b27_actual_boundary_norm,b27_deleted_attention_mass_mean,b27_deleted_value_norm,b27_deleted_key_norm,b27_action_state_ratio
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_attention_13,attention,13,0,False,1.7510808261706574e-08,8.189031057760704e-05,7.455108208619742e-05,0.0018430505043712832,61,96,97,96,0.0,1.7944928195873613e-08,4.0623191637156855e-11,3.2426540916821714e-11,2.0143852228553488e-11,8.550747524927881e-11,1.7275911771894557e-08,2.4415423328164992e-11,1.0991258239546667e-11,1.0074746714001123e-10,4.244173165345001e-09,7.977874714386066e-12,4.14582293488729e-09,5.014508335550684e-13,4.229670857482104e-09,6.259548969193368e-13,4.570251254510218e-09,4.929406216452382e-09,1.7311921492585414e-08,8.419298213401176e-12,1.6576478332512514e-08,6.511370811126602e-12,1.7037274476619838e-08,5.095512602720043e-13,1.7353816874795516e-08,0.0001989331526017952,0.00031980345185494237,0.00028746381697395356,1.0098095117427874e-05,4.000922679901123,778.2821655273438,1.5134187257763006e-05,0.0009962920530584944,0.0010533574737219512,0.006636059764984703,2.1521433154703118e-05,5.538603782653809,18.762252807617188,2.522970706315267e-05,0.000509048716591623,0.0005253592750537263,0.005744865742202548,1.441516633349238e-05,5.941125869750977,34.16374588012695,1.1071243955693445e-05,3.5240641113474885e-05,3.6274494316693323e-05,0.005309833636162206,6.663431122433394e-07,8.144611358642578,20.75873374938965,6.34347967858852e-07,1.3736136886602741e-05,1.4081915526470573e-05,0.004772387048807676,2.5414601623197086e-07,10.663002014160156,18.76111602783203,2.3096693228928282e-07,0.0006335128012232986,0.000540418874893654,0.00681509324840108,5.0916428335767705e-06,9.839171409606934,23.22308349609375,7.589577896306598e-06,0.0005557830702046434,0.0005584068569716253,0.009683053159328955,4.92037588628591e-06,11.32736587524414,21.142738342285156,4.295216447510945e-06,0.00016559375597113293,0.00015144236494641736,0.014490289022874518,7.403323820653895e-07,26.67971420288086,18.247100830078125,5.458762679698934e-07
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_value_norm_40,value_norm,40,0,False,1.5047719574302752e-07,0.06612936336445041,0.06319365835566554,0.06990927565678523,61,96,97,96,,1.5073469460526005e-07,3.575109447666566e-08,4.721557222136052e-08,1.7088021445866997e-09,5.021087815873041e-09,2.6275514511205533e-08,5.406887224873778e-11,4.255112122850181e-11,1.2978343094963854e-09,2.2120580925501102e-08,1.4384156178756075e-09,1.923687293765413e-08,2.807421715818675e-13,1.6501227344620516e-08,1.1064768229852216e-12,1.5816398685626057e-08,3.7213704237628307e-09,2.619556041455809e-08,2.4997534270088235e-10,2.7261637007650616e-08,2.1754208889686414e-09,1.5552421824283758e-08,4.57243701590706e-08,6.825290545869078e-08,0.0004889968306066928,0.0008762350908198173,0.0008599026211625485,3.076610664720647e-05,3.67757511138916,779.9898681640625,4.146642529770164e-05,0.007560453318085425,0.008275713365384112,0.018010539504487742,0.00012128819798817858,4.986553192138672,17.6741943359375,0.00019821744199478917,0.005179528057709787,0.005104077067832632,0.017123490397391118,0.0001218998440890573,5.881315231323242,33.388607025146484,0.00010756159654906,0.0001042835915920363,0.0001115279206529877,0.016203407921170733,1.6630284562779707e-06,7.675694465637207,19.346406936645508,1.9503375900456982e-06,0.00029679294363826636,0.0002840779769841509,0.015359683696049486,7.5032207860203926e-06,8.314203262329102,19.711200714111328,4.659353250034704e-06,0.005908291167999269,0.005324878903142686,0.016925159219860483,0.00012578383029904217,7.506573677062988,21.251792907714844,7.478196099600299e-05,0.011634458014101465,0.01225667583061647,0.03316426706700272,0.0002530452038627118,7.750916481018066,16.996646881103516,9.42772728561763e-05,0.07227063767568484,0.06677989710573635,0.08605913903889562,0.0019459923496469855,11.14824104309082,15.250812530517578,0.00024070913723772526
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_aov_14,aov,14,1,True,1.37908004035183e-08,6.937241131384167e-05,6.6591078013139e-05,0.0015630285572100534,61,96,97,96,,1.4321241383988292e-08,9.443070285854167e-11,3.3194986561217114e-11,5.9142780857994994e-12,3.27143701121109e-12,1.2770095570770347e-08,3.2530185722085235e-11,2.9607850447560134e-11,2.239711682133747e-12,2.884054859551643e-09,4.642285107694202e-12,2.866794029536928e-09,5.314083623598918e-13,2.8610240111762516e-09,4.0202083932902277e-13,3.1632958775843384e-09,4.14683244989577e-09,1.2808171499868238e-08,6.88697850182242e-12,1.2882377865441766e-08,2.5810432866713516e-12,1.2914300358722803e-08,8.688034967760152e-13,1.3798196197019439e-08,0.0005426017690840074,0.0008521012802444674,0.0008462901673230536,3.931265382561833e-05,3.5669851303100586,778.8583984375,4.0324331282229915e-05,0.0002061593805137049,0.00022066875420462083,0.007117688499946525,5.968656751065282e-06,7.128814697265625,19.36896324157715,5.285392818167843e-06,0.0002873313944134549,0.00030058757191082865,0.005768155533747242,9.016362128022593e-06,5.726841449737549,33.79312515258789,6.334480986052834e-06,7.632830187806755e-06,9.275779500114032e-06,0.0054723264454586236,1.5549304066553304e-07,7.44852352142334,20.68832015991211,1.6220961827430123e-07,7.256656967621824e-06,9.137255093666404e-06,0.005302555845004498,7.687234671038823e-08,10.04827880859375,20.109291076660156,1.4986624330771673e-07,0.0006223530034076181,0.0005287772540447652,0.006588538350904863,4.570792043523397e-06,10.39979362487793,24.24416732788086,7.426084368643828e-06,0.000531963568615022,0.0005137078831095384,0.008528015051801466,4.702068054029951e-06,11.399269104003906,22.081058502197266,3.951395870592325e-06,0.00026784680231203806,0.00021531639169207053,0.012335880833641486,1.685196934886335e-06,25.282854080200195,18.130268096923828,7.761111520623526e-07
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_aor_36,aor,36,2,True,4.243476613447148e-09,0.00023371705724413712,0.0002421518381469774,0.002486185495250995,61,96,97,96,,4.018680288817359e-09,2.587643382195611e-10,1.959110876311488e-11,2.1926896715876567e-10,6.77422023645238e-11,1.325261535127822e-09,1.1556586266116453e-11,9.824889525660248e-12,1.9856011792210648e-11,9.146191628107964e-10,1.3044373983437066e-10,9.311043175302356e-10,2.0187300831393937e-13,9.778367701877207e-10,6.474194094270371e-13,1.2395591538518004e-09,1.2919323005322138e-10,1.276176804291103e-09,1.3736068838431692e-11,1.5428895283774025e-09,3.254762393379513e-11,1.2583096299042631e-09,8.275906578040738e-12,4.460469505914339e-09,0.0004105990428812676,0.0005779349339340333,0.0005590258391291396,1.9873898054356687e-05,4.183609962463379,778.8078002929688,2.7349847108366596e-05,0.0009110584974192844,0.0008642566827153078,0.009513763413823517,2.2337308109854348e-05,7.265463829040527,19.44835662841797,2.0700420774756877e-05,0.0032515395882775984,0.0033296314800602142,0.007998743983903532,5.8579371398082e-05,6.376445293426514,34.20205307006836,7.016752943884625e-05,5.763226414987551e-05,7.388978027789458e-05,0.007375348789991896,7.840496323296975e-07,7.848747253417969,20.042484283447266,1.2921429463800779e-06,8.644300892720961e-05,7.853282253810242e-05,0.006392469230560975,1.3737256949752918e-06,9.061243057250977,18.450368881225586,1.2880694442136248e-06,0.0006299168153397297,0.0005523827846741847,0.006147363760041064,5.572903319261968e-06,9.202240943908691,21.395496368408203,7.757597611090968e-06,0.0011533469034949915,0.0011607269589419638,0.00891207089289566,5.884041911485838e-06,14.981851577758789,20.802291870117188,8.928209714606386e-06,0.0013433972544778928,0.001475716459147575,0.017606247146597063,4.218034064251697e-06,40.6054801940918,16.07292938232422,5.319242033669e-06
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_v_ridge_57,v_ridge,57,0,False,8.782134932123131e-07,0.245754348580539,0.2643050373445572,0.4747904173886556,61,96,97,96,,8.706927396148138e-07,7.719898031854959e-08,1.212002224123881e-07,3.662793068617386e-09,1.6054048041447765e-08,8.131053044391667e-08,2.7961690948954023e-10,3.2171239646500277e-10,4.264747680452299e-09,7.689816955488841e-08,7.751392462678215e-10,7.909436742874459e-08,2.5036513640954035e-10,1.651391146251566e-07,1.0763592725305027e-09,1.9785808386965035e-07,1.3964384625473957e-07,8.129285053483574e-08,2.154499123754019e-09,9.15599796470602e-08,2.429318866495399e-09,1.7401957500560642e-07,1.406282738656672e-07,4.601706113015273e-07,0.0009500697979109574,0.0015842036638080217,0.0015782905231669407,3.929219383280724e-05,4.464895725250244,778.2316284179688,7.496990655804362e-05,0.009676037585692444,0.010138556758509311,0.02715513550594754,0.0002630984818097204,7.07230281829834,17.09817886352539,0.00024283571668838494,0.010421386660101237,0.010550142370373014,0.031174252548057564,0.0002585006586741656,6.900519371032715,33.53907012939453,0.00022233013767150597,0.0034431855720337616,0.0035194314425210267,0.03911251988001322,7.24060446373187e-05,8.729726791381836,17.548965454101562,6.154583890517136e-05,0.008491797124042237,0.007925084963927983,0.040125172398595144,0.00023908029834274203,8.251632690429688,20.579782485961914,0.00012998462878218524,0.012405268247916698,0.011338074980813923,0.05876776708342018,0.00017373624723404646,9.603605270385742,22.052629470825195,0.0001592305658790799,0.012908052184076533,0.01277210501028669,0.07593781786602388,0.00017519404354970902,10.578393936157227,19.275142669677734,9.824190878857335e-05,0.10929435447809036,0.11692293678385209,0.23353854384789036,0.0006629340350627899,35.84418487548828,16.152271270751953,0.00042145047321620594
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_key_query_47,key_query,47,0,False,1.684215436342963e-05,2.0132632706476423,1.853235727070615,18.443094782933894,61,96,97,96,,1.6527623767034728e-05,9.638929659517626e-07,1.8943242518599195e-08,2.9895060829463236e-07,6.08148192360745e-07,1.532467546634663e-05,1.2561012619430237e-10,1.4301699174342606e-10,3.63860754647858e-07,1.2192318443847715e-06,2.0325796917127062e-08,1.0911724972855936e-06,2.0073071769777047e-08,1.0421658548686924e-06,6.705379734394934e-10,6.097312700037684e-06,7.421759971096276e-06,1.532362407250115e-05,4.894281617817198e-07,1.5359773056445206e-05,3.1138779478801897e-07,1.597397119005499e-05,1.8434640837676605e-08,1.6596616669344293e-05,0.0014780587254580677,0.0019654406939425134,0.0019555500401022244,6.089633461670019e-05,4.985556602478027,778.1181640625,9.301133972639442e-05,0.14825341687675245,0.15813661877521548,0.2023276154339717,0.002989105647429824,6.728945732116699,16.07016944885254,0.0037876415815029235,0.061201633230813964,0.067738665309705,0.26378996961803125,0.001976293046027422,6.264262676239014,33.702476501464844,0.0014275017582969641,0.041750536650790634,0.04338830629070482,0.2901602721839153,0.0012102689361199737,6.859688758850098,17.815549850463867,0.0007587503132105685,0.00806365375208261,0.007400704804536231,0.7144294394617665,0.00018281083612237126,8.205503463745117,16.526390075683594,0.00012138391842140991,0.11679306185796016,0.10821781288488662,0.6441723065794839,0.0021130365785211325,8.583311080932617,20.70094108581543,0.001519797991547581,0.1771271197292615,0.1751697444254161,0.9412005538880114,0.0011817851336672902,13.538286209106445,16.661579132080078,0.0013473902728249765,0.07609564760385114,0.08330939249377435,1.549873444510555,0.0004999588709324598,45.884037017822266,12.659563064575195,0.00030028995042061664
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_age_4,age,4,0,False,4.954608343923082e-07,0.002124669771110506,0.002310295137019653,0.041701347757229563,61,96,97,96,,4.963326467738449e-07,3.634782130481636e-10,3.0037894576492483e-10,2.866609459294622e-11,7.694738060415756e-12,4.5767229080135663e-07,6.732178548218273e-11,5.8076614167917294e-11,1.9257399346521724e-12,1.004130334346796e-08,2.067030830338766e-11,1.0350381594752061e-08,1.858893111450265e-12,1.0304547054151885e-08,3.225455078131259e-13,1.2038834899854027e-08,3.7091811278764384e-07,4.576504266511907e-07,1.7246431126404655e-11,4.5584212892137393e-07,7.050690562301937e-12,4.592566153469903e-07,1.4816362425239453e-10,5.053149231450528e-07,0.0008072271283325407,0.0012782127640432418,0.0012765228510451922,5.294982474879362e-05,3.5669851303100586,778.8583984375,6.0489376253098444e-05,0.0006246865132695198,0.0006397286994823344,0.012823414514507124,1.5633899238309823e-05,7.620412826538086,18.461536407470703,1.5322592842865568e-05,0.0009695902586240888,0.0011968067958926622,0.01092781486274788,2.8307249522185884e-05,6.296531677246094,33.97175979614258,2.5221102271020985e-05,0.00014587054073333236,0.00014535600160246634,0.010285229672182058,3.421783731027972e-06,8.479736328125,18.977916717529297,2.54190405599065e-06,1.652597226399544e-05,1.9141309725134332e-05,0.011251542801971071,2.549668067786115e-07,9.230497360229492,19.743364334106445,3.1394944664331144e-07,0.0012712816358804867,0.0011714103137584443,0.03846347774264447,1.2347124538791832e-05,10.128425598144531,23.026649475097656,1.6451146023639864e-05,0.0010524518483899196,0.0010347165169148373,0.046656862961891796,1.2109780072933063e-05,11.252368927001953,19.28680992126465,7.95894847363896e-06,0.00521347972941022,0.003954781013496943,0.07596293178911293,2.7986940040136687e-05,19.834800720214844,15.525497436523438,1.4255067272950528e-05
gov_report:122,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_random_9,random,9,1,True,7.792056280187632e-09,0.0008159404189012297,0.0008091579467095025,0.010479482687678558,61,96,97,96,,8.193256507382345e-09,6.293020130005087e-10,1.171915915623096e-10,5.451670641042802e-10,5.727976720202101e-10,8.980643740999267e-09,4.774451401535236e-11,2.8714119680118656e-11,2.35083859628233e-10,3.5073453457740034e-09,3.0553041301047777e-10,3.3490583843915034e-09,6.057734352976657e-13,4.524524773299725e-09,9.265652977459537e-13,4.5730544291913906e-09,1.7181867295291774e-09,9.092737860965646e-09,6.894228961898783e-11,7.824069070497828e-09,2.4793814333899505e-10,9.574918503659077e-09,2.472452653802705e-11,8.077108310656475e-09,0.0005256566477418104,0.0008092711297109874,0.0007997605971954628,2.4144641429302283e-05,3.60839581489563,778.689453125,3.829746285822717e-05,0.0030642265055181523,0.0033115796271137787,0.019006651879352784,7.750433724140748e-05,8.204062461853027,16.404132843017578,7.931797703315983e-05,0.004057302948944562,0.004488292164947468,0.0179328937524636,9.641265933169052e-05,7.060494899749756,33.451053619384766,9.458475344796988e-05,0.00013471220642932632,0.00014515466977066817,0.017645364611261826,3.4861488984461175e-06,8.693018913269043,18.47051239013672,2.538383278078449e-06,0.00010029937829560843,8.965608183091553e-05,0.015178131437039138,1.0907718888120144e-06,10.949797630310059,20.124526977539062,1.470509473135117e-06,0.0015488340183337924,0.0012818963395141232,0.014788763833878988,1.4688875126012135e-05,10.249578475952148,21.97511863708496,1.800279852484289e-05,0.004392132291692514,0.004376358795722351,0.02134312509480156,3.37134042638354e-05,12.091865539550781,18.558841705322266,3.366256707795227e-05,0.001782249099180255,0.0018274122781857516,0.030874794603752625,1.8922552044386975e-05,23.29620361328125,15.478327751159668,6.586934869983998e-06
gov_report:123,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_attention_14,attention,14,0,False,8.052865382091043e-09,0.0003777842220112007,0.00036579477682635006,0.003028623539623864,61,96,97,96,0.0,8.031186818653122e-09,1.06080765225698e-09,5.4558785094001354e-11,1.9624780024756538e-10,9.914125573339657e-11,3.5146967646488265e-09,1.9019845968820232e-11,1.4323816242104897e-11,8.34605728210547e-12,6.74684252481903e-10,1.0018116586083247e-10,1.0844726706554387e-09,5.7165590742895996e-12,4.192738905074205e-09,2.6465653463441695e-11,4.29037158090707e-09,3.4715946116798955e-09,3.5094869370652948e-09,4.0078070427385627e-10,4.705350469930346e-09,9.584633172846319e-11,5.603381421883268e-09,6.565244344642133e-11,6.9138962856926705e-09,0.0006877892235465256,0.0011885029112698555,0.001208884208937997,8.632929529994726e-05,3.5669851303100586,778.8583984375,7.22890298686247e-05,0.001501702213859243,0.0014678462312252487,0.012860930410988115,4.1594848880777135e-05,7.128814697265625,19.36896324157715,4.981518646773595e-05,0.0022833130632567518,0.002550821136985726,0.009863069176959843,7.370240200543776e-05,5.726841449737549,33.79312515258789,7.226679811524257e-05,0.0007240552862693046,0.0006172762428665015,0.010314727931507724,2.2559275748790242e-05,7.44852352142334,20.68832015991211,1.6127642543888298e-05,0.00041051814592255883,0.0003634465530417514,0.00755173214853777,7.602303867315641e-06,10.04827880859375,20.109291076660156,7.640937833503721e-06,0.002200168660385679,0.0019675812719573147,0.008713564628365875,2.1659858248312958e-05,10.39979362487793,24.24416732788086,3.4063089875131455e-05,0.0010759167696939224,0.001149350386700375,0.008833831614796952,1.224228890350787e-05,11.399269104003906,22.081058502197266,9.60611800314891e-06,0.0016015010331032684,0.0015701639282285035,0.013118388175048847,1.6931297068367712e-05,25.282854080200195,18.130268096923828,5.965497780786319e-06
gov_report:123,gov_report,scope_budget,64,primary_low_importance,32,32,physical_delete_value_norm_60,value_norm,60,0,False,0.0009832086596193801,4.009553601760251,3.2195140309377397,87.58381577236173,61,96,97,96,,0.0009574236948795998,1.4813111444048673e-05,5.954244149466612e-06,1.9650080168093697e-06,2.130265745079745e-06,0.0009039985668110959,2.4038929631916623e-10,2.443241421523741e-10,3.236957479441765e-10,7.900186772714274e-09,9.889707139615486e-08,1.0238997075773609e-07,6.233214067222518e-07,8.89344461427248e-07,1.8617537713080132e-07,0.00020636108292376265,4.395424113598869e-06,0.0009038549005709016,1.3189082775715466e-05,0.0007632582295532971,1.5397726227992214e-06,0.0009256529552693982,5.835223606654393e-06,0.001204975480028075,0.004644335965286954,0.006471967001132806,0.0064632631062486595,0.00035777510493062437,3.3373770713806152,780.2392578125,0.00039364835493231257,0.01143822701915956,0.010535182749192693,0.06250622061192994,0.00040925355278886855,5.175782203674316,14.80572509765625,0.0003575388770011931,0.05380443428948344,0.053765622404677124,0.07463737257507619,0.0013859703904017806,5.20591926574707,32.890419006347656,0.001523222982404237,0.3262320032256351,0.2581382429258351,0.26836344910794524,0.011509775184094906,6.865386009216309,16.492456436157227,0.0067444055346799385,0.10710893458546185,0.08114540762912241,0.7432387101650341,0.0022454310674220324,8.308046340942383,17.90374755859375,0.0017059647697283747,0.12569819647369374,0.12027569048819461,1.4915497845939056,0.0026199601124972105,8.36111831665039,21.40391731262207,0.002082232491884456,0.11321402066456952,0.11298350306308486,2.294079855964876,0.0040549105033278465,7.2121477127075195,16.44261932373047,0.0009443011246978992,0.4425423113966776,0.39624148158017036,3.8920034876180116,0.012034240178763866,11.647286415100098,15.739032745361328,0.0015054336916839376
